payment_attempt_id,invoice_id,payment_method_id,attempt_at,attempt_number,amount_local,currency_code,attempt_status,failure_reason,provider_response_code
payattempt_00000020,invoice_00000018,pm_00000001,2026-06-01 00:00:00,1,283.24,EUR,succeeded,,approved
payattempt_00000021,invoice_00000019,pm_00000002,2026-03-30 00:00:00,1,50.97,EUR,succeeded,,approved
payattempt_00000022,invoice_00000020,pm_00000002,2026-04-01 00:00:00,1,50.97,EUR,failed,insufficient_funds,51
payattempt_00000023,invoice_00000020,pm_00000002,2026-04-03 00:00:00,2,50.97,EUR,failed,bank_decline,05
payattempt_00000024,invoice_00000020,pm_00000002,2026-04-07 00:00:00,3,50.97,EUR,failed,bank_decline,05
payattempt_00000025,invoice_00000020,pm_00000002,2026-04-13 00:00:00,4,50.97,EUR,failed,technical_error,96
payattempt_00000026,invoice_00000021,pm_00000002,2026-05-01 00:00:00,1,50.97,EUR,succeeded,,approved
payattempt_00000027,invoice_00000022,pm_00000002,2026-06-01 00:00:00,1,50.97,EUR,failed,insufficient_funds,51
payattempt_00000028,invoice_00000022,pm_00000002,2026-06-04 00:00:00,2,50.97,EUR,failed,insufficient_funds,51
payattempt_00000029,invoice_00000023,pm_00000003,2024-05-28 00:00:00,1,24746.25,NOK,succeeded,,approved
payattempt_00000030,invoice_00000024,pm_00000003,2025-05-01 00:00:00,1,38000.55,NOK,succeeded,,approved
payattempt_00000031,invoice_00000025,pm_00000003,2026-05-01 00:00:00,1,40607.55,NOK,failed,bank_decline,05
payattempt_00000032,invoice_00000025,pm_00000003,2026-05-03 00:00:00,2,40607.55,NOK,failed,expired_card,54
payattempt_00000033,invoice_00000025,pm_00000003,2026-05-07 00:00:00,3,40607.55,NOK,failed,insufficient_funds,51
payattempt_00000034,invoice_00000026,pm_00000004,2025-12-22 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000035,invoice_00000027,pm_00000004,2026-01-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000036,invoice_00000028,pm_00000004,2026-02-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000037,invoice_00000029,pm_00000004,2026-03-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000038,invoice_00000030,pm_00000004,2026-04-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000039,invoice_00000031,pm_00000004,2026-05-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000040,invoice_00000032,pm_00000004,2026-06-01 00:00:00,1,49.21,EUR,succeeded,,approved
payattempt_00000041,invoice_00000033,pm_00000005,2025-03-26 00:00:00,1,294.03,EUR,succeeded,,approved
payattempt_00000042,invoice_00000034,pm_00000005,2025-04-01 00:00:00,1,317.55,EUR,succeeded,,approved
payattempt_00000043,invoice_00000035,pm_00000005,2025-05-01 00:00:00,1,317.55,EUR,succeeded,,approved
payattempt_00000044,invoice_00000036,pm_00000005,2025-06-01 00:00:00,1,317.55,EUR,failed,bank_decline,05
payattempt_00000045,invoice_00000036,pm_00000005,2025-06-05 00:00:00,2,317.55,EUR,failed,bank_decline,05
payattempt_00000046,invoice_00000037,pm_00000006,2024-07-23 00:00:00,1,12399.35,EUR,succeeded,,approved
payattempt_00000047,invoice_00000038,pm_00000006,2025-07-01 00:00:00,1,21332.35,EUR,succeeded,,approved
payattempt_00000048,invoice_00000039,pm_00000007,2026-03-27 00:00:00,1,14410.87,EUR,succeeded,,approved
payattempt_00000049,invoice_00000040,pm_00000007,2026-04-01 00:00:00,1,14410.87,EUR,succeeded,,approved
payattempt_00000050,invoice_00000041,pm_00000007,2026-05-01 00:00:00,1,14410.87,EUR,succeeded,,approved
payattempt_00000051,invoice_00000042,pm_00000007,2026-06-01 00:00:00,1,14410.87,EUR,succeeded,,approved
payattempt_00000052,invoice_00000043,pm_00000008,2024-06-02 00:00:00,1,2392.06,SEK,succeeded,,approved
payattempt_00000053,invoice_00000044,pm_00000008,2024-07-01 00:00:00,1,2413.4,SEK,succeeded,,approved
payattempt_00000054,invoice_00000045,pm_00000008,2024-08-01 00:00:00,1,2449.35,SEK,succeeded,,approved
payattempt_00000055,invoice_00000046,pm_00000008,2024-09-01 00:00:00,1,2507.19,SEK,succeeded,,approved
payattempt_00000056,invoice_00000047,pm_00000008,2024-10-01 00:00:00,1,2556.73,SEK,succeeded,,approved
payattempt_00000057,invoice_00000048,pm_00000008,2024-11-01 00:00:00,1,2443.53,SEK,succeeded,,approved
payattempt_00000058,invoice_00000049,pm_00000008,2024-12-01 00:00:00,1,3902.1,SEK,succeeded,,approved
payattempt_00000059,invoice_00000050,pm_00000008,2025-01-01 00:00:00,1,3865.49,SEK,succeeded,,approved
payattempt_00000060,invoice_00000051,pm_00000008,2025-02-01 00:00:00,1,3922.19,SEK,succeeded,,approved
payattempt_00000061,invoice_00000052,pm_00000008,2025-03-01 00:00:00,1,3968.81,SEK,succeeded,,approved
payattempt_00000062,invoice_00000053,pm_00000008,2025-04-01 00:00:00,1,4243.21,SEK,succeeded,,approved
payattempt_00000063,invoice_00000054,pm_00000008,2025-05-01 00:00:00,1,4213.68,SEK,succeeded,,approved
payattempt_00000064,invoice_00000055,pm_00000008,2025-06-01 00:00:00,1,4112.24,SEK,succeeded,,approved
payattempt_00000065,invoice_00000056,pm_00000008,2025-07-01 00:00:00,1,4125.21,SEK,succeeded,,approved
payattempt_00000066,invoice_00000057,pm_00000008,2025-08-01 00:00:00,1,4181.68,SEK,succeeded,,approved
payattempt_00000067,invoice_00000058,pm_00000008,2025-09-01 00:00:00,1,4237.44,SEK,succeeded,,approved
payattempt_00000068,invoice_00000059,pm_00000008,2025-10-01 00:00:00,1,4347.51,SEK,succeeded,,approved
payattempt_00000069,invoice_00000060,pm_00000008,2025-11-01 00:00:00,1,4376.18,SEK,succeeded,,approved
payattempt_00000070,invoice_00000061,pm_00000008,2025-12-01 00:00:00,1,4290.96,SEK,succeeded,,approved
payattempt_00000071,invoice_00000062,pm_00000008,2026-01-01 00:00:00,1,4230.06,SEK,succeeded,,approved
payattempt_00000072,invoice_00000063,pm_00000008,2026-02-01 00:00:00,1,4163.81,SEK,succeeded,,approved
payattempt_00000073,invoice_00000064,pm_00000008,2026-03-01 00:00:00,1,5316.6,SEK,failed,technical_error,96
payattempt_00000074,invoice_00000064,pm_00000008,2026-03-03 00:00:00,2,5316.6,SEK,succeeded,,approved
payattempt_00000075,invoice_00000065,pm_00000008,2026-04-01 00:00:00,1,5234.49,SEK,succeeded,,approved
payattempt_00000076,invoice_00000066,pm_00000008,2026-05-01 00:00:00,1,5274.21,SEK,succeeded,,approved
payattempt_00000077,invoice_00000067,pm_00000008,2026-06-01 00:00:00,1,5266.19,SEK,succeeded,,approved
payattempt_00000078,invoice_00000068,pm_00000009,2024-07-13 00:00:00,1,1556.09,EUR,succeeded,,approved
payattempt_00000079,invoice_00000069,pm_00000009,2025-07-01 00:00:00,1,1447.56,EUR,succeeded,,approved
payattempt_00000080,invoice_00000070,pm_00000010,2025-07-02 00:00:00,1,322842.91,CZK,succeeded,,approved
payattempt_00000081,invoice_00000071,pm_00000011,2024-12-27 00:00:00,1,262.62,CHF,succeeded,,approved
payattempt_00000082,invoice_00000072,pm_00000011,2025-01-01 00:00:00,1,264.42,CHF,succeeded,,approved
payattempt_00000083,invoice_00000073,pm_00000011,2025-02-01 00:00:00,1,262.72,CHF,succeeded,,approved
payattempt_00000084,invoice_00000074,pm_00000011,2025-03-01 00:00:00,1,260.53,CHF,succeeded,,approved
payattempt_00000085,invoice_00000075,pm_00000011,2025-04-01 00:00:00,1,283.04,CHF,succeeded,,approved
payattempt_00000086,invoice_00000076,pm_00000011,2025-05-01 00:00:00,1,285.43,CHF,succeeded,,approved
payattempt_00000087,invoice_00000077,pm_00000011,2025-06-01 00:00:00,1,290.39,CHF,succeeded,,approved
payattempt_00000088,invoice_00000078,pm_00000011,2025-07-01 00:00:00,1,286.36,CHF,succeeded,,approved
payattempt_00000089,invoice_00000079,pm_00000011,2025-08-01 00:00:00,1,287.95,CHF,succeeded,,approved
payattempt_00000090,invoice_00000080,pm_00000011,2025-09-01 00:00:00,1,296.41,CHF,succeeded,,approved
payattempt_00000091,invoice_00000081,pm_00000011,2025-10-01 00:00:00,1,292.24,CHF,succeeded,,approved
payattempt_00000092,invoice_00000082,pm_00000011,2025-11-01 00:00:00,1,283.82,CHF,succeeded,,approved
payattempt_00000093,invoice_00000083,pm_00000011,2025-12-01 00:00:00,1,287.61,CHF,succeeded,,approved
payattempt_00000094,invoice_00000084,pm_00000011,2026-01-01 00:00:00,1,295.06,CHF,succeeded,,approved
payattempt_00000095,invoice_00000085,pm_00000011,2026-02-01 00:00:00,1,286.78,CHF,succeeded,,approved
payattempt_00000096,invoice_00000086,pm_00000011,2026-03-01 00:00:00,1,282.94,CHF,succeeded,,approved
payattempt_00000097,invoice_00000087,pm_00000011,2026-04-01 00:00:00,1,279.1,CHF,succeeded,,approved
payattempt_00000098,invoice_00000088,pm_00000011,2026-05-01 00:00:00,1,276.51,CHF,succeeded,,approved
payattempt_00000099,invoice_00000089,pm_00000011,2026-06-01 00:00:00,1,274.21,CHF,succeeded,,approved
payattempt_00000100,invoice_00000090,pm_00000012,2026-06-26 00:00:00,1,86372.29,EUR,succeeded,,approved
payattempt_00000101,invoice_00000091,pm_00000013,2025-11-15 00:00:00,1,1161.5,EUR,succeeded,,approved
payattempt_00000102,invoice_00000092,pm_00000014,2026-03-11 00:00:00,1,3501.22,EUR,succeeded,,approved
payattempt_00000103,invoice_00000093,pm_00000015,2024-04-24 00:00:00,1,1864.22,EUR,succeeded,,approved
payattempt_00000104,invoice_00000094,pm_00000015,2025-04-01 00:00:00,1,8102.74,EUR,failed,insufficient_funds,51
payattempt_00000105,invoice_00000094,pm_00000015,2025-04-05 00:00:00,2,8102.74,EUR,failed,insufficient_funds,51
payattempt_00000106,invoice_00000094,pm_00000015,2025-04-05 00:00:00,3,8102.74,EUR,succeeded,,approved
payattempt_00000107,invoice_00000095,pm_00000015,2026-04-01 00:00:00,1,8102.74,EUR,succeeded,,approved
payattempt_00000108,invoice_00000096,pm_00000016,2025-05-22 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000109,invoice_00000097,pm_00000016,2025-06-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000110,invoice_00000098,pm_00000016,2025-07-01 00:00:00,1,159.41,EUR,succeeded,,approved
payattempt_00000111,invoice_00000099,pm_00000016,2025-08-01 00:00:00,1,159.41,EUR,succeeded,,approved
payattempt_00000112,invoice_00000100,pm_00000016,2025-09-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000113,invoice_00000101,pm_00000016,2025-10-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000114,invoice_00000102,pm_00000016,2025-11-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000115,invoice_00000103,pm_00000016,2025-12-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000116,invoice_00000104,pm_00000016,2026-01-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000117,invoice_00000105,pm_00000016,2026-02-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000118,invoice_00000106,pm_00000016,2026-03-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000119,invoice_00000107,pm_00000016,2026-04-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000120,invoice_00000108,pm_00000016,2026-05-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000121,invoice_00000109,pm_00000016,2026-06-01 00:00:00,1,174.96,EUR,succeeded,,approved
payattempt_00000122,invoice_00000110,pm_00000017,2025-05-20 00:00:00,1,1262.45,EUR,succeeded,,approved
payattempt_00000123,invoice_00000111,pm_00000017,2026-05-01 00:00:00,1,1262.45,EUR,succeeded,,approved
payattempt_00000124,invoice_00000112,pm_00000018,2025-04-19 00:00:00,1,21430.42,EUR,succeeded,,approved
payattempt_00000125,invoice_00000113,pm_00000018,2026-04-01 00:00:00,1,45709.99,EUR,succeeded,,approved
payattempt_00000126,invoice_00000114,pm_00000019,2024-04-28 00:00:00,1,6508.8,EUR,succeeded,,approved
payattempt_00000127,invoice_00000115,pm_00000019,2025-04-01 00:00:00,1,7664.54,EUR,succeeded,,approved
payattempt_00000128,invoice_00000116,pm_00000019,2026-04-01 00:00:00,1,8672.26,EUR,succeeded,,approved
payattempt_00000129,invoice_00000117,pm_00000020,2025-10-28 00:00:00,1,250498.05,SEK,succeeded,,approved
payattempt_00000130,invoice_00000118,pm_00000021,2025-09-25 00:00:00,1,305058.1,EUR,succeeded,,approved
payattempt_00000131,invoice_00000119,pm_00000022,2024-08-31 00:00:00,1,256.43,GBP,succeeded,,approved
payattempt_00000132,invoice_00000120,pm_00000022,2024-09-01 00:00:00,1,247.78,GBP,succeeded,,approved
payattempt_00000133,invoice_00000121,pm_00000022,2024-10-01 00:00:00,1,250.39,GBP,succeeded,,approved
payattempt_00000134,invoice_00000122,pm_00000022,2024-11-01 00:00:00,1,248.15,GBP,failed,insufficient_funds,51
payattempt_00000135,invoice_00000122,pm_00000022,2024-11-03 00:00:00,2,248.15,GBP,succeeded,,approved
payattempt_00000136,invoice_00000123,pm_00000022,2024-12-01 00:00:00,1,246.26,GBP,succeeded,,approved
payattempt_00000137,invoice_00000124,pm_00000022,2025-01-01 00:00:00,1,249.7,GBP,succeeded,,approved
payattempt_00000138,invoice_00000125,pm_00000022,2025-02-01 00:00:00,1,252.42,GBP,succeeded,,approved
payattempt_00000139,invoice_00000126,pm_00000022,2025-03-01 00:00:00,1,251.66,GBP,succeeded,,approved
payattempt_00000140,invoice_00000127,pm_00000022,2025-04-01 00:00:00,1,275.95,GBP,succeeded,,approved
payattempt_00000141,invoice_00000128,pm_00000022,2025-05-01 00:00:00,1,276.08,GBP,succeeded,,approved
payattempt_00000142,invoice_00000129,pm_00000022,2025-06-01 00:00:00,1,278.9,GBP,succeeded,,approved
payattempt_00000143,invoice_00000130,pm_00000022,2025-07-01 00:00:00,1,275.93,GBP,succeeded,,approved
payattempt_00000144,invoice_00000131,pm_00000022,2025-08-01 00:00:00,1,278.8,GBP,succeeded,,approved
payattempt_00000145,invoice_00000132,pm_00000022,2025-09-01 00:00:00,1,281.54,GBP,succeeded,,approved
payattempt_00000146,invoice_00000133,pm_00000022,2025-10-01 00:00:00,1,286.43,GBP,succeeded,,approved
payattempt_00000147,invoice_00000134,pm_00000022,2025-11-01 00:00:00,1,280.34,GBP,succeeded,,approved
payattempt_00000148,invoice_00000135,pm_00000022,2025-12-01 00:00:00,1,274.42,GBP,succeeded,,approved
payattempt_00000149,invoice_00000136,pm_00000022,2026-01-01 00:00:00,1,274.96,GBP,succeeded,,approved
payattempt_00000150,invoice_00000137,pm_00000022,2026-02-01 00:00:00,1,274.54,GBP,succeeded,,approved
payattempt_00000151,invoice_00000138,pm_00000022,2026-03-01 00:00:00,1,278.3,GBP,succeeded,,approved
payattempt_00000152,invoice_00000139,pm_00000022,2026-04-01 00:00:00,1,278.57,GBP,succeeded,,approved
payattempt_00000153,invoice_00000140,pm_00000022,2026-05-01 00:00:00,1,278.99,GBP,succeeded,,approved
payattempt_00000154,invoice_00000141,pm_00000022,2026-06-01 00:00:00,1,285.16,GBP,failed,technical_error,96
payattempt_00000155,invoice_00000141,pm_00000022,2026-06-05 00:00:00,2,285.16,GBP,failed,expired_card,54
payattempt_00000156,invoice_00000141,pm_00000022,2026-06-09 00:00:00,3,285.16,GBP,failed,expired_card,54
payattempt_00000157,invoice_00000142,pm_00000023,2024-03-07 00:00:00,1,764.69,EUR,succeeded,,approved
payattempt_00000158,invoice_00000143,pm_00000023,2025-03-01 00:00:00,1,910.35,EUR,succeeded,,approved
payattempt_00000159,invoice_00000144,pm_00000024,2025-12-29 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000160,invoice_00000145,pm_00000024,2026-01-01 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000161,invoice_00000146,pm_00000024,2026-02-01 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000162,invoice_00000147,pm_00000024,2026-03-01 00:00:00,1,51.39,EUR,failed,mandate_missing,M01
payattempt_00000163,invoice_00000147,pm_00000024,2026-03-05 00:00:00,2,51.39,EUR,succeeded,,approved
payattempt_00000164,invoice_00000148,pm_00000024,2026-04-01 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000165,invoice_00000149,pm_00000024,2026-05-01 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000166,invoice_00000150,pm_00000024,2026-06-01 00:00:00,1,51.39,EUR,succeeded,,approved
payattempt_00000167,invoice_00000151,pm_00000025,2025-02-19 00:00:00,1,3557.11,EUR,succeeded,,approved
payattempt_00000168,invoice_00000152,pm_00000025,2026-02-01 00:00:00,1,4552.75,EUR,succeeded,,approved
payattempt_00000169,invoice_00000153,pm_00000026,2024-12-10 00:00:00,1,19482.75,SEK,succeeded,,approved
payattempt_00000170,invoice_00000154,pm_00000026,2025-12-01 00:00:00,1,21424.35,SEK,succeeded,,approved
payattempt_00000171,invoice_00000155,pm_00000027,2026-02-19 00:00:00,1,515.52,EUR,succeeded,,approved
payattempt_00000172,invoice_00000156,pm_00000028,2024-11-18 00:00:00,1,738.63,EUR,failed,insufficient_funds,51
payattempt_00000173,invoice_00000156,pm_00000028,2024-11-22 00:00:00,2,738.63,EUR,failed,insufficient_funds,51
payattempt_00000174,invoice_00000156,pm_00000028,2024-11-22 00:00:00,3,738.63,EUR,succeeded,,approved
payattempt_00000175,invoice_00000157,pm_00000028,2025-11-01 00:00:00,1,797.73,EUR,succeeded,,approved
payattempt_00000176,invoice_00000158,pm_00000029,2026-02-10 00:00:00,1,377.67,EUR,succeeded,,approved
payattempt_00000177,invoice_00000159,pm_00000029,2026-03-01 00:00:00,1,377.67,EUR,succeeded,,approved
payattempt_00000178,invoice_00000160,pm_00000029,2026-04-01 00:00:00,1,739.46,EUR,succeeded,,approved
payattempt_00000179,invoice_00000161,pm_00000029,2026-05-01 00:00:00,1,1305.74,EUR,succeeded,,approved
payattempt_00000180,invoice_00000162,pm_00000029,2026-06-01 00:00:00,1,1305.74,EUR,succeeded,,approved
payattempt_00000181,invoice_00000163,pm_00000030,2025-05-30 00:00:00,1,780410.55,SEK,succeeded,,approved
payattempt_00000182,invoice_00000164,pm_00000030,2026-05-01 00:00:00,1,1021516.65,SEK,succeeded,,approved
payattempt_00000183,invoice_00000165,pm_00000031,2026-05-11 00:00:00,1,110.04,GBP,succeeded,,approved
payattempt_00000184,invoice_00000166,pm_00000031,2026-06-01 00:00:00,1,112.48,GBP,succeeded,,approved
payattempt_00000185,invoice_00000167,pm_00000032,2026-05-25 00:00:00,1,17883.45,NOK,succeeded,,approved
payattempt_00000186,invoice_00000168,pm_00000033,2024-08-08 00:00:00,1,7476.9,NOK,succeeded,,approved
payattempt_00000187,invoice_00000169,pm_00000033,2025-08-01 00:00:00,1,31056.15,NOK,succeeded,,approved
payattempt_00000188,invoice_00000170,pm_00000034,2026-05-30 00:00:00,1,3053.66,EUR,succeeded,,approved
payattempt_00000189,invoice_00000171,pm_00000035,2024-05-13 00:00:00,1,27710.1,NOK,succeeded,,approved
payattempt_00000190,invoice_00000172,pm_00000035,2025-05-01 00:00:00,1,33125.85,NOK,succeeded,,approved
payattempt_00000191,invoice_00000173,pm_00000035,2026-05-01 00:00:00,1,35398.5,NOK,succeeded,,approved
payattempt_00000192,invoice_00000174,pm_00000036,2025-05-04 00:00:00,1,329512.61,GBP,succeeded,,approved
payattempt_00000193,invoice_00000175,pm_00000036,2026-05-01 00:00:00,1,336848.69,GBP,succeeded,,approved
payattempt_00000194,invoice_00000176,pm_00000037,2024-07-27 00:00:00,1,56851.39,PLN,succeeded,,approved
payattempt_00000195,invoice_00000177,pm_00000037,2025-07-01 00:00:00,1,70877.22,PLN,succeeded,,approved
payattempt_00000196,invoice_00000178,pm_00000038,2025-01-15 00:00:00,1,185.64,EUR,succeeded,,approved
payattempt_00000197,invoice_00000179,pm_00000038,2025-02-01 00:00:00,1,185.64,EUR,succeeded,,approved
payattempt_00000198,invoice_00000180,pm_00000038,2025-03-01 00:00:00,1,481.95,EUR,succeeded,,approved
payattempt_00000199,invoice_00000181,pm_00000038,2025-04-01 00:00:00,1,555.11,EUR,succeeded,,approved
payattempt_00000200,invoice_00000182,pm_00000038,2025-05-01 00:00:00,1,555.11,EUR,succeeded,,approved
payattempt_00000201,invoice_00000183,pm_00000038,2025-06-01 00:00:00,1,555.11,EUR,succeeded,,approved
payattempt_00000202,invoice_00000184,pm_00000038,2025-07-01 00:00:00,1,555.11,EUR,succeeded,,approved
payattempt_00000203,invoice_00000185,pm_00000038,2025-08-01 00:00:00,1,555.11,EUR,succeeded,,approved
payattempt_00000204,invoice_00000186,pm_00000038,2025-09-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000205,invoice_00000187,pm_00000038,2025-10-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000206,invoice_00000188,pm_00000038,2025-11-01 00:00:00,1,579.53,EUR,failed,bank_decline,05
payattempt_00000207,invoice_00000188,pm_00000038,2025-11-05 00:00:00,2,579.53,EUR,failed,insufficient_funds,51
payattempt_00000208,invoice_00000188,pm_00000038,2025-11-07 00:00:00,3,579.53,EUR,succeeded,,approved
payattempt_00000209,invoice_00000189,pm_00000038,2025-12-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000210,invoice_00000190,pm_00000038,2026-01-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000211,invoice_00000191,pm_00000038,2026-02-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000212,invoice_00000192,pm_00000038,2026-03-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000213,invoice_00000193,pm_00000038,2026-04-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000214,invoice_00000194,pm_00000038,2026-05-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000215,invoice_00000195,pm_00000038,2026-06-01 00:00:00,1,579.53,EUR,succeeded,,approved
payattempt_00000216,invoice_00000196,pm_00000039,2024-08-18 00:00:00,1,1467.73,EUR,succeeded,,approved
payattempt_00000217,invoice_00000197,pm_00000039,2024-09-01 00:00:00,1,1467.73,EUR,succeeded,,approved
payattempt_00000218,invoice_00000198,pm_00000039,2024-10-01 00:00:00,1,1467.73,EUR,succeeded,,approved
payattempt_00000219,invoice_00000199,pm_00000039,2024-11-01 00:00:00,1,1859.77,EUR,succeeded,,approved
payattempt_00000220,invoice_00000200,pm_00000039,2024-12-01 00:00:00,1,1859.77,EUR,succeeded,,approved
payattempt_00000221,invoice_00000201,pm_00000039,2025-01-01 00:00:00,1,1859.77,EUR,succeeded,,approved
payattempt_00000222,invoice_00000202,pm_00000039,2025-02-01 00:00:00,1,2455.09,EUR,succeeded,,approved
payattempt_00000223,invoice_00000203,pm_00000039,2025-03-01 00:00:00,1,2455.09,EUR,succeeded,,approved
payattempt_00000224,invoice_00000204,pm_00000039,2025-04-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000225,invoice_00000205,pm_00000039,2025-05-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000226,invoice_00000206,pm_00000039,2025-06-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000227,invoice_00000207,pm_00000039,2025-07-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000228,invoice_00000208,pm_00000039,2025-08-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000229,invoice_00000209,pm_00000039,2025-09-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000230,invoice_00000210,pm_00000039,2025-10-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000231,invoice_00000211,pm_00000039,2025-11-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000232,invoice_00000212,pm_00000039,2025-12-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000233,invoice_00000213,pm_00000039,2026-01-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000234,invoice_00000214,pm_00000039,2026-02-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000235,invoice_00000215,pm_00000039,2026-03-01 00:00:00,1,2627.39,EUR,succeeded,,approved
payattempt_00000236,invoice_00000216,pm_00000039,2026-04-01 00:00:00,1,2874.38,EUR,succeeded,,approved
payattempt_00000237,invoice_00000217,pm_00000039,2026-05-01 00:00:00,1,2874.38,EUR,succeeded,,approved
payattempt_00000238,invoice_00000218,pm_00000039,2026-06-01 00:00:00,1,3372.27,EUR,succeeded,,approved
payattempt_00000239,invoice_00000219,pm_00000040,2025-08-09 00:00:00,1,96.64,GBP,succeeded,,approved
payattempt_00000240,invoice_00000220,pm_00000040,2025-09-01 00:00:00,1,97.58,GBP,succeeded,,approved
payattempt_00000241,invoice_00000221,pm_00000040,2025-10-01 00:00:00,1,99.28,GBP,succeeded,,approved
payattempt_00000242,invoice_00000222,pm_00000040,2025-11-01 00:00:00,1,97.16,GBP,succeeded,,approved
payattempt_00000243,invoice_00000223,pm_00000040,2025-12-01 00:00:00,1,95.11,GBP,succeeded,,approved
payattempt_00000244,invoice_00000224,pm_00000040,2026-01-01 00:00:00,1,185.58,GBP,succeeded,,approved
