onboarding_task_id,account_id,task_name,task_sequence,due_date,completed_at,task_status,owner_type
onboard_00000068,account_00000039,invite_team,2,2026-07-06,,open,customer_success
onboard_00000069,account_00000039,create_workspace,3,2026-07-11,2026-07-08 00:00:00,completed,customer_success
onboard_00000070,account_00000039,create_first_work_order,4,2026-07-16,2026-07-04 00:00:00,completed,customer_success
onboard_00000071,account_00000039,complete_first_work_order,5,2026-07-21,,open,customer_success
onboard_00000072,account_00000039,connect_integration,6,2026-07-26,2026-08-02 00:00:00,completed,customer_success
onboard_00000073,account_00000040,company_profile,1,2025-11-20,2025-11-19 00:00:00,completed,customer_success
onboard_00000074,account_00000040,invite_team,2,2025-11-25,2025-11-17 00:00:00,completed,customer_success
onboard_00000075,account_00000040,create_workspace,3,2025-11-30,2025-12-03 00:00:00,completed,customer_success
onboard_00000076,account_00000040,create_first_work_order,4,2025-12-05,,open,customer_success
onboard_00000077,account_00000040,complete_first_work_order,5,2025-12-10,2025-12-10 00:00:00,completed,customer_success
onboard_00000078,account_00000040,connect_integration,6,2025-12-15,,open,customer_success
onboard_00000079,account_00000043,company_profile,1,2026-03-16,2026-03-17 00:00:00,completed,customer_success
onboard_00000080,account_00000043,invite_team,2,2026-03-21,2026-03-14 00:00:00,completed,customer_success
onboard_00000081,account_00000043,create_workspace,3,2026-03-26,2026-03-15 00:00:00,completed,customer_success
onboard_00000082,account_00000043,create_first_work_order,4,2026-03-31,2026-04-06 00:00:00,completed,customer_success
onboard_00000083,account_00000043,complete_first_work_order,5,2026-04-05,,open,customer_success
onboard_00000084,account_00000043,connect_integration,6,2026-04-10,2026-03-31 00:00:00,completed,customer_success
onboard_00000085,account_00000044,company_profile,1,2024-04-29,2024-04-28 00:00:00,completed,customer_success
onboard_00000086,account_00000044,invite_team,2,2024-05-04,2024-05-07 00:00:00,completed,customer_success
onboard_00000087,account_00000044,create_workspace,3,2024-05-09,,open,customer_success
onboard_00000088,account_00000044,create_first_work_order,4,2024-05-14,2024-05-10 00:00:00,completed,customer_success
onboard_00000089,account_00000044,complete_first_work_order,5,2024-05-19,,open,customer_success
onboard_00000090,account_00000044,connect_integration,6,2024-05-24,,open,customer_success
onboard_00000091,account_00000047,company_profile,1,2025-05-27,2025-05-24 00:00:00,completed,customer_success
onboard_00000092,account_00000047,invite_team,2,2025-06-01,,open,customer_success
onboard_00000093,account_00000047,create_workspace,3,2025-06-06,2025-06-12 00:00:00,completed,customer_success
onboard_00000094,account_00000047,create_first_work_order,4,2025-06-11,2025-06-06 00:00:00,completed,customer_success
onboard_00000095,account_00000047,complete_first_work_order,5,2025-06-16,2025-05-31 00:00:00,completed,customer_success
onboard_00000096,account_00000047,connect_integration,6,2025-06-21,,open,customer_success
onboard_00000097,account_00000051,company_profile,1,2025-05-25,2025-05-22 00:00:00,completed,customer
onboard_00000098,account_00000051,invite_team,2,2025-05-30,2025-05-30 00:00:00,completed,customer
onboard_00000099,account_00000051,create_workspace,3,2025-06-04,,open,customer
onboard_00000100,account_00000051,create_first_work_order,4,2025-06-09,,open,customer
onboard_00000101,account_00000051,complete_first_work_order,5,2025-06-14,,open,customer
onboard_00000102,account_00000051,connect_integration,6,2025-06-19,2025-06-27 00:00:00,completed,customer
onboard_00000103,account_00000056,company_profile,1,2025-04-24,2025-04-21 00:00:00,completed,customer_success
onboard_00000104,account_00000056,invite_team,2,2025-04-29,2025-05-01 00:00:00,completed,customer_success
onboard_00000105,account_00000056,create_workspace,3,2025-05-04,2025-05-08 00:00:00,completed,customer_success
onboard_00000106,account_00000056,create_first_work_order,4,2025-05-09,2025-05-02 00:00:00,completed,customer_success
onboard_00000107,account_00000056,complete_first_work_order,5,2025-05-14,2025-05-07 00:00:00,completed,customer_success
onboard_00000108,account_00000056,connect_integration,6,2025-05-19,2025-05-06 00:00:00,completed,customer_success
onboard_00000109,account_00000069,company_profile,1,2024-05-03,2024-05-05 00:00:00,completed,customer
onboard_00000110,account_00000069,invite_team,2,2024-05-08,2024-05-09 00:00:00,completed,customer
onboard_00000111,account_00000069,create_workspace,3,2024-05-13,2024-05-09 00:00:00,completed,customer
onboard_00000112,account_00000069,create_first_work_order,4,2024-05-18,2024-05-12 00:00:00,completed,customer
onboard_00000113,account_00000069,complete_first_work_order,5,2024-05-23,2024-05-21 00:00:00,completed,customer
onboard_00000114,account_00000069,connect_integration,6,2024-05-28,,open,customer
onboard_00000115,account_00000079,company_profile,1,2025-11-02,2025-10-29 00:00:00,completed,customer_success
onboard_00000116,account_00000079,invite_team,2,2025-11-07,2025-11-08 00:00:00,completed,customer_success
onboard_00000117,account_00000079,create_workspace,3,2025-11-12,2025-11-13 00:00:00,completed,customer_success
onboard_00000118,account_00000079,create_first_work_order,4,2025-11-17,,open,customer_success
onboard_00000119,account_00000079,complete_first_work_order,5,2025-11-22,2025-11-07 00:00:00,completed,customer_success
onboard_00000120,account_00000079,connect_integration,6,2025-11-27,,open,customer_success
onboard_00000121,account_00000080,company_profile,1,2025-09-30,2025-10-02 00:00:00,completed,customer_success
onboard_00000122,account_00000080,invite_team,2,2025-10-05,2025-10-08 00:00:00,completed,customer_success
onboard_00000123,account_00000080,create_workspace,3,2025-10-10,2025-10-15 00:00:00,completed,customer_success
onboard_00000124,account_00000080,create_first_work_order,4,2025-10-15,2025-10-10 00:00:00,completed,customer_success
onboard_00000125,account_00000080,complete_first_work_order,5,2025-10-20,,open,customer_success
onboard_00000126,account_00000080,connect_integration,6,2025-10-25,2025-11-05 00:00:00,completed,customer_success
onboard_00000127,account_00000083,company_profile,1,2024-09-05,2024-09-02 00:00:00,completed,customer
onboard_00000128,account_00000083,invite_team,2,2024-09-10,,open,customer
onboard_00000129,account_00000083,create_workspace,3,2024-09-15,,open,customer
onboard_00000130,account_00000083,create_first_work_order,4,2024-09-20,,open,customer
onboard_00000131,account_00000083,complete_first_work_order,5,2024-09-25,,open,customer
onboard_00000132,account_00000083,connect_integration,6,2024-09-30,,open,customer
onboard_00000133,account_00000085,company_profile,1,2024-03-12,2024-03-10 00:00:00,completed,customer
onboard_00000134,account_00000085,invite_team,2,2024-03-17,,open,customer
onboard_00000135,account_00000085,create_workspace,3,2024-03-22,,open,customer
onboard_00000136,account_00000085,create_first_work_order,4,2024-03-27,2024-03-29 00:00:00,completed,customer
onboard_00000137,account_00000085,complete_first_work_order,5,2024-04-01,2024-04-02 00:00:00,completed,customer
onboard_00000138,account_00000085,connect_integration,6,2024-04-06,,open,customer
onboard_00000139,account_00000086,company_profile,1,2026-01-03,2026-01-02 00:00:00,completed,customer
onboard_00000140,account_00000086,invite_team,2,2026-01-08,2026-01-04 00:00:00,completed,customer
onboard_00000141,account_00000086,create_workspace,3,2026-01-13,2026-01-02 00:00:00,completed,customer
onboard_00000142,account_00000086,create_first_work_order,4,2026-01-18,2026-01-18 00:00:00,completed,customer
onboard_00000143,account_00000086,complete_first_work_order,5,2026-01-23,2026-01-10 00:00:00,completed,customer
onboard_00000144,account_00000086,connect_integration,6,2026-01-28,,open,customer
onboard_00000145,account_00000087,company_profile,1,2025-02-24,2025-02-21 00:00:00,completed,customer_success
onboard_00000146,account_00000087,invite_team,2,2025-03-01,2025-02-23 00:00:00,completed,customer_success
onboard_00000147,account_00000087,create_workspace,3,2025-03-06,2025-02-27 00:00:00,completed,customer_success
onboard_00000148,account_00000087,create_first_work_order,4,2025-03-11,2025-03-19 00:00:00,completed,customer_success
onboard_00000149,account_00000087,complete_first_work_order,5,2025-03-16,,open,customer_success
onboard_00000150,account_00000087,connect_integration,6,2025-03-21,,open,customer_success
onboard_00000151,account_00000089,company_profile,1,2024-12-15,2024-12-13 00:00:00,completed,customer
onboard_00000152,account_00000089,invite_team,2,2024-12-20,2024-12-18 00:00:00,completed,customer
onboard_00000153,account_00000089,create_workspace,3,2024-12-25,,open,customer
onboard_00000154,account_00000089,create_first_work_order,4,2024-12-30,2025-01-04 00:00:00,completed,customer
onboard_00000155,account_00000089,complete_first_work_order,5,2025-01-04,,open,customer
onboard_00000156,account_00000089,connect_integration,6,2025-01-09,,open,customer
onboard_00000157,account_00000092,company_profile,1,2026-02-24,2026-02-22 00:00:00,completed,customer_success
onboard_00000158,account_00000092,invite_team,2,2026-03-01,,open,customer_success
onboard_00000159,account_00000092,create_workspace,3,2026-03-06,2026-02-25 00:00:00,completed,customer_success
onboard_00000160,account_00000092,create_first_work_order,4,2026-03-11,,open,customer_success
onboard_00000161,account_00000092,complete_first_work_order,5,2026-03-16,,open,customer_success
onboard_00000162,account_00000092,connect_integration,6,2026-03-21,2026-03-08 00:00:00,completed,customer_success
onboard_00000163,account_00000093,company_profile,1,2024-11-23,,open,customer_success
onboard_00000164,account_00000093,invite_team,2,2024-11-28,2024-11-22 00:00:00,completed,customer_success
onboard_00000165,account_00000093,create_workspace,3,2024-12-03,2024-11-27 00:00:00,completed,customer_success
onboard_00000166,account_00000093,create_first_work_order,4,2024-12-08,2024-12-08 00:00:00,completed,customer_success
onboard_00000167,account_00000093,complete_first_work_order,5,2024-12-13,2024-12-05 00:00:00,completed,customer_success
onboard_00000168,account_00000093,connect_integration,6,2024-12-18,,open,customer_success
onboard_00000169,account_00000094,company_profile,1,2026-02-15,2026-02-13 00:00:00,completed,customer
onboard_00000170,account_00000094,invite_team,2,2026-02-20,2026-02-24 00:00:00,completed,customer
onboard_00000171,account_00000094,create_workspace,3,2026-02-25,2026-03-03 00:00:00,completed,customer
onboard_00000172,account_00000094,create_first_work_order,4,2026-03-02,2026-02-24 00:00:00,completed,customer
onboard_00000173,account_00000094,complete_first_work_order,5,2026-03-07,,open,customer
onboard_00000174,account_00000094,connect_integration,6,2026-03-12,,open,customer
onboard_00000175,account_00000095,company_profile,1,2025-06-04,2025-06-01 00:00:00,completed,customer_success
onboard_00000176,account_00000095,invite_team,2,2025-06-09,2025-06-02 00:00:00,completed,customer_success
onboard_00000177,account_00000095,create_workspace,3,2025-06-14,2025-06-03 00:00:00,completed,customer_success
onboard_00000178,account_00000095,create_first_work_order,4,2025-06-19,2025-06-11 00:00:00,completed,customer_success
onboard_00000179,account_00000095,complete_first_work_order,5,2025-06-24,2025-06-21 00:00:00,completed,customer_success
onboard_00000180,account_00000095,connect_integration,6,2025-06-29,2025-06-29 00:00:00,completed,customer_success
onboard_00000181,account_00000100,company_profile,1,2026-05-16,2026-05-13 00:00:00,completed,customer
onboard_00000182,account_00000100,invite_team,2,2026-05-21,2026-05-25 00:00:00,completed,customer
onboard_00000183,account_00000100,create_workspace,3,2026-05-26,,open,customer
onboard_00000184,account_00000100,create_first_work_order,4,2026-05-31,2026-06-07 00:00:00,completed,customer
onboard_00000185,account_00000100,complete_first_work_order,5,2026-06-05,2026-06-05 00:00:00,completed,customer
onboard_00000186,account_00000100,connect_integration,6,2026-06-10,2026-05-29 00:00:00,completed,customer
onboard_00000187,account_00000101,company_profile,1,2026-05-30,2026-05-26 00:00:00,completed,customer
onboard_00000188,account_00000101,invite_team,2,2026-06-04,2026-06-07 00:00:00,completed,customer
onboard_00000189,account_00000101,create_workspace,3,2026-06-09,2026-06-11 00:00:00,completed,customer
onboard_00000190,account_00000101,create_first_work_order,4,2026-06-14,2026-06-11 00:00:00,completed,customer
onboard_00000191,account_00000101,complete_first_work_order,5,2026-06-19,2026-06-20 00:00:00,completed,customer
onboard_00000192,account_00000101,connect_integration,6,2026-06-24,2026-06-06 00:00:00,completed,customer
onboard_00000193,account_00000104,company_profile,1,2024-08-13,,open,customer_success
onboard_00000194,account_00000104,invite_team,2,2024-08-18,2024-08-10 00:00:00,completed,customer_success
onboard_00000195,account_00000104,create_workspace,3,2024-08-23,2024-08-19 00:00:00,completed,customer_success
onboard_00000196,account_00000104,create_first_work_order,4,2024-08-28,2024-09-03 00:00:00,completed,customer_success
onboard_00000197,account_00000104,complete_first_work_order,5,2024-09-02,,open,customer_success
onboard_00000198,account_00000104,connect_integration,6,2024-09-07,,open,customer_success
onboard_00000199,account_00000105,company_profile,1,2026-06-04,2026-06-05 00:00:00,completed,customer
onboard_00000200,account_00000105,invite_team,2,2026-06-09,2026-06-09 00:00:00,completed,customer
onboard_00000201,account_00000105,create_workspace,3,2026-06-14,2026-06-19 00:00:00,completed,customer
onboard_00000202,account_00000105,create_first_work_order,4,2026-06-19,2026-06-18 00:00:00,completed,customer
onboard_00000203,account_00000105,complete_first_work_order,5,2026-06-24,2026-07-01 00:00:00,completed,customer
onboard_00000204,account_00000105,connect_integration,6,2026-06-29,,open,customer
onboard_00000205,account_00000106,company_profile,1,2024-05-18,2024-05-17 00:00:00,completed,customer_success
onboard_00000206,account_00000106,invite_team,2,2024-05-23,,open,customer_success
onboard_00000207,account_00000106,create_workspace,3,2024-05-28,,open,customer_success
onboard_00000208,account_00000106,create_first_work_order,4,2024-06-02,2024-06-05 00:00:00,completed,customer_success
onboard_00000209,account_00000106,complete_first_work_order,5,2024-06-07,2024-06-10 00:00:00,completed,customer_success
onboard_00000210,account_00000106,connect_integration,6,2024-06-12,2024-06-17 00:00:00,completed,customer_success
onboard_00000211,account_00000108,company_profile,1,2025-05-09,2025-05-07 00:00:00,completed,customer_success
onboard_00000212,account_00000108,invite_team,2,2025-05-14,2025-05-11 00:00:00,completed,customer_success
onboard_00000213,account_00000108,create_workspace,3,2025-05-19,2025-05-11 00:00:00,completed,customer_success
onboard_00000214,account_00000108,create_first_work_order,4,2025-05-24,2025-05-09 00:00:00,completed,customer_success
onboard_00000215,account_00000108,complete_first_work_order,5,2025-05-29,2025-06-07 00:00:00,completed,customer_success
onboard_00000216,account_00000108,connect_integration,6,2025-06-03,,open,customer_success
onboard_00000217,account_00000110,company_profile,1,2024-08-01,2024-07-29 00:00:00,completed,customer_success
onboard_00000218,account_00000110,invite_team,2,2024-08-06,2024-07-31 00:00:00,completed,customer_success
onboard_00000219,account_00000110,create_workspace,3,2024-08-11,2024-08-07 00:00:00,completed,customer_success
onboard_00000220,account_00000110,create_first_work_order,4,2024-08-16,2024-08-22 00:00:00,completed,customer_success
onboard_00000221,account_00000110,complete_first_work_order,5,2024-08-21,,open,customer_success
onboard_00000222,account_00000110,connect_integration,6,2024-08-26,2024-08-27 00:00:00,completed,customer_success
onboard_00000223,account_00000111,company_profile,1,2025-01-20,2025-01-19 00:00:00,completed,customer_success
onboard_00000224,account_00000111,invite_team,2,2025-01-25,2025-01-27 00:00:00,completed,customer_success
onboard_00000225,account_00000111,create_workspace,3,2025-01-30,2025-01-19 00:00:00,completed,customer_success
onboard_00000226,account_00000111,create_first_work_order,4,2025-02-04,2025-01-24 00:00:00,completed,customer_success
onboard_00000227,account_00000111,complete_first_work_order,5,2025-02-09,2025-01-27 00:00:00,completed,customer_success
onboard_00000228,account_00000111,connect_integration,6,2025-02-14,,open,customer_success
onboard_00000229,account_00000113,company_profile,1,2024-08-23,2024-08-22 00:00:00,completed,customer
onboard_00000230,account_00000113,invite_team,2,2024-08-28,2024-08-22 00:00:00,completed,customer
onboard_00000231,account_00000113,create_workspace,3,2024-09-02,2024-09-05 00:00:00,completed,customer
onboard_00000232,account_00000113,create_first_work_order,4,2024-09-07,2024-08-24 00:00:00,completed,customer
onboard_00000233,account_00000113,complete_first_work_order,5,2024-09-12,2024-09-18 00:00:00,completed,customer
onboard_00000234,account_00000113,connect_integration,6,2024-09-17,2024-08-29 00:00:00,completed,customer
onboard_00000235,account_00000116,company_profile,1,2025-08-14,2025-08-14 00:00:00,completed,customer_success
onboard_00000236,account_00000116,invite_team,2,2025-08-19,2025-08-20 00:00:00,completed,customer_success
onboard_00000237,account_00000116,create_workspace,3,2025-08-24,2025-08-13 00:00:00,completed,customer_success
onboard_00000238,account_00000116,create_first_work_order,4,2025-08-29,,open,customer_success
onboard_00000239,account_00000116,complete_first_work_order,5,2025-09-03,2025-08-26 00:00:00,completed,customer_success
onboard_00000240,account_00000116,connect_integration,6,2025-09-08,2025-09-04 00:00:00,completed,customer_success
onboard_00000241,account_00000122,company_profile,1,2025-10-08,2025-10-06 00:00:00,completed,customer_success
onboard_00000242,account_00000122,invite_team,2,2025-10-13,2025-10-10 00:00:00,completed,customer_success
onboard_00000243,account_00000122,create_workspace,3,2025-10-18,2025-10-20 00:00:00,completed,customer_success
onboard_00000244,account_00000122,create_first_work_order,4,2025-10-23,2025-10-11 00:00:00,completed,customer_success
onboard_00000245,account_00000122,complete_first_work_order,5,2025-10-28,2025-10-20 00:00:00,completed,customer_success
onboard_00000246,account_00000122,connect_integration,6,2025-11-02,2025-10-20 00:00:00,completed,customer_success
onboard_00000247,account_00000123,company_profile,1,2024-10-18,2024-10-17 00:00:00,completed,customer_success
onboard_00000248,account_00000123,invite_team,2,2024-10-23,2024-10-25 00:00:00,completed,customer_success
onboard_00000249,account_00000123,create_workspace,3,2024-10-28,2024-10-29 00:00:00,completed,customer_success
onboard_00000250,account_00000123,create_first_work_order,4,2024-11-02,2024-10-22 00:00:00,completed,customer_success
onboard_00000251,account_00000123,complete_first_work_order,5,2024-11-07,2024-10-20 00:00:00,completed,customer_success
onboard_00000252,account_00000123,connect_integration,6,2024-11-12,2024-11-17 00:00:00,completed,customer_success
onboard_00000253,account_00000124,company_profile,1,2024-08-06,2024-08-05 00:00:00,completed,customer
onboard_00000254,account_00000124,invite_team,2,2024-08-11,,open,customer
onboard_00000255,account_00000124,create_workspace,3,2024-08-16,,open,customer
onboard_00000256,account_00000124,create_first_work_order,4,2024-08-21,,open,customer
onboard_00000257,account_00000124,complete_first_work_order,5,2024-08-26,,open,customer
onboard_00000258,account_00000124,connect_integration,6,2024-08-31,2024-09-01 00:00:00,completed,customer
onboard_00000259,account_00000126,company_profile,1,2026-03-15,,open,customer
onboard_00000260,account_00000126,invite_team,2,2026-03-20,2026-03-12 00:00:00,completed,customer
onboard_00000261,account_00000126,create_workspace,3,2026-03-25,2026-03-24 00:00:00,completed,customer
onboard_00000262,account_00000126,create_first_work_order,4,2026-03-30,2026-04-06 00:00:00,completed,customer
onboard_00000263,account_00000126,complete_first_work_order,5,2026-04-04,2026-04-01 00:00:00,completed,customer
onboard_00000264,account_00000126,connect_integration,6,2026-04-09,,open,customer
onboard_00000265,account_00000127,company_profile,1,2025-02-10,2025-02-11 00:00:00,completed,customer
onboard_00000266,account_00000127,invite_team,2,2025-02-15,2025-02-13 00:00:00,completed,customer
onboard_00000267,account_00000127,create_workspace,3,2025-02-20,,open,customer
onboard_00000268,account_00000127,create_first_work_order,4,2025-02-25,2025-02-19 00:00:00,completed,customer
onboard_00000269,account_00000127,complete_first_work_order,5,2025-03-02,2025-03-11 00:00:00,completed,customer
onboard_00000270,account_00000127,connect_integration,6,2025-03-07,2025-02-28 00:00:00,completed,customer
onboard_00000271,account_00000128,company_profile,1,2024-08-28,2024-08-30 00:00:00,completed,customer_success
onboard_00000272,account_00000128,invite_team,2,2024-09-02,2024-09-05 00:00:00,completed,customer_success
onboard_00000273,account_00000128,create_workspace,3,2024-09-07,2024-09-06 00:00:00,completed,customer_success
onboard_00000274,account_00000128,create_first_work_order,4,2024-09-12,2024-09-03 00:00:00,completed,customer_success
onboard_00000275,account_00000128,complete_first_work_order,5,2024-09-17,2024-08-31 00:00:00,completed,customer_success
onboard_00000276,account_00000128,connect_integration,6,2024-09-22,,open,customer_success
onboard_00000277,account_00000129,company_profile,1,2025-06-17,2025-06-19 00:00:00,completed,customer_success
onboard_00000278,account_00000129,invite_team,2,2025-06-22,2025-06-23 00:00:00,completed,customer_success
onboard_00000279,account_00000129,create_workspace,3,2025-06-27,2025-06-27 00:00:00,completed,customer_success
onboard_00000280,account_00000129,create_first_work_order,4,2025-07-02,2025-07-10 00:00:00,completed,customer_success
onboard_00000281,account_00000129,complete_first_work_order,5,2025-07-07,2025-06-24 00:00:00,completed,customer_success
onboard_00000282,account_00000129,connect_integration,6,2025-07-12,,open,customer_success
onboard_00000283,account_00000130,company_profile,1,2025-10-25,2025-10-24 00:00:00,completed,customer
onboard_00000284,account_00000130,invite_team,2,2025-10-30,2025-10-29 00:00:00,completed,customer
onboard_00000285,account_00000130,create_workspace,3,2025-11-04,2025-10-31 00:00:00,completed,customer
onboard_00000286,account_00000130,create_first_work_order,4,2025-11-09,2025-11-05 00:00:00,completed,customer
onboard_00000287,account_00000130,complete_first_work_order,5,2025-11-14,2025-10-25 00:00:00,completed,customer
onboard_00000288,account_00000130,connect_integration,6,2025-11-19,2025-11-02 00:00:00,completed,customer
onboard_00000289,account_00000131,company_profile,1,2025-05-21,2025-05-21 00:00:00,completed,customer_success
onboard_00000290,account_00000131,invite_team,2,2025-05-26,2025-05-24 00:00:00,completed,customer_success
onboard_00000291,account_00000131,create_workspace,3,2025-05-31,2025-05-31 00:00:00,completed,customer_success
onboard_00000292,account_00000131,create_first_work_order,4,2025-06-05,2025-06-09 00:00:00,completed,customer_success
onboard_00000293,account_00000131,complete_first_work_order,5,2025-06-10,2025-06-19 00:00:00,completed,customer_success
onboard_00000294,account_00000131,connect_integration,6,2025-06-15,,open,customer_success
onboard_00000295,account_00000134,company_profile,1,2024-07-04,2024-07-02 00:00:00,completed,customer_success
onboard_00000296,account_00000134,invite_team,2,2024-07-09,2024-07-03 00:00:00,completed,customer_success
onboard_00000297,account_00000134,create_workspace,3,2024-07-14,2024-07-14 00:00:00,completed,customer_success
onboard_00000298,account_00000134,create_first_work_order,4,2024-07-19,2024-07-12 00:00:00,completed,customer_success
onboard_00000299,account_00000134,complete_first_work_order,5,2024-07-24,,open,customer_success
onboard_00000300,account_00000134,connect_integration,6,2024-07-29,2024-08-01 00:00:00,completed,customer_success
onboard_00000301,account_00000135,company_profile,1,2025-08-30,2025-08-28 00:00:00,completed,customer_success
onboard_00000302,account_00000135,invite_team,2,2025-09-04,2025-08-30 00:00:00,completed,customer_success
onboard_00000303,account_00000135,create_workspace,3,2025-09-09,2025-09-12 00:00:00,completed,customer_success
