stage_event_id,opportunity_id,stage_name,entered_at,exited_at,stage_sequence
stage_00000027,opp_00000008,discovery,2025-03-29 11:00:00,2025-04-07 11:00:00,2
stage_00000028,opp_00000008,demonstration,2025-04-07 11:00:00,2025-04-11 11:00:00,3
stage_00000029,opp_00000009,qualification,2025-06-23 09:00:00,2025-06-27 09:00:00,1
stage_00000030,opp_00000009,discovery,2025-06-27 09:00:00,2025-07-10 09:00:00,2
stage_00000031,opp_00000010,qualification,2024-07-03 13:00:00,2024-07-24 13:00:00,1
stage_00000032,opp_00000010,discovery,2024-07-24 13:00:00,2024-07-31 13:00:00,2
stage_00000033,opp_00000010,demonstration,2024-07-31 13:00:00,2024-08-17 13:00:00,3
stage_00000034,opp_00000010,proposal,2024-08-17 13:00:00,2024-08-25 13:00:00,4
stage_00000035,opp_00000010,negotiation,2024-08-25 13:00:00,2024-07-13 00:00:00,5
stage_00000036,opp_00000011,qualification,2025-04-21 18:00:00,2025-05-11 18:00:00,1
stage_00000037,opp_00000011,discovery,2025-05-11 18:00:00,2025-05-27 18:00:00,2
stage_00000038,opp_00000011,demonstration,2025-05-27 18:00:00,2025-06-05 18:00:00,3
stage_00000039,opp_00000011,proposal,2025-06-05 18:00:00,2025-06-11 18:00:00,4
stage_00000040,opp_00000011,negotiation,2025-06-11 18:00:00,2025-07-02 00:00:00,5
stage_00000041,opp_00000012,qualification,2024-06-05 18:00:00,2024-06-24 18:00:00,1
stage_00000042,opp_00000012,discovery,2024-06-24 18:00:00,2024-06-29 18:00:00,2
stage_00000043,opp_00000012,demonstration,2024-06-29 18:00:00,2024-07-03 18:00:00,3
stage_00000044,opp_00000012,proposal,2024-07-03 18:00:00,2024-07-08 18:00:00,4
stage_00000045,opp_00000013,qualification,2025-03-22 14:00:00,2025-04-11 14:00:00,1
stage_00000046,opp_00000013,discovery,2025-04-11 14:00:00,2025-04-17 14:00:00,2
stage_00000047,opp_00000013,demonstration,2025-04-17 14:00:00,2025-04-28 14:00:00,3
stage_00000048,opp_00000013,proposal,2025-04-28 14:00:00,2025-05-15 14:00:00,4
stage_00000049,opp_00000014,qualification,2025-11-27 17:00:00,2025-12-08 17:00:00,1
stage_00000050,opp_00000015,qualification,2026-04-07 14:00:00,2026-04-22 14:00:00,1
stage_00000051,opp_00000016,qualification,2024-07-31 18:00:00,2024-08-05 18:00:00,1
stage_00000052,opp_00000016,discovery,2024-08-05 18:00:00,2024-08-16 18:00:00,2
stage_00000053,opp_00000016,demonstration,2024-08-16 18:00:00,2024-09-02 18:00:00,3
stage_00000054,opp_00000017,qualification,2026-04-27 09:00:00,2026-05-08 09:00:00,1
stage_00000055,opp_00000017,discovery,2026-05-08 09:00:00,2026-05-27 09:00:00,2
stage_00000056,opp_00000017,demonstration,2026-05-27 09:00:00,2026-06-15 09:00:00,3
stage_00000057,opp_00000017,proposal,2026-06-15 09:00:00,2026-06-27 09:00:00,4
stage_00000058,opp_00000017,negotiation,2026-06-27 09:00:00,2026-06-26 00:00:00,5
stage_00000059,opp_00000018,qualification,2025-09-15 13:00:00,2025-09-24 13:00:00,1
stage_00000060,opp_00000018,discovery,2025-09-24 13:00:00,2025-10-12 13:00:00,2
stage_00000061,opp_00000018,demonstration,2025-10-12 13:00:00,2025-10-15 13:00:00,3
stage_00000062,opp_00000018,proposal,2025-10-15 13:00:00,2025-11-04 13:00:00,4
stage_00000063,opp_00000018,negotiation,2025-11-04 13:00:00,2025-11-15 00:00:00,5
stage_00000064,opp_00000019,qualification,2025-11-21 14:00:00,2025-12-10 14:00:00,1
stage_00000065,opp_00000019,discovery,2025-12-10 14:00:00,2025-12-26 14:00:00,2
stage_00000066,opp_00000019,demonstration,2025-12-26 14:00:00,2026-01-08 14:00:00,3
stage_00000067,opp_00000019,proposal,2026-01-08 14:00:00,2026-01-14 14:00:00,4
stage_00000068,opp_00000019,negotiation,2026-01-14 14:00:00,2026-03-11 00:00:00,5
stage_00000069,opp_00000020,qualification,2024-02-16 10:00:00,2024-03-07 10:00:00,1
stage_00000070,opp_00000020,discovery,2024-03-07 10:00:00,2024-03-22 10:00:00,2
stage_00000071,opp_00000020,demonstration,2024-03-22 10:00:00,2024-04-03 10:00:00,3
stage_00000072,opp_00000020,proposal,2024-04-03 10:00:00,2024-04-16 10:00:00,4
stage_00000073,opp_00000020,negotiation,2024-04-16 10:00:00,2024-04-24 00:00:00,5
stage_00000074,opp_00000021,qualification,2024-09-09 14:00:00,2024-09-18 14:00:00,1
stage_00000075,opp_00000021,discovery,2024-09-18 14:00:00,2024-10-01 14:00:00,2
stage_00000076,opp_00000022,qualification,2025-02-06 10:00:00,2025-02-21 10:00:00,1
stage_00000077,opp_00000022,discovery,2025-02-21 10:00:00,2025-03-03 10:00:00,2
stage_00000078,opp_00000022,demonstration,2025-03-03 10:00:00,2025-03-20 10:00:00,3
stage_00000079,opp_00000022,proposal,2025-03-20 10:00:00,2025-03-24 10:00:00,4
stage_00000080,opp_00000022,negotiation,2025-03-24 10:00:00,2025-03-28 10:00:00,5
stage_00000081,opp_00000023,qualification,2026-04-16 12:00:00,2026-04-30 12:00:00,1
stage_00000082,opp_00000024,qualification,2025-05-23 14:00:00,2025-06-02 14:00:00,1
stage_00000083,opp_00000024,discovery,2025-06-02 14:00:00,2025-06-09 14:00:00,2
stage_00000084,opp_00000024,demonstration,2025-06-09 14:00:00,2025-06-27 14:00:00,3
stage_00000085,opp_00000024,proposal,2025-06-27 14:00:00,2025-07-11 14:00:00,4
stage_00000086,opp_00000025,qualification,2024-12-27 08:00:00,2025-01-11 08:00:00,1
stage_00000087,opp_00000026,qualification,2025-08-25 15:00:00,2025-08-28 15:00:00,1
stage_00000088,opp_00000026,discovery,2025-08-28 15:00:00,2025-09-14 15:00:00,2
stage_00000089,opp_00000026,demonstration,2025-09-14 15:00:00,2025-10-05 15:00:00,3
stage_00000090,opp_00000026,proposal,2025-10-05 15:00:00,2025-10-17 15:00:00,4
stage_00000091,opp_00000026,negotiation,2025-10-17 15:00:00,2025-09-25 00:00:00,5
stage_00000092,opp_00000027,qualification,2025-01-21 11:00:00,2025-02-01 11:00:00,1
stage_00000093,opp_00000027,discovery,2025-02-01 11:00:00,2025-02-07 11:00:00,2
stage_00000094,opp_00000027,demonstration,2025-02-07 11:00:00,2025-02-23 11:00:00,3
stage_00000095,opp_00000027,proposal,2025-02-23 11:00:00,2025-03-16 11:00:00,4
stage_00000096,opp_00000027,negotiation,2025-03-16 11:00:00,2025-02-19 00:00:00,5
stage_00000097,opp_00000028,qualification,2025-07-15 16:00:00,2025-07-24 16:00:00,1
stage_00000098,opp_00000028,discovery,2025-07-24 16:00:00,2025-08-08 16:00:00,2
stage_00000099,opp_00000028,demonstration,2025-08-08 16:00:00,2025-08-17 16:00:00,3
stage_00000100,opp_00000029,qualification,2025-12-21 08:00:00,2025-12-24 08:00:00,1
stage_00000101,opp_00000029,discovery,2025-12-24 08:00:00,2026-01-04 08:00:00,2
stage_00000102,opp_00000029,demonstration,2026-01-04 08:00:00,2026-01-13 08:00:00,3
stage_00000103,opp_00000029,proposal,2026-01-13 08:00:00,2026-01-20 08:00:00,4
stage_00000104,opp_00000029,negotiation,2026-01-20 08:00:00,2026-02-19 00:00:00,5
stage_00000105,opp_00000030,qualification,2024-10-04 16:00:00,2024-10-24 16:00:00,1
stage_00000106,opp_00000030,discovery,2024-10-24 16:00:00,2024-11-10 16:00:00,2
stage_00000107,opp_00000030,demonstration,2024-11-10 16:00:00,2024-11-20 16:00:00,3
stage_00000108,opp_00000030,proposal,2024-11-20 16:00:00,2024-12-08 16:00:00,4
stage_00000109,opp_00000030,negotiation,2024-12-08 16:00:00,2024-11-18 00:00:00,5
stage_00000110,opp_00000031,qualification,2025-03-09 13:00:00,2025-03-15 13:00:00,1
stage_00000111,opp_00000031,discovery,2025-03-15 13:00:00,2025-04-03 13:00:00,2
stage_00000112,opp_00000031,demonstration,2025-04-03 13:00:00,2025-04-08 13:00:00,3
stage_00000113,opp_00000031,proposal,2025-04-08 13:00:00,2025-04-22 13:00:00,4
stage_00000114,opp_00000031,negotiation,2025-04-22 13:00:00,2025-05-30 00:00:00,5
stage_00000115,opp_00000032,qualification,2024-04-21 18:00:00,2024-04-29 18:00:00,1
stage_00000116,opp_00000032,discovery,2024-04-29 18:00:00,2024-05-02 18:00:00,2
stage_00000117,opp_00000032,demonstration,2024-05-02 18:00:00,2024-05-12 18:00:00,3
stage_00000118,opp_00000032,proposal,2024-05-12 18:00:00,2024-06-02 18:00:00,4
stage_00000119,opp_00000033,qualification,2025-07-06 17:00:00,2025-07-14 17:00:00,1
stage_00000120,opp_00000033,discovery,2025-07-14 17:00:00,2025-08-02 17:00:00,2
stage_00000121,opp_00000033,demonstration,2025-08-02 17:00:00,2025-08-12 17:00:00,3
stage_00000122,opp_00000034,qualification,2024-07-22 14:00:00,2024-08-06 14:00:00,1
stage_00000123,opp_00000034,discovery,2024-08-06 14:00:00,2024-08-09 14:00:00,2
stage_00000124,opp_00000034,demonstration,2024-08-09 14:00:00,2024-08-18 14:00:00,3
stage_00000125,opp_00000034,proposal,2024-08-18 14:00:00,2024-08-25 14:00:00,4
stage_00000126,opp_00000034,negotiation,2024-08-25 14:00:00,2024-08-08 00:00:00,5
stage_00000127,opp_00000035,qualification,2024-01-15 08:00:00,2024-02-05 08:00:00,1
stage_00000128,opp_00000035,discovery,2024-02-05 08:00:00,2024-02-12 08:00:00,2
stage_00000129,opp_00000035,demonstration,2024-02-12 08:00:00,2024-02-17 08:00:00,3
stage_00000130,opp_00000035,proposal,2024-02-17 08:00:00,2024-02-28 08:00:00,4
stage_00000131,opp_00000035,negotiation,2024-02-28 08:00:00,2024-05-13 00:00:00,5
stage_00000132,opp_00000036,qualification,2025-03-21 16:00:00,2025-04-07 16:00:00,1
stage_00000133,opp_00000036,discovery,2025-04-07 16:00:00,2025-04-15 16:00:00,2
stage_00000134,opp_00000036,demonstration,2025-04-15 16:00:00,2025-05-05 16:00:00,3
stage_00000135,opp_00000036,proposal,2025-05-05 16:00:00,2025-05-17 16:00:00,4
stage_00000136,opp_00000036,negotiation,2025-05-17 16:00:00,2025-05-04 00:00:00,5
stage_00000137,opp_00000037,qualification,2024-07-01 16:00:00,2024-07-07 16:00:00,1
stage_00000138,opp_00000037,discovery,2024-07-07 16:00:00,2024-07-19 16:00:00,2
stage_00000139,opp_00000037,demonstration,2024-07-19 16:00:00,2024-07-29 16:00:00,3
stage_00000140,opp_00000037,proposal,2024-07-29 16:00:00,2024-08-14 16:00:00,4
stage_00000141,opp_00000037,negotiation,2024-08-14 16:00:00,2024-07-27 00:00:00,5
stage_00000142,opp_00000038,qualification,2024-11-27 16:00:00,2024-12-12 16:00:00,1
stage_00000143,opp_00000038,discovery,2024-12-12 16:00:00,2024-12-17 16:00:00,2
stage_00000144,opp_00000038,demonstration,2024-12-17 16:00:00,2024-12-24 16:00:00,3
stage_00000145,opp_00000038,proposal,2024-12-24 16:00:00,2025-01-05 16:00:00,4
stage_00000146,opp_00000038,negotiation,2025-01-05 16:00:00,2025-01-15 00:00:00,5
stage_00000147,opp_00000039,qualification,2025-07-15 09:00:00,2025-07-24 09:00:00,1
stage_00000148,opp_00000039,discovery,2025-07-24 09:00:00,2025-08-08 09:00:00,2
stage_00000149,opp_00000039,demonstration,2025-08-08 09:00:00,2025-08-15 09:00:00,3
stage_00000150,opp_00000039,proposal,2025-08-15 09:00:00,2025-08-26 09:00:00,4
stage_00000151,opp_00000039,negotiation,2025-08-26 09:00:00,2025-08-09 00:00:00,5
stage_00000152,opp_00000040,qualification,2024-01-31 12:00:00,2024-02-03 12:00:00,1
stage_00000153,opp_00000040,discovery,2024-02-03 12:00:00,2024-02-07 12:00:00,2
stage_00000154,opp_00000040,demonstration,2024-02-07 12:00:00,2024-02-20 12:00:00,3
stage_00000155,opp_00000041,qualification,2025-08-29 13:00:00,2025-09-05 13:00:00,1
stage_00000156,opp_00000041,discovery,2025-09-05 13:00:00,2025-09-21 13:00:00,2
stage_00000157,opp_00000042,qualification,2026-03-19 15:00:00,2026-04-09 15:00:00,1
stage_00000158,opp_00000042,discovery,2026-04-09 15:00:00,2026-04-19 15:00:00,2
stage_00000159,opp_00000042,demonstration,2026-04-19 15:00:00,2026-05-08 15:00:00,3
stage_00000160,opp_00000043,qualification,2025-08-01 14:00:00,2025-08-09 14:00:00,1
stage_00000161,opp_00000043,discovery,2025-08-09 14:00:00,2025-08-14 14:00:00,2
stage_00000162,opp_00000043,demonstration,2025-08-14 14:00:00,2025-09-04 14:00:00,3
stage_00000163,opp_00000043,proposal,2025-09-04 14:00:00,2025-09-19 14:00:00,4
stage_00000164,opp_00000043,negotiation,2025-09-19 14:00:00,2025-10-03 00:00:00,5
stage_00000165,opp_00000044,qualification,2024-09-25 11:00:00,2024-09-29 11:00:00,1
stage_00000166,opp_00000044,discovery,2024-09-29 11:00:00,2024-10-11 11:00:00,2
stage_00000167,opp_00000044,demonstration,2024-10-11 11:00:00,2024-10-16 11:00:00,3
stage_00000168,opp_00000044,proposal,2024-10-16 11:00:00,2024-11-06 11:00:00,4
stage_00000169,opp_00000044,negotiation,2024-11-06 11:00:00,2024-10-13 00:00:00,5
stage_00000170,opp_00000045,qualification,2024-06-03 10:00:00,2024-06-08 10:00:00,1
stage_00000171,opp_00000045,discovery,2024-06-08 10:00:00,2024-06-27 10:00:00,2
stage_00000172,opp_00000045,demonstration,2024-06-27 10:00:00,2024-07-16 10:00:00,3
stage_00000173,opp_00000045,proposal,2024-07-16 10:00:00,2024-07-31 10:00:00,4
stage_00000174,opp_00000045,negotiation,2024-07-31 10:00:00,2024-08-23 00:00:00,5
stage_00000175,opp_00000046,qualification,2025-05-28 08:00:00,2025-06-06 08:00:00,1
stage_00000176,opp_00000046,discovery,2025-06-06 08:00:00,2025-06-18 08:00:00,2
stage_00000177,opp_00000046,demonstration,2025-06-18 08:00:00,2025-07-05 08:00:00,3
stage_00000178,opp_00000046,proposal,2025-07-05 08:00:00,2025-07-11 08:00:00,4
stage_00000179,opp_00000046,negotiation,2025-07-11 08:00:00,2025-06-12 00:00:00,5
stage_00000180,opp_00000047,qualification,2025-04-30 13:00:00,2025-05-19 13:00:00,1
stage_00000181,opp_00000047,discovery,2025-05-19 13:00:00,2025-06-03 13:00:00,2
stage_00000182,opp_00000047,demonstration,2025-06-03 13:00:00,2025-06-14 13:00:00,3
stage_00000183,opp_00000047,proposal,2025-06-14 13:00:00,2025-06-26 13:00:00,4
stage_00000184,opp_00000047,negotiation,2025-06-26 13:00:00,2025-05-16 00:00:00,5
stage_00000185,opp_00000048,qualification,2025-08-17 17:00:00,2025-09-05 17:00:00,1
stage_00000186,opp_00000049,qualification,2024-04-07 12:00:00,2024-04-15 12:00:00,1
stage_00000187,opp_00000049,discovery,2024-04-15 12:00:00,2024-04-22 12:00:00,2
stage_00000188,opp_00000049,demonstration,2024-04-22 12:00:00,2024-05-10 12:00:00,3
stage_00000189,opp_00000049,proposal,2024-05-10 12:00:00,2024-05-31 12:00:00,4
stage_00000190,opp_00000049,negotiation,2024-05-31 12:00:00,2024-06-29 00:00:00,5
stage_00000191,opp_00000050,qualification,2025-06-20 18:00:00,2025-07-09 18:00:00,1
stage_00000192,opp_00000050,discovery,2025-07-09 18:00:00,2025-07-26 18:00:00,2
stage_00000193,opp_00000050,demonstration,2025-07-26 18:00:00,2025-08-10 18:00:00,3
stage_00000194,opp_00000050,proposal,2025-08-10 18:00:00,2025-08-18 18:00:00,4
stage_00000195,opp_00000050,negotiation,2025-08-18 18:00:00,2025-08-25 00:00:00,5
stage_00000196,opp_00000051,qualification,2024-07-31 11:00:00,2024-08-03 11:00:00,1
stage_00000197,opp_00000051,discovery,2024-08-03 11:00:00,2024-08-06 11:00:00,2
stage_00000198,opp_00000051,demonstration,2024-08-06 11:00:00,2024-08-16 11:00:00,3
stage_00000199,opp_00000051,proposal,2024-08-16 11:00:00,2024-08-23 11:00:00,4
stage_00000200,opp_00000051,negotiation,2024-08-23 11:00:00,2024-09-24 00:00:00,5
stage_00000201,opp_00000052,qualification,2025-01-26 08:00:00,2025-02-05 08:00:00,1
stage_00000202,opp_00000052,discovery,2025-02-05 08:00:00,2025-02-20 08:00:00,2
stage_00000203,opp_00000052,demonstration,2025-02-20 08:00:00,2025-03-11 08:00:00,3
stage_00000204,opp_00000052,proposal,2025-03-11 08:00:00,2025-03-31 08:00:00,4
stage_00000205,opp_00000052,negotiation,2025-03-31 08:00:00,2025-04-20 00:00:00,5
stage_00000206,opp_00000053,qualification,2025-03-28 09:00:00,2025-04-16 09:00:00,1
stage_00000207,opp_00000054,qualification,2024-12-30 13:00:00,2025-01-14 13:00:00,1
stage_00000208,opp_00000054,discovery,2025-01-14 13:00:00,2025-01-23 13:00:00,2
stage_00000209,opp_00000054,demonstration,2025-01-23 13:00:00,2025-01-30 13:00:00,3
stage_00000210,opp_00000054,proposal,2025-01-30 13:00:00,2025-02-15 13:00:00,4
stage_00000211,opp_00000055,qualification,2024-06-06 12:00:00,2024-06-10 12:00:00,1
stage_00000212,opp_00000055,discovery,2024-06-10 12:00:00,2024-06-19 12:00:00,2
stage_00000213,opp_00000055,demonstration,2024-06-19 12:00:00,2024-06-29 12:00:00,3
stage_00000214,opp_00000055,proposal,2024-06-29 12:00:00,2024-07-05 12:00:00,4
stage_00000215,opp_00000055,negotiation,2024-07-05 12:00:00,2024-07-12 00:00:00,5
stage_00000216,opp_00000056,qualification,2024-04-18 11:00:00,2024-04-28 11:00:00,1
stage_00000217,opp_00000056,discovery,2024-04-28 11:00:00,2024-05-08 11:00:00,2
stage_00000218,opp_00000056,demonstration,2024-05-08 11:00:00,2024-05-13 11:00:00,3
stage_00000219,opp_00000056,proposal,2024-05-13 11:00:00,2024-05-29 11:00:00,4
stage_00000220,opp_00000056,negotiation,2024-05-29 11:00:00,2024-05-08 00:00:00,5
stage_00000221,opp_00000057,qualification,2026-04-07 15:00:00,2026-04-10 15:00:00,1
stage_00000222,opp_00000057,discovery,2026-04-10 15:00:00,2026-04-21 15:00:00,2
stage_00000223,opp_00000057,demonstration,2026-04-21 15:00:00,2026-04-29 15:00:00,3
stage_00000224,opp_00000057,proposal,2026-04-29 15:00:00,2026-05-16 15:00:00,4
stage_00000225,opp_00000057,negotiation,2026-05-16 15:00:00,2026-04-30 00:00:00,5
stage_00000226,opp_00000058,qualification,2025-02-04 12:00:00,2025-02-15 12:00:00,1
stage_00000227,opp_00000058,discovery,2025-02-15 12:00:00,2025-02-28 12:00:00,2
stage_00000228,opp_00000058,demonstration,2025-02-28 12:00:00,2025-03-03 12:00:00,3
stage_00000229,opp_00000058,proposal,2025-03-03 12:00:00,2025-03-18 12:00:00,4
stage_00000230,opp_00000058,negotiation,2025-03-18 12:00:00,2025-04-22 00:00:00,5
stage_00000231,opp_00000059,qualification,2025-11-16 17:00:00,2025-12-05 17:00:00,1
stage_00000232,opp_00000059,discovery,2025-12-05 17:00:00,2025-12-08 17:00:00,2
stage_00000233,opp_00000059,demonstration,2025-12-08 17:00:00,2025-12-20 17:00:00,3
stage_00000234,opp_00000060,qualification,2026-04-21 10:00:00,2026-05-01 10:00:00,1
stage_00000235,opp_00000060,discovery,2026-05-01 10:00:00,2026-05-12 10:00:00,2
stage_00000236,opp_00000060,demonstration,2026-05-12 10:00:00,2026-05-24 10:00:00,3
stage_00000237,opp_00000061,qualification,2025-05-05 08:00:00,2025-05-22 08:00:00,1
stage_00000238,opp_00000061,discovery,2025-05-22 08:00:00,2025-06-01 08:00:00,2
stage_00000239,opp_00000061,demonstration,2025-06-01 08:00:00,2025-06-04 08:00:00,3
stage_00000240,opp_00000061,proposal,2025-06-04 08:00:00,2025-06-20 08:00:00,4
stage_00000241,opp_00000062,qualification,2025-12-17 12:00:00,2025-12-22 12:00:00,1
stage_00000242,opp_00000062,discovery,2025-12-22 12:00:00,2026-01-01 12:00:00,2
stage_00000243,opp_00000062,demonstration,2026-01-01 12:00:00,2026-01-19 12:00:00,3
stage_00000244,opp_00000062,proposal,2026-01-19 12:00:00,2026-01-28 12:00:00,4
stage_00000245,opp_00000063,qualification,2025-10-30 16:00:00,2025-11-02 16:00:00,1
stage_00000246,opp_00000063,discovery,2025-11-02 16:00:00,2025-11-07 16:00:00,2
stage_00000247,opp_00000063,demonstration,2025-11-07 16:00:00,2025-11-10 16:00:00,3
stage_00000248,opp_00000063,proposal,2025-11-10 16:00:00,2025-11-19 16:00:00,4
stage_00000249,opp_00000063,negotiation,2025-11-19 16:00:00,2025-11-26 16:00:00,5
stage_00000250,opp_00000064,qualification,2025-12-18 10:00:00,2025-12-26 10:00:00,1
stage_00000251,opp_00000064,discovery,2025-12-26 10:00:00,2026-01-08 10:00:00,2
stage_00000252,opp_00000064,demonstration,2026-01-08 10:00:00,2026-01-12 10:00:00,3
stage_00000253,opp_00000064,proposal,2026-01-12 10:00:00,2026-01-20 10:00:00,4
stage_00000254,opp_00000064,negotiation,2026-01-20 10:00:00,2026-02-06 10:00:00,5
stage_00000255,opp_00000065,qualification,2026-04-04 12:00:00,2026-04-15 12:00:00,1
stage_00000256,opp_00000065,discovery,2026-04-15 12:00:00,2026-04-30 12:00:00,2
stage_00000257,opp_00000066,qualification,2024-11-04 16:00:00,2024-11-19 16:00:00,1
stage_00000258,opp_00000066,discovery,2024-11-19 16:00:00,2024-12-06 16:00:00,2
stage_00000259,opp_00000066,demonstration,2024-12-06 16:00:00,2024-12-14 16:00:00,3
stage_00000260,opp_00000066,proposal,2024-12-14 16:00:00,2025-01-01 16:00:00,4
stage_00000261,opp_00000067,qualification,2025-10-07 08:00:00,2025-10-25 08:00:00,1
stage_00000262,opp_00000067,discovery,2025-10-25 08:00:00,2025-11-13 08:00:00,2
stage_00000263,opp_00000067,demonstration,2025-11-13 08:00:00,2025-11-28 08:00:00,3
stage_00000264,opp_00000067,proposal,2025-11-28 08:00:00,2025-12-03 08:00:00,4
stage_00000265,opp_00000067,negotiation,2025-12-03 08:00:00,2025-12-10 08:00:00,5
stage_00000266,opp_00000068,qualification,2026-05-28 14:00:00,2026-05-31 14:00:00,1
stage_00000267,opp_00000068,discovery,2026-05-31 14:00:00,2026-06-21 14:00:00,2
stage_00000268,opp_00000068,demonstration,2026-06-21 14:00:00,2026-07-03 14:00:00,3
stage_00000269,opp_00000068,proposal,2026-07-03 14:00:00,2026-07-19 14:00:00,4
stage_00000270,opp_00000068,negotiation,2026-07-19 14:00:00,2026-08-04 14:00:00,5
stage_00000271,opp_00000069,qualification,2024-08-28 12:00:00,2024-09-03 12:00:00,1
stage_00000272,opp_00000070,qualification,2025-08-24 18:00:00,2025-09-09 18:00:00,1
stage_00000273,opp_00000070,discovery,2025-09-09 18:00:00,2025-09-29 18:00:00,2
stage_00000274,opp_00000070,demonstration,2025-09-29 18:00:00,2025-10-15 18:00:00,3
stage_00000275,opp_00000070,proposal,2025-10-15 18:00:00,2025-11-02 18:00:00,4
stage_00000276,opp_00000070,negotiation,2025-11-02 18:00:00,2025-10-16 00:00:00,5
stage_00000277,opp_00000071,qualification,2025-04-01 17:00:00,2025-04-11 17:00:00,1
stage_00000278,opp_00000071,discovery,2025-04-11 17:00:00,2025-04-25 17:00:00,2
stage_00000279,opp_00000071,demonstration,2025-04-25 17:00:00,2025-05-06 17:00:00,3
stage_00000280,opp_00000071,proposal,2025-05-06 17:00:00,2025-05-26 17:00:00,4
stage_00000281,opp_00000071,negotiation,2025-05-26 17:00:00,2025-05-22 00:00:00,5
stage_00000282,opp_00000072,qualification,2025-02-10 13:00:00,2025-02-23 13:00:00,1
stage_00000283,opp_00000072,discovery,2025-02-23 13:00:00,2025-03-13 13:00:00,2
stage_00000284,opp_00000072,demonstration,2025-03-13 13:00:00,2025-04-03 13:00:00,3
stage_00000285,opp_00000072,proposal,2025-04-03 13:00:00,2025-04-24 13:00:00,4
stage_00000286,opp_00000072,negotiation,2025-04-24 13:00:00,2025-04-07 00:00:00,5
stage_00000287,opp_00000073,qualification,2026-04-25 15:00:00,2026-05-12 15:00:00,1
stage_00000288,opp_00000073,discovery,2026-05-12 15:00:00,2026-05-17 15:00:00,2
stage_00000289,opp_00000073,demonstration,2026-05-17 15:00:00,2026-06-03 15:00:00,3
stage_00000290,opp_00000073,proposal,2026-06-03 15:00:00,2026-06-15 15:00:00,4
stage_00000291,opp_00000073,negotiation,2026-06-15 15:00:00,2026-06-29 00:00:00,5
stage_00000292,opp_00000074,qualification,2024-05-05 09:00:00,2024-05-25 09:00:00,1
stage_00000293,opp_00000074,discovery,2024-05-25 09:00:00,2024-06-10 09:00:00,2
stage_00000294,opp_00000074,demonstration,2024-06-10 09:00:00,2024-06-13 09:00:00,3
stage_00000295,opp_00000074,proposal,2024-06-13 09:00:00,2024-06-24 09:00:00,4
stage_00000296,opp_00000075,qualification,2024-06-15 18:00:00,2024-07-04 18:00:00,1
stage_00000297,opp_00000076,qualification,2025-01-29 16:00:00,2025-02-16 16:00:00,1
stage_00000298,opp_00000076,discovery,2025-02-16 16:00:00,2025-02-25 16:00:00,2
stage_00000299,opp_00000076,demonstration,2025-02-25 16:00:00,2025-03-18 16:00:00,3
stage_00000300,opp_00000076,proposal,2025-03-18 16:00:00,2025-03-27 16:00:00,4
