payment_method_id,account_id,method_type,provider,created_at,expiry_month,expiry_year,active_flag
pm_00000035,account_00000106,sepa_debit,Adyen,2024-05-12 00:00:00,,,True
pm_00000036,account_00000108,sepa_debit,Adyen,2025-05-03 00:00:00,,,True
pm_00000037,account_00000110,card,Adyen,2024-07-26 00:00:00,1,2030,True
pm_00000038,account_00000111,bank_transfer,bank,2025-01-14 00:00:00,,,True
pm_00000039,account_00000113,card,Adyen,2024-08-17 00:00:00,3,2030,True
pm_00000040,account_00000116,card,Adyen,2025-08-08 00:00:00,8,2029,True
pm_00000041,account_00000122,bank_transfer,bank,2025-10-02 00:00:00,,,True
pm_00000042,account_00000123,sepa_debit,Adyen,2024-10-12 00:00:00,,,True
pm_00000043,account_00000124,card,Adyen,2024-07-31 00:00:00,12,2030,True
pm_00000044,account_00000126,bank_transfer,bank,2026-03-09 00:00:00,,,True
pm_00000045,account_00000127,bank_transfer,bank,2025-02-04 00:00:00,,,True
pm_00000046,account_00000128,sepa_debit,Adyen,2024-08-22 00:00:00,,,True
pm_00000047,account_00000129,card,Adyen,2025-06-11 00:00:00,5,2028,True
pm_00000048,account_00000130,card,Adyen,2025-10-19 00:00:00,10,2028,True
pm_00000049,account_00000131,bank_transfer,bank,2025-05-15 00:00:00,,,True
pm_00000050,account_00000134,sepa_debit,Adyen,2024-06-28 00:00:00,,,True
pm_00000051,account_00000135,card,Adyen,2025-08-24 00:00:00,9,2028,True
pm_00000052,account_00000136,sepa_debit,Adyen,2024-09-23 00:00:00,,,True
pm_00000053,account_00000137,sepa_debit,Adyen,2025-11-17 00:00:00,,,True
pm_00000054,account_00000138,sepa_debit,Adyen,2024-11-10 00:00:00,,,True
pm_00000055,account_00000141,bank_transfer,bank,2025-04-19 00:00:00,,,True
pm_00000056,account_00000152,bank_transfer,bank,2024-07-11 00:00:00,,,True
pm_00000057,account_00000155,bank_transfer,bank,2024-12-23 00:00:00,,,True
pm_00000058,account_00000157,sepa_debit,Adyen,2024-05-07 00:00:00,,,True
pm_00000059,account_00000159,card,Adyen,2026-04-29 00:00:00,11,2029,True
pm_00000060,account_00000161,card,Adyen,2025-04-21 00:00:00,3,2029,True
pm_00000061,account_00000166,sepa_debit,Adyen,2025-01-22 00:00:00,,,True
pm_00000062,account_00000169,bank_transfer,bank,2026-06-26 00:00:00,,,True
pm_00000063,account_00000173,bank_transfer,bank,2024-04-26 00:00:00,,,True
pm_00000064,account_00000177,card,Adyen,2025-08-21 00:00:00,7,2027,True
pm_00000065,account_00000183,card,Adyen,2024-03-03 00:00:00,6,2029,True
pm_00000066,account_00000184,sepa_debit,Adyen,2025-07-18 00:00:00,,,True
pm_00000067,account_00000192,card,Adyen,2025-02-01 00:00:00,6,2030,True
pm_00000068,account_00000197,sepa_debit,Adyen,2026-06-15 00:00:00,,,True
pm_00000069,account_00000204,bank_transfer,bank,2025-10-15 00:00:00,,,True
pm_00000070,account_00000205,sepa_debit,Adyen,2026-05-04 00:00:00,,,True
pm_00000071,account_00000206,sepa_debit,Adyen,2026-02-03 00:00:00,,,True
pm_00000072,account_00000207,sepa_debit,Adyen,2025-05-21 00:00:00,,,True
pm_00000073,account_00000208,bank_transfer,bank,2025-04-06 00:00:00,,,True
pm_00000074,account_00000213,sepa_debit,Adyen,2026-06-28 00:00:00,,,True
pm_00000075,account_00000221,bank_transfer,bank,2025-10-19 00:00:00,,,True
pm_00000076,account_00000222,bank_transfer,bank,2025-02-19 00:00:00,,,True
pm_00000077,account_00000228,card,Adyen,2025-04-29 00:00:00,2,2027,True
pm_00000078,account_00000229,card,Adyen,2024-05-21 00:00:00,2,2029,True
pm_00000079,account_00000230,card,Adyen,2026-04-11 00:00:00,1,2030,True
pm_00000080,account_00000234,bank_transfer,bank,2024-09-27 00:00:00,,,True
pm_00000081,account_00000244,bank_transfer,bank,2024-09-07 00:00:00,,,True
pm_00000082,account_00000245,bank_transfer,bank,2026-05-25 00:00:00,,,True
pm_00000083,account_00000247,card,Adyen,2026-04-21 00:00:00,3,2027,True
