rate_date,currency_code,eur_rate
2026-01-01,NOK,0.076049
2026-02-01,NOK,0.073637
2026-03-01,NOK,0.073056
2026-04-01,NOK,0.072714
2026-05-01,NOK,0.073538
2026-06-01,NOK,0.071946
2024-01-01,PLN,0.22985
2024-02-01,PLN,0.23155
2024-03-01,PLN,0.22622
2024-04-01,PLN,0.221911
2024-05-01,PLN,0.225791
2024-06-01,PLN,0.226587
2024-07-01,PLN,0.226625
2024-08-01,PLN,0.226213
2024-09-01,PLN,0.229662
2024-10-01,PLN,0.231097
2024-11-01,PLN,0.223408
2024-12-01,PLN,0.230754
2025-01-01,PLN,0.223723
2025-02-01,PLN,0.230192
2025-03-01,PLN,0.227727
2025-04-01,PLN,0.234832
2025-05-01,PLN,0.24292
2025-06-01,PLN,0.238451
2025-07-01,PLN,0.241014
2025-08-01,PLN,0.248099
2025-09-01,PLN,0.25268
2025-10-01,PLN,0.247768
2025-11-01,PLN,0.251295
2025-12-01,PLN,0.24795
2026-01-01,PLN,0.249648
2026-02-01,PLN,0.244809
2026-03-01,PLN,0.246717
2026-04-01,PLN,0.25186
2026-05-01,PLN,0.243601
2026-06-01,PLN,0.243547
2024-01-01,SEK,0.085502
2024-02-01,SEK,0.085822
2024-03-01,SEK,0.086449
2024-04-01,SEK,0.091258
2024-05-01,SEK,0.089782
2024-06-01,SEK,0.089358
2024-07-01,SEK,0.088568
2024-08-01,SEK,0.087268
2024-09-01,SEK,0.085255
2024-10-01,SEK,0.083603
2024-11-01,SEK,0.087476
2024-12-01,SEK,0.086492
2025-01-01,SEK,0.087311
2025-02-01,SEK,0.086049
2025-03-01,SEK,0.085038
2025-04-01,SEK,0.085902
2025-05-01,SEK,0.086504
2025-06-01,SEK,0.088638
2025-07-01,SEK,0.088359
2025-08-01,SEK,0.087166
2025-09-01,SEK,0.086019
2025-10-01,SEK,0.083841
2025-11-01,SEK,0.083292
2025-12-01,SEK,0.084946
2026-01-01,SEK,0.086169
2026-02-01,SEK,0.08754
2026-03-01,SEK,0.087857
2026-04-01,SEK,0.089235
2026-05-01,SEK,0.088563
2026-06-01,SEK,0.088698
