contract_id,account_id,contract_number,signed_date,start_date,end_date,auto_renew_flag,contract_term_months,billing_frequency,currency_code,discount_pct,contract_status,sales_motion
contract_00000024,account_00000086,CTR-2025-000024,2025-12-24,2025-12-29,2026-01-28,True,1,monthly,EUR,0.0,expired,self_service
contract_00000025,account_00000087,CTR-2025-000025,2025-02-12,2025-02-19,2027-02-18,True,24,annual,EUR,0.21,active,sales_assisted
contract_00000026,account_00000089,CTR-2024-000026,2024-12-02,2024-12-10,2026-12-09,True,24,annual,SEK,0.18,active,self_service
contract_00000027,account_00000092,CTR-2026-000027,2026-02-14,2026-02-19,2027-02-18,True,12,annual,EUR,0.15,terminated,sales_assisted
contract_00000028,account_00000093,CTR-2024-000028,2024-11-06,2024-11-18,2025-11-17,True,12,annual,EUR,0.2,expired,sales_assisted
contract_00000029,account_00000094,CTR-2026-000029,2026-02-02,2026-02-10,2026-03-09,True,1,monthly,EUR,0.0,expired,self_service
contract_00000030,account_00000095,CTR-2025-000030,2025-05-22,2025-05-30,2027-05-29,False,24,annual,SEK,0.2,terminated,sales_assisted
contract_00000031,account_00000100,CTR-2026-000031,2026-04-29,2026-05-11,2026-06-10,True,1,monthly,GBP,0.0,expired,self_service
contract_00000032,account_00000101,CTR-2026-000032,2026-05-23,2026-05-25,2028-05-24,True,24,annual,NOK,0.18,active,self_service
contract_00000033,account_00000104,CTR-2024-000033,2024-07-26,2024-08-08,2025-08-07,True,12,annual,NOK,0.15,expired,sales_assisted
contract_00000034,account_00000105,CTR-2026-000034,2026-05-17,2026-05-30,2028-05-29,True,24,annual,EUR,0.15,active,self_service
contract_00000035,account_00000106,CTR-2024-000035,2024-05-08,2024-05-13,2025-05-12,True,12,annual,NOK,0.26,expired,partner_led
contract_00000036,account_00000108,CTR-2025-000036,2025-05-03,2025-05-04,2026-05-03,True,12,annual,GBP,0.24,expired,partner_led
contract_00000037,account_00000110,CTR-2024-000037,2024-07-20,2024-07-27,2025-07-26,True,12,annual,PLN,0.28,expired,partner_led
contract_00000038,account_00000111,CTR-2025-000038,2025-01-09,2025-01-15,2025-02-14,True,1,monthly,EUR,0.0,expired,sales_assisted
contract_00000039,account_00000113,CTR-2024-000039,2024-08-07,2024-08-18,2024-09-17,True,1,monthly,EUR,0.0,expired,self_service
contract_00000040,account_00000116,CTR-2025-000040,2025-08-07,2025-08-09,2025-09-08,True,1,monthly,GBP,0.0,expired,sales_assisted
contract_00000041,account_00000122,CTR-2025-000041,2025-09-23,2025-10-03,2025-11-02,True,1,monthly,EUR,0.05,expired,sales_assisted
contract_00000042,account_00000123,CTR-2024-000042,2024-10-10,2024-10-13,2024-11-12,True,1,monthly,EUR,0.08,expired,partner_led
contract_00000043,account_00000124,CTR-2024-000043,2024-07-19,2024-08-01,2024-08-31,True,1,monthly,EUR,0.0,expired,self_service
contract_00000044,account_00000126,CTR-2026-000044,2026-02-28,2026-03-10,2027-03-09,True,12,annual,SEK,0.15,active,self_service
contract_00000045,account_00000127,CTR-2025-000045,2025-01-22,2025-02-05,2026-02-04,True,12,annual,EUR,0.18,expired,self_service
contract_00000046,account_00000128,CTR-2024-000046,2024-08-11,2024-08-23,2024-09-22,True,1,monthly,EUR,0.0,expired,sales_assisted
contract_00000047,account_00000129,CTR-2025-000047,2025-06-06,2025-06-12,2025-07-11,True,1,monthly,SEK,0.0,expired,sales_assisted
contract_00000048,account_00000130,CTR-2025-000048,2025-10-19,2025-10-20,2027-10-19,False,24,annual,EUR,0.15,terminated,self_service
contract_00000049,account_00000131,CTR-2025-000049,2025-05-04,2025-05-16,2025-06-15,True,1,monthly,GBP,0.03,expired,partner_led
contract_00000050,account_00000134,CTR-2024-000050,2024-06-16,2024-06-29,2025-06-28,True,12,annual,EUR,0.23,expired,partner_led
contract_00000051,account_00000135,CTR-2025-000051,2025-08-17,2025-08-25,2025-09-24,True,1,monthly,EUR,0.08,expired,partner_led
contract_00000052,account_00000136,CTR-2024-000052,2024-09-12,2024-09-24,2024-10-23,True,1,monthly,EUR,0.03,expired,sales_assisted
contract_00000053,account_00000137,CTR-2025-000053,2025-11-05,2025-11-18,2025-12-17,True,1,monthly,EUR,0.0,expired,self_service
contract_00000054,account_00000138,CTR-2024-000054,2024-11-06,2024-11-11,2024-12-10,True,1,monthly,EUR,0.0,expired,self_service
contract_00000055,account_00000141,CTR-2025-000055,2025-04-07,2025-04-20,2025-05-19,True,1,monthly,EUR,0.0,expired,partner_led
contract_00000056,account_00000152,CTR-2024-000056,2024-06-30,2024-07-12,2026-07-11,False,24,annual,EUR,0.23,active,partner_led
contract_00000057,account_00000155,CTR-2024-000057,2024-12-16,2024-12-24,2025-12-23,True,12,annual,EUR,0.15,expired,self_service
contract_00000058,account_00000157,CTR-2024-000058,2024-04-24,2024-05-08,2024-06-07,True,1,monthly,EUR,0.03,expired,partner_led
contract_00000059,account_00000159,CTR-2026-000059,2026-04-26,2026-04-30,2026-05-29,True,1,monthly,GBP,0.05,expired,sales_assisted
contract_00000060,account_00000161,CTR-2025-000060,2025-04-13,2025-04-22,2027-04-21,True,24,annual,CHF,0.2,active,sales_assisted
contract_00000061,account_00000166,CTR-2025-000061,2025-01-21,2025-01-23,2025-02-22,True,1,monthly,EUR,0.0,expired,self_service
contract_00000062,account_00000169,CTR-2026-000062,2026-06-21,2026-06-27,2026-07-26,True,1,monthly,GBP,0.0,active,self_service
contract_00000063,account_00000173,CTR-2024-000063,2024-04-14,2024-04-27,2024-05-26,True,1,monthly,SEK,0.0,expired,self_service
contract_00000064,account_00000177,CTR-2025-000064,2025-08-21,2025-08-22,2026-08-21,True,12,annual,EUR,0.2,active,self_service
contract_00000065,account_00000183,CTR-2024-000065,2024-02-19,2024-03-04,2025-03-03,True,12,annual,EUR,0.15,expired,self_service
contract_00000066,account_00000184,CTR-2025-000066,2025-07-08,2025-07-19,2026-07-18,True,12,annual,NOK,0.23,active,partner_led
contract_00000067,account_00000192,CTR-2025-000067,2025-02-01,2025-02-02,2026-02-01,True,12,annual,EUR,0.18,expired,self_service
contract_00000068,account_00000197,CTR-2026-000068,2026-06-07,2026-06-16,2028-06-15,True,24,annual,EUR,0.15,active,self_service
contract_00000069,account_00000204,CTR-2025-000069,2025-10-13,2025-10-16,2028-10-15,True,36,annual,EUR,0.23,active,sales_assisted
contract_00000070,account_00000205,CTR-2026-000070,2026-04-24,2026-05-05,2026-06-04,True,1,monthly,EUR,0.03,expired,partner_led
contract_00000071,account_00000206,CTR-2026-000071,2026-01-27,2026-02-04,2026-03-03,True,1,monthly,EUR,0.0,expired,self_service
contract_00000072,account_00000207,CTR-2025-000072,2025-05-18,2025-05-22,2026-05-21,False,12,annual,EUR,0.2,expired,partner_led
contract_00000073,account_00000208,CTR-2025-000073,2025-04-01,2025-04-07,2025-05-06,True,1,monthly,DKK,0.03,expired,partner_led
contract_00000074,account_00000213,CTR-2026-000074,2026-06-26,2026-06-29,2029-06-28,True,36,annual,EUR,0.18,active,partner_led
contract_00000075,account_00000221,CTR-2025-000075,2025-10-07,2025-10-20,2027-10-19,True,24,annual,EUR,0.18,active,self_service
contract_00000076,account_00000222,CTR-2025-000076,2025-02-18,2025-02-20,2025-03-19,True,1,monthly,EUR,0.0,expired,sales_assisted
contract_00000077,account_00000228,CTR-2025-000077,2025-04-23,2025-04-30,2025-05-29,True,1,monthly,EUR,0.0,expired,self_service
contract_00000078,account_00000229,CTR-2024-000078,2024-05-17,2024-05-22,2025-05-21,True,12,annual,GBP,0.15,expired,sales_assisted
contract_00000079,account_00000230,CTR-2026-000079,2026-04-11,2026-04-12,2027-04-11,True,12,annual,PLN,0.15,active,sales_assisted
contract_00000080,account_00000234,CTR-2024-000080,2024-09-17,2024-09-28,2025-09-27,True,12,annual,EUR,0.25,expired,sales_assisted
contract_00000081,account_00000244,CTR-2024-000081,2024-09-06,2024-09-08,2027-09-07,True,36,annual,EUR,0.23,active,sales_assisted
contract_00000082,account_00000245,CTR-2026-000082,2026-05-16,2026-05-26,2029-05-25,True,36,annual,EUR,0.21,active,sales_assisted
contract_00000083,account_00000247,CTR-2026-000083,2026-04-14,2026-04-22,2027-04-21,True,12,annual,EUR,0.18,active,self_service
