outcome_id,assignment_id,observation_end,primary_outcome,guardrail_outcome,revenue_outcome_eur
outcome_00000176,assignment_00000176,2026-01-04,1.0,1.0,1279.45
outcome_00000177,assignment_00000177,2026-01-19,1.0,0.0,229.31
outcome_00000178,assignment_00000178,2025-10-13,0.0,0.0,853.61
outcome_00000179,assignment_00000179,2026-01-01,0.0,1.0,790.48
outcome_00000180,assignment_00000180,2025-11-23,0.0,0.0,593.99
outcome_00000181,assignment_00000181,2025-11-21,0.0,1.0,151.59
outcome_00000182,assignment_00000182,2025-12-27,1.0,0.0,292.45
outcome_00000183,assignment_00000183,2025-10-29,0.0,0.0,275.76
outcome_00000184,assignment_00000184,2025-11-09,1.0,0.0,1896.22
outcome_00000185,assignment_00000185,2025-12-13,1.0,1.0,2443.91
outcome_00000186,assignment_00000186,2025-10-08,0.0,0.0,356.84
outcome_00000187,assignment_00000187,2025-12-17,0.0,0.0,278.05
outcome_00000188,assignment_00000188,2026-01-09,0.0,0.0,1157.21
outcome_00000189,assignment_00000189,2025-11-15,1.0,1.0,720.83
outcome_00000190,assignment_00000190,2026-01-08,0.0,1.0,556.86
outcome_00000191,assignment_00000191,2025-10-18,0.0,1.0,699.85
outcome_00000192,assignment_00000192,2026-01-02,0.0,1.0,884.14
outcome_00000193,assignment_00000193,2025-11-04,1.0,1.0,336.14
outcome_00000194,assignment_00000194,2025-12-21,1.0,1.0,1236.42
outcome_00000195,assignment_00000195,2025-12-31,0.0,1.0,630.97
outcome_00000196,assignment_00000196,2026-01-18,0.0,0.0,1108.55
outcome_00000197,assignment_00000197,2025-10-22,0.0,1.0,654.86
outcome_00000198,assignment_00000198,2025-12-15,0.0,1.0,317.25
outcome_00000199,assignment_00000199,2026-01-06,0.0,1.0,1637.78
outcome_00000200,assignment_00000200,2026-01-16,0.0,1.0,1262.24
outcome_00000201,assignment_00000201,2025-11-13,1.0,1.0,898.18
outcome_00000202,assignment_00000202,2026-01-24,0.0,1.0,279.09
outcome_00000203,assignment_00000203,2025-11-02,0.0,1.0,129.7
outcome_00000204,assignment_00000204,2025-11-22,1.0,1.0,805.82
outcome_00000205,assignment_00000205,2026-01-06,0.0,1.0,246.27
outcome_00000206,assignment_00000206,2025-09-29,0.0,0.0,153.05
outcome_00000207,assignment_00000207,2026-01-18,1.0,0.0,819.15
outcome_00000208,assignment_00000208,2025-12-18,0.0,1.0,740.71
outcome_00000209,assignment_00000209,2025-11-13,0.0,1.0,1243.98
outcome_00000210,assignment_00000210,2025-12-08,0.0,1.0,179.1
outcome_00000211,assignment_00000211,2025-10-06,0.0,1.0,257.27
outcome_00000212,assignment_00000212,2026-01-13,0.0,1.0,797.38
outcome_00000213,assignment_00000213,2025-11-14,0.0,1.0,1158.68
outcome_00000214,assignment_00000214,2026-02-14,1.0,0.0,868.91
outcome_00000215,assignment_00000215,2026-03-27,1.0,0.0,2352.62
outcome_00000216,assignment_00000216,2026-03-16,1.0,0.0,3526.61
outcome_00000217,assignment_00000217,2026-03-24,1.0,0.0,2161.52
outcome_00000218,assignment_00000218,2026-04-07,1.0,0.0,694.96
outcome_00000219,assignment_00000219,2025-12-31,1.0,0.0,790.77
outcome_00000220,assignment_00000220,2026-02-27,0.0,0.0,0.0
outcome_00000221,assignment_00000221,2025-12-30,1.0,0.0,1777.39
outcome_00000222,assignment_00000222,2026-03-24,1.0,0.0,582.84
outcome_00000223,assignment_00000223,2026-02-07,1.0,0.0,666.0
outcome_00000224,assignment_00000224,2026-04-09,1.0,0.0,604.87
outcome_00000225,assignment_00000225,2026-03-29,1.0,0.0,2254.84
outcome_00000226,assignment_00000226,2026-03-09,1.0,0.0,4803.8
outcome_00000227,assignment_00000227,2026-03-19,0.0,0.0,0.0
outcome_00000228,assignment_00000228,2026-04-13,1.0,0.0,2002.1
outcome_00000229,assignment_00000229,2026-02-20,1.0,0.0,6152.21
outcome_00000230,assignment_00000230,2026-01-23,1.0,0.0,1334.8
outcome_00000231,assignment_00000231,2026-02-11,0.0,0.0,0.0
outcome_00000232,assignment_00000232,2026-01-06,1.0,0.0,596.3
outcome_00000233,assignment_00000233,2026-03-25,1.0,0.0,1553.63
outcome_00000234,assignment_00000234,2026-04-29,1.0,0.0,810.45
outcome_00000235,assignment_00000235,2026-04-19,1.0,0.0,532.85
outcome_00000236,assignment_00000236,2026-02-15,1.0,0.0,930.84
outcome_00000237,assignment_00000237,2026-01-02,1.0,0.0,3859.3
outcome_00000238,assignment_00000238,2026-03-01,1.0,0.0,413.95
outcome_00000239,assignment_00000239,2026-03-26,1.0,0.0,1358.98
outcome_00000240,assignment_00000240,2026-01-13,1.0,1.0,1279.52
outcome_00000241,assignment_00000241,2026-03-19,0.0,0.0,0.0
outcome_00000242,assignment_00000242,2026-01-18,1.0,0.0,1961.97
outcome_00000243,assignment_00000243,2026-04-22,1.0,0.0,1205.12
outcome_00000244,assignment_00000244,2026-01-04,1.0,0.0,1648.52
outcome_00000245,assignment_00000245,2026-02-01,1.0,0.0,3079.1
outcome_00000246,assignment_00000246,2026-03-07,1.0,0.0,200.82
outcome_00000247,assignment_00000247,2025-12-30,1.0,0.0,646.16
outcome_00000248,assignment_00000248,2026-02-02,1.0,0.0,680.75
outcome_00000249,assignment_00000249,2026-03-16,1.0,0.0,1143.74
outcome_00000250,assignment_00000250,2026-01-03,0.0,0.0,0.0
outcome_00000251,assignment_00000251,2026-04-01,1.0,0.0,695.56
outcome_00000252,assignment_00000252,2026-04-12,1.0,0.0,7759.9
outcome_00000253,assignment_00000253,2026-02-01,1.0,0.0,290.1
outcome_00000254,assignment_00000254,2026-01-14,1.0,0.0,923.73
outcome_00000255,assignment_00000255,2026-01-30,1.0,0.0,830.94
outcome_00000256,assignment_00000256,2026-02-15,1.0,0.0,1754.99
outcome_00000257,assignment_00000257,2026-03-07,1.0,0.0,2168.77
outcome_00000258,assignment_00000258,2026-02-02,1.0,0.0,2459.71
outcome_00000259,assignment_00000259,2026-02-26,1.0,0.0,265.15
outcome_00000260,assignment_00000260,2026-02-14,0.0,0.0,0.0
outcome_00000261,assignment_00000261,2026-01-07,1.0,0.0,343.82
outcome_00000262,assignment_00000262,2026-02-10,1.0,0.0,997.19
outcome_00000263,assignment_00000263,2026-01-05,1.0,0.0,1019.35
outcome_00000264,assignment_00000264,2026-03-04,1.0,0.0,315.22
outcome_00000265,assignment_00000265,2026-03-22,1.0,0.0,2258.12
outcome_00000266,assignment_00000266,2026-04-26,0.0,0.0,0.0
outcome_00000267,assignment_00000267,2026-02-19,0.0,0.0,0.0
outcome_00000268,assignment_00000268,2026-02-10,1.0,0.0,2339.04
outcome_00000269,assignment_00000269,2026-03-10,1.0,0.0,949.34
outcome_00000270,assignment_00000270,2026-02-26,1.0,0.0,1069.48
outcome_00000271,assignment_00000271,2026-02-07,0.0,0.0,0.0
outcome_00000272,assignment_00000272,2026-01-20,1.0,0.0,2279.55
outcome_00000273,assignment_00000273,2026-03-12,1.0,0.0,4156.89
outcome_00000274,assignment_00000274,2026-04-19,1.0,0.0,310.54
outcome_00000275,assignment_00000275,2026-03-18,1.0,0.0,1312.9
outcome_00000276,assignment_00000276,2026-01-30,1.0,0.0,449.27
outcome_00000277,assignment_00000277,2026-01-13,0.0,0.0,0.0
outcome_00000278,assignment_00000278,2026-04-03,1.0,0.0,1136.87
outcome_00000279,assignment_00000279,2026-02-28,1.0,0.0,859.42
outcome_00000280,assignment_00000280,2026-01-16,1.0,0.0,905.25
outcome_00000281,assignment_00000281,2026-03-31,0.0,1.0,0.0
outcome_00000282,assignment_00000282,2026-02-26,1.0,0.0,723.36
outcome_00000283,assignment_00000283,2026-04-24,1.0,1.0,2914.18
outcome_00000284,assignment_00000284,2026-01-11,1.0,1.0,156.59
outcome_00000285,assignment_00000285,2026-03-09,1.0,0.0,201.76
outcome_00000286,assignment_00000286,2026-02-05,1.0,0.0,555.43
outcome_00000287,assignment_00000287,2026-01-16,1.0,0.0,3144.87
