exposure_id,assignment_id,exposed_at,exposure_surface,exposure_count
exposure_00000051,assignment_00000057,2025-03-20 19:00:00,onboarding_checklist,2
exposure_00000052,assignment_00000058,2025-02-08 13:00:00,onboarding_checklist,2
exposure_00000053,assignment_00000060,2025-05-15 23:00:00,onboarding_checklist,2
exposure_00000054,assignment_00000061,2025-04-05 12:00:00,onboarding_checklist,4
exposure_00000055,assignment_00000062,2025-02-04 18:00:00,onboarding_checklist,3
exposure_00000056,assignment_00000063,2025-03-12 09:00:00,onboarding_checklist,2
exposure_00000057,assignment_00000064,2025-05-03 15:00:00,onboarding_checklist,2
exposure_00000058,assignment_00000066,2025-03-06 21:00:00,onboarding_checklist,4
exposure_00000059,assignment_00000067,2025-05-30 13:00:00,onboarding_checklist,2
exposure_00000060,assignment_00000069,2025-04-02 10:00:00,onboarding_checklist,4
exposure_00000061,assignment_00000070,2025-02-08 09:00:00,onboarding_checklist,3
exposure_00000062,assignment_00000071,2025-03-28 00:00:00,onboarding_checklist,4
exposure_00000063,assignment_00000072,2025-02-27 22:00:00,onboarding_checklist,3
exposure_00000064,assignment_00000073,2025-06-02 03:00:00,onboarding_checklist,2
exposure_00000065,assignment_00000074,2025-03-18 03:00:00,onboarding_checklist,4
exposure_00000066,assignment_00000075,2025-05-25 08:00:00,onboarding_checklist,1
exposure_00000067,assignment_00000076,2025-06-02 20:00:00,onboarding_checklist,2
exposure_00000068,assignment_00000077,2025-02-07 20:00:00,onboarding_checklist,3
exposure_00000069,assignment_00000078,2025-03-27 14:00:00,onboarding_checklist,3
exposure_00000070,assignment_00000079,2025-02-07 13:00:00,onboarding_checklist,1
exposure_00000071,assignment_00000080,2025-03-20 21:00:00,onboarding_checklist,3
exposure_00000072,assignment_00000081,2025-08-09 08:00:00,pricing_page,4
exposure_00000073,assignment_00000082,2025-08-20 09:00:00,pricing_page,1
exposure_00000074,assignment_00000083,2025-06-10 17:00:00,pricing_page,1
exposure_00000075,assignment_00000084,2025-08-06 14:00:00,pricing_page,2
exposure_00000076,assignment_00000085,2025-07-16 11:00:00,pricing_page,1
exposure_00000077,assignment_00000086,2025-05-04 18:00:00,pricing_page,2
exposure_00000078,assignment_00000087,2025-06-19 01:00:00,pricing_page,4
exposure_00000079,assignment_00000088,2025-07-18 20:00:00,pricing_page,3
exposure_00000080,assignment_00000089,2025-07-05 12:00:00,pricing_page,4
exposure_00000081,assignment_00000090,2025-06-25 01:00:00,pricing_page,3
exposure_00000082,assignment_00000091,2025-07-27 14:00:00,pricing_page,4
exposure_00000083,assignment_00000092,2025-06-17 10:00:00,pricing_page,4
exposure_00000084,assignment_00000093,2025-07-15 11:00:00,pricing_page,3
exposure_00000085,assignment_00000094,2025-05-16 02:00:00,pricing_page,1
exposure_00000086,assignment_00000095,2025-05-26 03:00:00,pricing_page,2
exposure_00000087,assignment_00000096,2025-06-12 06:00:00,pricing_page,3
exposure_00000088,assignment_00000097,2025-08-28 13:00:00,pricing_page,1
exposure_00000089,assignment_00000098,2025-06-30 15:00:00,pricing_page,2
exposure_00000090,assignment_00000099,2025-06-04 17:00:00,pricing_page,2
exposure_00000091,assignment_00000100,2025-06-04 01:00:00,pricing_page,2
exposure_00000092,assignment_00000101,2025-06-22 23:00:00,pricing_page,1
exposure_00000093,assignment_00000102,2025-05-18 18:00:00,pricing_page,1
exposure_00000094,assignment_00000103,2025-07-22 19:00:00,pricing_page,3
exposure_00000095,assignment_00000104,2025-08-23 05:00:00,pricing_page,3
exposure_00000096,assignment_00000105,2025-05-21 20:00:00,pricing_page,2
exposure_00000097,assignment_00000106,2025-05-27 01:00:00,pricing_page,4
exposure_00000098,assignment_00000107,2025-07-25 02:00:00,pricing_page,3
exposure_00000099,assignment_00000108,2025-06-02 03:00:00,pricing_page,3
exposure_00000100,assignment_00000109,2025-05-13 17:00:00,pricing_page,1
exposure_00000101,assignment_00000110,2025-08-20 20:00:00,pricing_page,3
exposure_00000102,assignment_00000111,2025-06-30 18:00:00,pricing_page,3
exposure_00000103,assignment_00000112,2025-06-27 21:00:00,pricing_page,2
exposure_00000104,assignment_00000113,2025-08-24 07:00:00,pricing_page,1
exposure_00000105,assignment_00000114,2025-06-01 21:00:00,pricing_page,1
exposure_00000106,assignment_00000116,2025-05-05 08:00:00,pricing_page,1
exposure_00000107,assignment_00000117,2025-06-05 14:00:00,pricing_page,3
exposure_00000108,assignment_00000118,2025-06-05 17:00:00,pricing_page,2
exposure_00000109,assignment_00000119,2025-06-21 07:00:00,pricing_page,4
exposure_00000110,assignment_00000120,2025-06-25 01:00:00,pricing_page,4
exposure_00000111,assignment_00000121,2025-05-19 16:00:00,pricing_page,1
exposure_00000112,assignment_00000124,2025-05-23 03:00:00,pricing_page,2
exposure_00000113,assignment_00000125,2025-07-30 03:00:00,pricing_page,4
exposure_00000114,assignment_00000126,2025-08-20 09:00:00,pricing_page,4
exposure_00000115,assignment_00000127,2025-08-14 04:00:00,pricing_page,4
exposure_00000116,assignment_00000128,2025-07-13 22:00:00,pricing_page,1
exposure_00000117,assignment_00000129,2025-07-05 20:00:00,pricing_page,2
exposure_00000118,assignment_00000130,2025-06-04 15:00:00,pricing_page,4
exposure_00000119,assignment_00000131,2025-08-22 23:00:00,pricing_page,1
exposure_00000120,assignment_00000132,2025-06-29 20:00:00,pricing_page,2
exposure_00000121,assignment_00000134,2025-08-22 17:00:00,in_app_prompt,1
exposure_00000122,assignment_00000135,2025-07-06 23:00:00,in_app_prompt,2
exposure_00000123,assignment_00000136,2025-10-05 14:00:00,in_app_prompt,3
exposure_00000124,assignment_00000137,2025-08-16 15:00:00,in_app_prompt,1
exposure_00000125,assignment_00000138,2025-09-01 05:00:00,in_app_prompt,2
exposure_00000126,assignment_00000140,2025-10-10 08:00:00,in_app_prompt,2
exposure_00000127,assignment_00000141,2025-09-08 12:00:00,in_app_prompt,4
exposure_00000128,assignment_00000142,2025-09-24 23:00:00,in_app_prompt,4
exposure_00000129,assignment_00000143,2025-08-29 03:00:00,in_app_prompt,4
exposure_00000130,assignment_00000144,2025-09-19 11:00:00,in_app_prompt,3
exposure_00000131,assignment_00000145,2025-08-29 15:00:00,in_app_prompt,2
exposure_00000132,assignment_00000146,2025-07-03 19:00:00,in_app_prompt,3
exposure_00000133,assignment_00000147,2025-08-17 07:00:00,in_app_prompt,1
exposure_00000134,assignment_00000148,2025-07-02 04:00:00,in_app_prompt,1
exposure_00000135,assignment_00000149,2025-10-04 16:00:00,in_app_prompt,1
exposure_00000136,assignment_00000150,2025-10-20 22:00:00,in_app_prompt,3
exposure_00000137,assignment_00000151,2025-09-15 14:00:00,in_app_prompt,2
exposure_00000138,assignment_00000153,2025-08-15 20:00:00,in_app_prompt,3
exposure_00000139,assignment_00000154,2025-08-03 20:00:00,in_app_prompt,3
exposure_00000140,assignment_00000155,2025-09-05 17:00:00,in_app_prompt,4
exposure_00000141,assignment_00000156,2025-09-25 22:00:00,in_app_prompt,3
exposure_00000142,assignment_00000157,2025-09-22 18:00:00,in_app_prompt,3
exposure_00000143,assignment_00000158,2025-08-20 16:00:00,in_app_prompt,3
exposure_00000144,assignment_00000159,2025-10-02 02:00:00,in_app_prompt,2
exposure_00000145,assignment_00000160,2025-10-13 01:00:00,in_app_prompt,4
exposure_00000146,assignment_00000161,2025-07-07 18:00:00,in_app_prompt,4
exposure_00000147,assignment_00000162,2025-09-17 03:00:00,in_app_prompt,1
exposure_00000148,assignment_00000164,2025-10-30 12:00:00,in_app_prompt,2
exposure_00000149,assignment_00000166,2025-09-17 16:00:00,in_app_prompt,2
exposure_00000150,assignment_00000167,2025-10-11 00:00:00,in_app_prompt,3
exposure_00000151,assignment_00000168,2025-07-20 23:00:00,in_app_prompt,2
exposure_00000152,assignment_00000169,2025-08-04 16:00:00,in_app_prompt,2
exposure_00000153,assignment_00000170,2025-09-10 05:00:00,in_app_prompt,1
exposure_00000154,assignment_00000171,2025-07-17 19:00:00,in_app_prompt,1
exposure_00000155,assignment_00000172,2025-10-08 21:00:00,in_app_prompt,2
exposure_00000156,assignment_00000173,2025-09-22 11:00:00,in_app_prompt,2
exposure_00000157,assignment_00000174,2025-10-07 10:00:00,in_app_prompt,3
exposure_00000158,assignment_00000176,2025-10-07 12:00:00,in_app_prompt,1
exposure_00000159,assignment_00000177,2025-10-22 05:00:00,in_app_prompt,3
exposure_00000160,assignment_00000178,2025-07-15 09:00:00,in_app_prompt,2
exposure_00000161,assignment_00000179,2025-10-06 18:00:00,in_app_prompt,3
exposure_00000162,assignment_00000180,2025-08-27 11:00:00,in_app_prompt,3
exposure_00000163,assignment_00000181,2025-08-23 21:00:00,in_app_prompt,4
exposure_00000164,assignment_00000182,2025-09-30 01:00:00,in_app_prompt,4
exposure_00000165,assignment_00000183,2025-08-01 17:00:00,in_app_prompt,4
exposure_00000166,assignment_00000184,2025-08-11 13:00:00,in_app_prompt,1
exposure_00000167,assignment_00000185,2025-09-16 07:00:00,in_app_prompt,2
exposure_00000168,assignment_00000186,2025-07-10 13:00:00,in_app_prompt,1
exposure_00000169,assignment_00000187,2025-09-21 13:00:00,in_app_prompt,4
exposure_00000170,assignment_00000188,2025-10-11 10:00:00,in_app_prompt,1
exposure_00000171,assignment_00000189,2025-08-18 11:00:00,in_app_prompt,1
exposure_00000172,assignment_00000190,2025-10-11 17:00:00,in_app_prompt,4
exposure_00000173,assignment_00000191,2025-07-21 22:00:00,in_app_prompt,4
exposure_00000174,assignment_00000193,2025-08-08 05:00:00,in_app_prompt,2
exposure_00000175,assignment_00000194,2025-09-23 06:00:00,in_app_prompt,2
exposure_00000176,assignment_00000195,2025-10-02 14:00:00,in_app_prompt,3
exposure_00000177,assignment_00000196,2025-10-23 05:00:00,in_app_prompt,2
exposure_00000178,assignment_00000197,2025-07-25 20:00:00,in_app_prompt,3
exposure_00000179,assignment_00000198,2025-09-17 09:00:00,in_app_prompt,3
exposure_00000180,assignment_00000199,2025-10-08 07:00:00,in_app_prompt,1
exposure_00000181,assignment_00000200,2025-10-20 16:00:00,in_app_prompt,3
exposure_00000182,assignment_00000201,2025-08-15 21:00:00,in_app_prompt,4
exposure_00000183,assignment_00000202,2025-10-29 19:00:00,in_app_prompt,1
exposure_00000184,assignment_00000203,2025-08-04 08:00:00,in_app_prompt,1
exposure_00000185,assignment_00000204,2025-08-27 17:00:00,in_app_prompt,4
exposure_00000186,assignment_00000205,2025-10-09 21:00:00,in_app_prompt,4
exposure_00000187,assignment_00000206,2025-07-02 20:00:00,in_app_prompt,4
exposure_00000188,assignment_00000207,2025-10-21 02:00:00,in_app_prompt,1
exposure_00000189,assignment_00000208,2025-09-22 15:00:00,in_app_prompt,1
exposure_00000190,assignment_00000209,2025-08-15 01:00:00,in_app_prompt,2
exposure_00000191,assignment_00000210,2025-09-11 19:00:00,in_app_prompt,1
exposure_00000192,assignment_00000211,2025-07-11 23:00:00,in_app_prompt,2
exposure_00000193,assignment_00000212,2025-10-17 08:00:00,in_app_prompt,2
exposure_00000194,assignment_00000214,2025-11-17 13:00:00,customer_success_call,2
exposure_00000195,assignment_00000216,2025-12-18 16:00:00,customer_success_call,3
exposure_00000196,assignment_00000217,2025-12-26 23:00:00,customer_success_call,3
exposure_00000197,assignment_00000218,2026-01-08 14:00:00,customer_success_call,2
exposure_00000198,assignment_00000219,2025-10-02 06:00:00,customer_success_call,2
exposure_00000199,assignment_00000222,2025-12-24 07:00:00,customer_success_call,4
exposure_00000200,assignment_00000223,2025-11-09 06:00:00,customer_success_call,2
exposure_00000201,assignment_00000224,2026-01-12 05:00:00,customer_success_call,3
exposure_00000202,assignment_00000225,2025-12-29 16:00:00,customer_success_call,2
exposure_00000203,assignment_00000226,2025-12-09 03:00:00,customer_success_call,3
exposure_00000204,assignment_00000227,2025-12-22 18:00:00,customer_success_call,2
exposure_00000205,assignment_00000228,2026-01-14 09:00:00,customer_success_call,2
exposure_00000206,assignment_00000229,2025-11-25 19:00:00,customer_success_call,2
exposure_00000207,assignment_00000230,2025-10-25 10:00:00,customer_success_call,4
exposure_00000208,assignment_00000231,2025-11-14 20:00:00,customer_success_call,3
exposure_00000209,assignment_00000232,2025-10-09 22:00:00,customer_success_call,1
exposure_00000210,assignment_00000233,2025-12-25 15:00:00,customer_success_call,3
exposure_00000211,assignment_00000234,2026-01-30 00:00:00,customer_success_call,3
exposure_00000212,assignment_00000236,2025-11-18 20:00:00,customer_success_call,1
exposure_00000213,assignment_00000237,2025-10-04 08:00:00,customer_success_call,2
exposure_00000214,assignment_00000238,2025-12-03 04:00:00,customer_success_call,3
exposure_00000215,assignment_00000240,2025-10-17 16:00:00,customer_success_call,1
exposure_00000216,assignment_00000241,2025-12-19 19:00:00,customer_success_call,1
exposure_00000217,assignment_00000242,2025-10-20 11:00:00,customer_success_call,1
exposure_00000218,assignment_00000243,2026-01-24 23:00:00,customer_success_call,3
exposure_00000219,assignment_00000245,2025-11-03 14:00:00,customer_success_call,4
exposure_00000220,assignment_00000247,2025-10-03 01:00:00,customer_success_call,4
exposure_00000221,assignment_00000248,2025-11-06 18:00:00,customer_success_call,1
exposure_00000222,assignment_00000249,2025-12-19 21:00:00,customer_success_call,4
exposure_00000223,assignment_00000250,2025-10-08 00:00:00,customer_success_call,4
exposure_00000224,assignment_00000252,2026-01-12 16:00:00,customer_success_call,2
exposure_00000225,assignment_00000253,2025-11-03 12:00:00,customer_success_call,1
exposure_00000226,assignment_00000254,2025-10-19 22:00:00,customer_success_call,2
exposure_00000227,assignment_00000255,2025-11-03 13:00:00,customer_success_call,3
exposure_00000228,assignment_00000256,2025-11-17 14:00:00,customer_success_call,3
exposure_00000229,assignment_00000259,2025-11-29 21:00:00,customer_success_call,3
exposure_00000230,assignment_00000260,2025-11-18 18:00:00,customer_success_call,1
exposure_00000231,assignment_00000261,2025-10-12 08:00:00,customer_success_call,4
exposure_00000232,assignment_00000263,2025-10-09 13:00:00,customer_success_call,1
exposure_00000233,assignment_00000264,2025-12-06 22:00:00,customer_success_call,1
exposure_00000234,assignment_00000265,2025-12-25 20:00:00,customer_success_call,2
exposure_00000235,assignment_00000268,2025-11-14 04:00:00,customer_success_call,4
exposure_00000236,assignment_00000269,2025-12-13 19:00:00,customer_success_call,4
exposure_00000237,assignment_00000271,2025-11-10 18:00:00,customer_success_call,4
exposure_00000238,assignment_00000272,2025-10-23 21:00:00,customer_success_call,2
exposure_00000239,assignment_00000273,2025-12-13 18:00:00,customer_success_call,2
exposure_00000240,assignment_00000274,2026-01-21 04:00:00,customer_success_call,4
exposure_00000241,assignment_00000275,2025-12-21 20:00:00,customer_success_call,3
exposure_00000242,assignment_00000276,2025-11-04 13:00:00,customer_success_call,1
exposure_00000243,assignment_00000277,2025-10-15 20:00:00,customer_success_call,3
exposure_00000244,assignment_00000278,2026-01-03 16:00:00,customer_success_call,3
exposure_00000245,assignment_00000279,2025-11-30 21:00:00,customer_success_call,1
exposure_00000246,assignment_00000280,2025-10-20 01:00:00,customer_success_call,4
exposure_00000247,assignment_00000281,2025-12-31 05:00:00,customer_success_call,3
exposure_00000248,assignment_00000282,2025-11-28 03:00:00,customer_success_call,4
exposure_00000249,assignment_00000283,2026-01-24 11:00:00,customer_success_call,2
exposure_00000250,assignment_00000284,2025-10-14 10:00:00,customer_success_call,2
exposure_00000251,assignment_00000285,2025-12-10 22:00:00,customer_success_call,4
exposure_00000252,assignment_00000286,2025-11-07 14:00:00,customer_success_call,3
exposure_00000253,assignment_00000287,2025-10-21 10:00:00,customer_success_call,3
