workspace_id,account_id,workspace_name,created_at,country_code,active_flag
workspace_00000033,account_00000080,account_00000080 Workspace 6,2025-10-04 00:00:00,FR,True
workspace_00000034,account_00000080,account_00000080 Workspace 7,2025-10-01 00:00:00,FR,True
workspace_00000035,account_00000083,account_00000083 Workspace 1,2024-09-10 00:00:00,GB,True
workspace_00000036,account_00000085,account_00000085 Workspace 1,2024-03-15 00:00:00,DE,False
workspace_00000037,account_00000086,account_00000086 Workspace 1,2026-01-06 00:00:00,IT,True
workspace_00000038,account_00000087,account_00000087 Workspace 1,2025-02-26 00:00:00,ES,True
workspace_00000039,account_00000089,account_00000089 Workspace 1,2024-12-10 00:00:00,SE,True
workspace_00000040,account_00000092,account_00000092 Workspace 1,2026-02-21 00:00:00,AT,False
workspace_00000041,account_00000093,account_00000093 Workspace 1,2024-11-22 00:00:00,ES,True
workspace_00000042,account_00000094,account_00000094 Workspace 1,2026-02-19 00:00:00,BE,True
workspace_00000043,account_00000095,account_00000095 Workspace 1,2025-06-03 00:00:00,SE,False
workspace_00000044,account_00000095,account_00000095 Workspace 2,2025-05-30 00:00:00,SE,False
workspace_00000045,account_00000100,account_00000100 Workspace 1,2026-05-18 00:00:00,GB,True
workspace_00000046,account_00000101,account_00000101 Workspace 1,2026-05-27 00:00:00,NO,True
workspace_00000047,account_00000104,account_00000104 Workspace 1,2024-08-08 00:00:00,NO,True
workspace_00000048,account_00000105,account_00000105 Workspace 1,2026-06-09 00:00:00,AT,True
workspace_00000049,account_00000106,account_00000106 Workspace 1,2024-05-20 00:00:00,NO,True
workspace_00000050,account_00000108,account_00000108 Workspace 1,2025-05-08 00:00:00,GB,True
workspace_00000051,account_00000108,account_00000108 Workspace 2,2025-05-11 00:00:00,GB,True
workspace_00000052,account_00000108,account_00000108 Workspace 3,2025-05-08 00:00:00,GB,True
workspace_00000053,account_00000108,account_00000108 Workspace 4,2025-05-05 00:00:00,GB,True
workspace_00000054,account_00000110,account_00000110 Workspace 1,2024-08-02 00:00:00,PL,True
workspace_00000055,account_00000111,account_00000111 Workspace 1,2025-01-21 00:00:00,DE,True
workspace_00000056,account_00000113,account_00000113 Workspace 1,2024-08-27 00:00:00,BE,True
workspace_00000057,account_00000116,account_00000116 Workspace 1,2025-08-20 00:00:00,GB,True
workspace_00000058,account_00000122,account_00000122 Workspace 1,2025-10-09 00:00:00,NL,True
workspace_00000059,account_00000123,account_00000123 Workspace 1,2024-10-18 00:00:00,FR,True
workspace_00000060,account_00000124,account_00000124 Workspace 1,2024-08-10 00:00:00,DE,True
workspace_00000061,account_00000126,account_00000126 Workspace 1,2026-03-14 00:00:00,SE,True
workspace_00000062,account_00000127,account_00000127 Workspace 1,2025-02-10 00:00:00,AT,True
workspace_00000063,account_00000128,account_00000128 Workspace 1,2024-08-26 00:00:00,AT,True
workspace_00000064,account_00000128,account_00000128 Workspace 2,2024-09-02 00:00:00,AT,True
workspace_00000065,account_00000129,account_00000129 Workspace 1,2025-06-17 00:00:00,SE,True
workspace_00000066,account_00000130,account_00000130 Workspace 1,2025-10-25 00:00:00,ES,False
workspace_00000067,account_00000131,account_00000131 Workspace 1,2025-05-17 00:00:00,GB,True
workspace_00000068,account_00000131,account_00000131 Workspace 2,2025-05-24 00:00:00,GB,True
workspace_00000069,account_00000131,account_00000131 Workspace 3,2025-05-23 00:00:00,GB,True
workspace_00000070,account_00000131,account_00000131 Workspace 4,2025-05-21 00:00:00,GB,True
workspace_00000071,account_00000134,account_00000134 Workspace 1,2024-07-07 00:00:00,BE,True
workspace_00000072,account_00000134,account_00000134 Workspace 2,2024-07-03 00:00:00,BE,True
workspace_00000073,account_00000135,account_00000135 Workspace 1,2025-09-02 00:00:00,NL,True
workspace_00000074,account_00000136,account_00000136 Workspace 1,2024-09-27 00:00:00,AT,True
workspace_00000075,account_00000136,account_00000136 Workspace 2,2024-10-02 00:00:00,AT,True
workspace_00000076,account_00000137,account_00000137 Workspace 1,2025-11-21 00:00:00,FR,True
workspace_00000077,account_00000138,account_00000138 Workspace 1,2024-11-21 00:00:00,DE,True
workspace_00000078,account_00000141,account_00000141 Workspace 1,2025-04-22 00:00:00,DE,True
workspace_00000079,account_00000152,account_00000152 Workspace 1,2024-07-17 00:00:00,IE,True
workspace_00000080,account_00000152,account_00000152 Workspace 2,2024-07-22 00:00:00,IE,True
workspace_00000081,account_00000155,account_00000155 Workspace 1,2025-01-02 00:00:00,DE,True
workspace_00000082,account_00000157,account_00000157 Workspace 1,2024-05-18 00:00:00,NL,True
workspace_00000083,account_00000159,account_00000159 Workspace 1,2026-05-11 00:00:00,GB,True
workspace_00000084,account_00000161,account_00000161 Workspace 1,2025-05-03 00:00:00,CH,True
workspace_00000085,account_00000166,account_00000166 Workspace 1,2025-01-24 00:00:00,FR,True
workspace_00000086,account_00000169,account_00000169 Workspace 1,2026-07-01 00:00:00,GB,True
workspace_00000087,account_00000173,account_00000173 Workspace 1,2024-05-05 00:00:00,SE,True
workspace_00000088,account_00000177,account_00000177 Workspace 1,2025-08-26 00:00:00,IT,True
workspace_00000089,account_00000177,account_00000177 Workspace 2,2025-08-30 00:00:00,IT,True
workspace_00000090,account_00000183,account_00000183 Workspace 1,2024-03-12 00:00:00,IE,True
workspace_00000091,account_00000184,account_00000184 Workspace 1,2025-07-29 00:00:00,NO,True
workspace_00000092,account_00000184,account_00000184 Workspace 2,2025-07-19 00:00:00,NO,True
workspace_00000093,account_00000192,account_00000192 Workspace 1,2025-02-12 00:00:00,DE,True
workspace_00000094,account_00000197,account_00000197 Workspace 1,2026-06-25 00:00:00,FR,True
workspace_00000095,account_00000204,account_00000204 Workspace 1,2025-10-25 00:00:00,IT,True
workspace_00000096,account_00000204,account_00000204 Workspace 2,2025-10-16 00:00:00,IT,True
workspace_00000097,account_00000204,account_00000204 Workspace 3,2025-10-24 00:00:00,IT,True
workspace_00000098,account_00000204,account_00000204 Workspace 4,2025-10-27 00:00:00,IT,True
workspace_00000099,account_00000204,account_00000204 Workspace 5,2025-10-17 00:00:00,IT,True
workspace_00000100,account_00000204,account_00000204 Workspace 6,2025-10-22 00:00:00,IT,True
workspace_00000101,account_00000204,account_00000204 Workspace 7,2025-10-22 00:00:00,IT,True
workspace_00000102,account_00000205,account_00000205 Workspace 1,2026-05-15 00:00:00,DE,True
workspace_00000103,account_00000206,account_00000206 Workspace 1,2026-02-09 00:00:00,DE,True
workspace_00000104,account_00000206,account_00000206 Workspace 2,2026-02-07 00:00:00,DE,True
workspace_00000105,account_00000207,account_00000207 Workspace 1,2025-05-29 00:00:00,DE,True
workspace_00000106,account_00000207,account_00000207 Workspace 2,2025-05-26 00:00:00,DE,True
workspace_00000107,account_00000208,account_00000208 Workspace 1,2025-04-10 00:00:00,DK,True
workspace_00000108,account_00000213,account_00000213 Workspace 1,2026-07-10 00:00:00,IT,True
workspace_00000109,account_00000213,account_00000213 Workspace 2,2026-06-30 00:00:00,IT,True
workspace_00000110,account_00000221,account_00000221 Workspace 1,2025-10-22 00:00:00,NL,True
workspace_00000111,account_00000222,account_00000222 Workspace 1,2025-02-24 00:00:00,DE,True
workspace_00000112,account_00000228,account_00000228 Workspace 1,2025-05-08 00:00:00,DE,True
workspace_00000113,account_00000229,account_00000229 Workspace 1,2024-05-28 00:00:00,GB,True
workspace_00000114,account_00000230,account_00000230 Workspace 1,2026-04-19 00:00:00,PL,True
workspace_00000115,account_00000234,account_00000234 Workspace 1,2024-09-28 00:00:00,IT,True
workspace_00000116,account_00000234,account_00000234 Workspace 2,2024-10-07 00:00:00,IT,True
workspace_00000117,account_00000244,account_00000244 Workspace 1,2024-09-18 00:00:00,ES,True
workspace_00000118,account_00000245,account_00000245 Workspace 1,2026-05-31 00:00:00,NL,True
workspace_00000119,account_00000247,account_00000247 Workspace 1,2026-05-01 00:00:00,FR,True
