lead_id,account_id,created_at,source_channel,lead_status,mql_at,sql_at,lead_score,campaign_id
lead_00000072,account_00000072,2025-11-26 16:00:00,organic_search,disqualified,,,31,
lead_00000073,account_00000073,2026-02-11 18:00:00,paid_search,disqualified,2026-02-17 18:00:00,,52,campaign_00000283
lead_00000074,account_00000074,2024-03-13 16:00:00,events,disqualified,,,42,campaign_00000068
lead_00000075,account_00000075,2024-01-08 13:00:00,organic_search,disqualified,,,29,
lead_00000076,account_00000076,2024-12-21 08:00:00,outbound_sales,qualified,2024-12-21 08:00:00,2024-12-27 08:00:00,66,
lead_00000077,account_00000077,2024-05-25 17:00:00,partner,disqualified,,,29,campaign_00000395
lead_00000078,account_00000078,2025-10-03 11:00:00,outbound_sales,disqualified,,,26,
lead_00000079,account_00000079,2025-09-25 09:00:00,outbound_sales,converted,,,41,
lead_00000080,account_00000080,2025-08-21 15:00:00,outbound_sales,converted,2025-08-24 15:00:00,2025-08-25 15:00:00,48,
lead_00000081,account_00000081,2025-10-12 10:00:00,paid_search,disqualified,,,27,campaign_00000085
lead_00000082,account_00000082,2024-11-17 12:00:00,outbound_sales,disqualified,,,30,
lead_00000083,account_00000083,2024-08-21 14:00:00,paid_social,converted,2024-08-22 14:00:00,,51,campaign_00000350
lead_00000084,account_00000084,2025-09-11 17:00:00,referral,disqualified,,,29,
lead_00000085,account_00000085,2024-02-10 11:00:00,organic_search,converted,2024-02-16 11:00:00,,69,
lead_00000086,account_00000086,2025-11-29 08:00:00,referral,converted,,,39,
lead_00000087,account_00000087,2025-01-09 11:00:00,outbound_sales,converted,2025-01-15 11:00:00,2025-01-21 11:00:00,54,
lead_00000088,account_00000088,2025-01-01 12:00:00,paid_search,disqualified,,,27,campaign_00000085
lead_00000089,account_00000089,2024-11-29 15:00:00,organic_search,converted,2024-12-06 15:00:00,,46,
lead_00000090,account_00000090,2025-01-02 09:00:00,partner,disqualified,,,42,campaign_00000184
lead_00000091,account_00000091,2025-07-05 16:00:00,organic_search,disqualified,2025-07-09 16:00:00,2025-07-15 16:00:00,50,
lead_00000092,account_00000092,2025-12-15 08:00:00,outbound_sales,converted,2025-12-15 08:00:00,2025-12-21 08:00:00,45,
lead_00000093,account_00000093,2024-09-22 16:00:00,outbound_sales,converted,2024-09-24 16:00:00,2024-10-04 16:00:00,81,
lead_00000094,account_00000094,2026-01-15 09:00:00,organic_search,converted,,,41,
lead_00000095,account_00000095,2025-03-01 13:00:00,direct,converted,2025-03-08 13:00:00,2025-03-09 13:00:00,45,
lead_00000096,account_00000096,2025-01-15 18:00:00,organic_search,disqualified,,,28,
lead_00000097,account_00000097,2024-04-12 18:00:00,referral,qualified,2024-04-12 18:00:00,2024-04-21 18:00:00,58,
lead_00000098,account_00000098,2025-12-01 16:00:00,referral,qualified,2025-12-06 16:00:00,,61,
lead_00000099,account_00000099,2025-06-25 17:00:00,outbound_sales,disqualified,2025-07-02 17:00:00,2025-07-06 17:00:00,52,
lead_00000100,account_00000100,2026-05-06 16:00:00,paid_search,converted,2026-05-12 16:00:00,,58,campaign_00000377
lead_00000101,account_00000101,2026-04-27 11:00:00,paid_search,converted,,,38,campaign_00000065
lead_00000102,account_00000102,2025-09-05 14:00:00,paid_social,qualified,2025-09-09 14:00:00,,55,campaign_00000334
lead_00000103,account_00000103,2024-01-13 18:00:00,organic_search,disqualified,,,20,
lead_00000104,account_00000104,2024-07-09 14:00:00,direct,converted,2024-07-14 14:00:00,2024-07-22 14:00:00,50,
lead_00000105,account_00000105,2026-05-03 12:00:00,paid_search,converted,2026-05-08 12:00:00,,80,campaign_00000100
lead_00000106,account_00000106,2024-01-01 08:00:00,organic_search,converted,2024-01-06 08:00:00,2024-01-15 08:00:00,57,
lead_00000107,account_00000107,2024-09-13 15:00:00,partner,disqualified,,,42,campaign_00000126
lead_00000108,account_00000108,2025-03-11 16:00:00,partner,converted,2025-03-18 16:00:00,2025-03-21 16:00:00,54,campaign_00000216
lead_00000109,account_00000109,2024-04-26 16:00:00,paid_search,disqualified,,,43,campaign_00000045
lead_00000110,account_00000110,2024-06-22 16:00:00,organic_search,converted,2024-06-28 16:00:00,2024-07-01 16:00:00,56,
lead_00000111,account_00000111,2024-11-15 16:00:00,outbound_sales,converted,2024-11-22 16:00:00,2024-11-27 16:00:00,59,
lead_00000112,account_00000112,2025-07-11 18:00:00,partner,disqualified,,,19,campaign_00000257
lead_00000113,account_00000113,2024-07-25 08:00:00,organic_search,converted,2024-08-01 08:00:00,,65,
lead_00000114,account_00000114,2024-11-30 08:00:00,outbound_sales,disqualified,,,27,
lead_00000115,account_00000115,2025-04-14 08:00:00,partner,disqualified,,,44,campaign_00000134
lead_00000116,account_00000116,2025-07-03 09:00:00,outbound_sales,converted,2025-07-08 09:00:00,2025-07-15 09:00:00,66,
lead_00000117,account_00000117,2024-01-16 12:00:00,events,qualified,2024-01-21 12:00:00,2024-01-31 12:00:00,59,campaign_00000088
lead_00000118,account_00000118,2025-08-19 13:00:00,outbound_sales,disqualified,2025-08-22 13:00:00,2025-08-29 13:00:00,46,
lead_00000119,account_00000119,2026-05-22 18:00:00,partner,disqualified,,,32,campaign_00000001
lead_00000120,account_00000120,2025-03-05 10:00:00,events,disqualified,,,44,campaign_00000251
lead_00000121,account_00000121,2026-03-04 15:00:00,outbound_sales,qualified,2026-03-08 15:00:00,2026-03-19 15:00:00,70,
lead_00000122,account_00000122,2025-07-31 14:00:00,referral,converted,2025-07-31 14:00:00,2025-08-01 14:00:00,54,
lead_00000123,account_00000123,2024-09-21 11:00:00,partner,converted,2024-09-21 11:00:00,2024-09-25 11:00:00,79,campaign_00000087
lead_00000124,account_00000124,2024-07-18 17:00:00,paid_search,converted,2024-07-25 17:00:00,,55,campaign_00000045
lead_00000125,account_00000125,2025-03-07 13:00:00,organic_search,disqualified,,,25,
lead_00000126,account_00000126,2026-02-16 12:00:00,paid_search,converted,2026-02-17 12:00:00,,62,campaign_00000063
lead_00000127,account_00000127,2025-01-28 15:00:00,organic_search,converted,2025-02-04 15:00:00,,48,
lead_00000128,account_00000128,2024-05-27 10:00:00,outbound_sales,converted,2024-06-01 10:00:00,2024-06-03 10:00:00,79,
lead_00000129,account_00000129,2025-05-20 08:00:00,organic_search,converted,2025-05-27 08:00:00,2025-05-28 08:00:00,72,
lead_00000130,account_00000130,2025-09-28 15:00:00,paid_search,converted,2025-09-28 15:00:00,,76,campaign_00000179
lead_00000131,account_00000131,2025-04-17 13:00:00,partner,converted,2025-04-22 13:00:00,2025-04-30 13:00:00,51,campaign_00000162
lead_00000132,account_00000132,2024-03-11 17:00:00,paid_search,disqualified,,,33,campaign_00000065
lead_00000133,account_00000133,2025-08-13 17:00:00,paid_search,qualified,2025-08-14 17:00:00,2025-08-17 17:00:00,61,campaign_00000099
lead_00000134,account_00000134,2024-03-29 12:00:00,outbound_sales,converted,2024-03-29 12:00:00,2024-04-07 12:00:00,75,
lead_00000135,account_00000135,2025-06-06 18:00:00,partner,converted,2025-06-12 18:00:00,2025-06-20 18:00:00,76,campaign_00000404
lead_00000136,account_00000136,2024-07-27 11:00:00,organic_search,converted,2024-07-27 11:00:00,2024-07-31 11:00:00,73,
lead_00000137,account_00000137,2025-10-30 13:00:00,referral,converted,2025-10-30 13:00:00,,65,
lead_00000138,account_00000138,2024-11-01 15:00:00,referral,converted,2024-11-01 15:00:00,,46,
lead_00000139,account_00000139,2025-04-17 12:00:00,paid_search,disqualified,,,34,campaign_00000025
lead_00000140,account_00000140,2025-04-28 14:00:00,outbound_sales,disqualified,,,42,
lead_00000141,account_00000141,2025-01-22 08:00:00,partner,converted,2025-01-24 08:00:00,2025-01-26 08:00:00,60,campaign_00000184
lead_00000142,account_00000142,2024-06-07 18:00:00,paid_search,disqualified,,,26,campaign_00000332
lead_00000143,account_00000143,2025-03-20 09:00:00,organic_search,disqualified,2025-03-21 09:00:00,2025-03-28 09:00:00,49,
lead_00000144,account_00000144,2025-04-26 13:00:00,paid_social,disqualified,,,30,campaign_00000307
lead_00000145,account_00000145,2024-08-29 18:00:00,organic_search,disqualified,,,27,
lead_00000146,account_00000146,2025-04-20 08:00:00,paid_search,disqualified,,,36,campaign_00000223
lead_00000147,account_00000147,2026-05-15 14:00:00,events,disqualified,,,44,campaign_00000103
lead_00000148,account_00000148,2024-12-20 13:00:00,partner,qualified,2024-12-25 13:00:00,2024-12-30 13:00:00,57,campaign_00000020
lead_00000149,account_00000149,2024-04-11 12:00:00,paid_search,disqualified,,,43,campaign_00000415
lead_00000150,account_00000150,2026-01-24 16:00:00,outbound_sales,disqualified,,,21,
lead_00000151,account_00000151,2026-03-07 17:00:00,outbound_sales,disqualified,,,32,
lead_00000152,account_00000152,2024-05-31 12:00:00,paid_search,converted,2024-06-01 12:00:00,2024-06-06 12:00:00,87,campaign_00000406
lead_00000153,account_00000153,2026-01-16 16:00:00,referral,disqualified,,,32,
lead_00000154,account_00000154,2025-12-21 16:00:00,referral,disqualified,,,19,
lead_00000155,account_00000155,2024-12-20 14:00:00,paid_search,converted,2024-12-26 14:00:00,,66,campaign_00000045
lead_00000156,account_00000156,2025-01-17 17:00:00,referral,disqualified,,,23,
lead_00000157,account_00000157,2024-04-05 11:00:00,organic_search,converted,2024-04-11 11:00:00,2024-04-18 11:00:00,66,
lead_00000158,account_00000158,2026-04-26 12:00:00,organic_search,disqualified,,,18,
lead_00000159,account_00000159,2026-04-02 15:00:00,outbound_sales,converted,2026-04-06 15:00:00,2026-04-07 15:00:00,74,
lead_00000160,account_00000160,2026-03-04 09:00:00,organic_search,disqualified,2026-03-04 09:00:00,,48,
lead_00000161,account_00000161,2025-01-31 12:00:00,paid_search,converted,2025-02-01 12:00:00,2025-02-04 12:00:00,54,campaign_00000159
lead_00000162,account_00000162,2024-12-22 13:00:00,organic_search,disqualified,,,7,
lead_00000163,account_00000163,2025-11-05 17:00:00,partner,qualified,2025-11-09 17:00:00,2025-11-16 17:00:00,71,campaign_00000273
lead_00000164,account_00000164,2026-04-07 10:00:00,outbound_sales,disqualified,2026-04-11 10:00:00,2026-04-21 10:00:00,48,
lead_00000165,account_00000165,2024-02-18 17:00:00,outbound_sales,disqualified,,,37,
lead_00000166,account_00000166,2025-01-05 13:00:00,referral,converted,2025-01-07 13:00:00,,71,
lead_00000167,account_00000167,2025-10-11 17:00:00,paid_search,disqualified,,,34,campaign_00000150
lead_00000168,account_00000168,2025-04-30 08:00:00,outbound_sales,disqualified,2025-05-03 08:00:00,2025-05-05 08:00:00,52,
lead_00000169,account_00000169,2026-05-26 08:00:00,organic_search,converted,2026-06-01 08:00:00,,88,
lead_00000170,account_00000170,2024-03-14 16:00:00,outbound_sales,disqualified,,,35,
lead_00000171,account_00000171,2025-12-12 12:00:00,partner,disqualified,2025-12-12 12:00:00,2025-12-17 12:00:00,47,campaign_00000354
lead_00000172,account_00000172,2025-03-23 08:00:00,partner,disqualified,,,39,campaign_00000162
lead_00000173,account_00000173,2024-04-01 16:00:00,referral,converted,,,35,
lead_00000174,account_00000174,2024-06-14 13:00:00,paid_search,disqualified,,,22,campaign_00000391
lead_00000175,account_00000175,2024-07-21 12:00:00,organic_search,disqualified,,,44,
lead_00000176,account_00000176,2025-10-19 16:00:00,partner,qualified,2025-10-25 16:00:00,2025-10-30 16:00:00,97,campaign_00000134
lead_00000177,account_00000177,2025-07-29 08:00:00,referral,converted,2025-08-04 08:00:00,,87,
lead_00000178,account_00000178,2024-12-15 09:00:00,outbound_sales,disqualified,,,13,
lead_00000179,account_00000179,2024-12-24 14:00:00,organic_search,qualified,2024-12-26 14:00:00,,62,
lead_00000180,account_00000180,2025-12-02 10:00:00,outbound_sales,qualified,2025-12-07 10:00:00,2025-12-18 10:00:00,72,
lead_00000181,account_00000181,2025-09-16 15:00:00,partner,disqualified,,,39,campaign_00000128
lead_00000182,account_00000182,2025-10-30 12:00:00,paid_search,disqualified,,,36,campaign_00000145
lead_00000183,account_00000183,2024-02-12 15:00:00,events,converted,2024-02-13 15:00:00,,60,campaign_00000418
lead_00000184,account_00000184,2025-02-09 18:00:00,outbound_sales,converted,,,41,
lead_00000185,account_00000185,2026-03-01 14:00:00,events,disqualified,,,32,campaign_00000086
lead_00000186,account_00000186,2026-03-29 12:00:00,outbound_sales,qualified,2026-04-01 12:00:00,2026-04-04 12:00:00,68,
lead_00000187,account_00000187,2025-02-10 15:00:00,partner,disqualified,,,17,campaign_00000087
lead_00000188,account_00000188,2024-05-19 16:00:00,organic_search,disqualified,,,19,
lead_00000189,account_00000189,2024-10-26 16:00:00,paid_search,qualified,2024-10-31 16:00:00,2024-11-04 16:00:00,68,campaign_00000283
lead_00000190,account_00000190,2025-09-26 08:00:00,paid_search,qualified,2025-10-03 08:00:00,2025-10-07 08:00:00,89,campaign_00000042
lead_00000191,account_00000191,2025-12-02 18:00:00,paid_search,disqualified,2025-12-08 18:00:00,,46,campaign_00000310
lead_00000192,account_00000192,2025-01-01 08:00:00,events,converted,2025-01-06 08:00:00,,77,campaign_00000068
lead_00000193,account_00000193,2026-05-16 17:00:00,paid_search,disqualified,,,42,campaign_00000010
lead_00000194,account_00000194,2024-01-19 12:00:00,paid_search,disqualified,,,27,campaign_00000197
lead_00000195,account_00000195,2025-08-13 09:00:00,partner,disqualified,,,25,campaign_00000365
lead_00000196,account_00000196,2026-05-24 14:00:00,events,qualified,2026-05-26 14:00:00,2026-05-28 14:00:00,58,campaign_00000246
lead_00000197,account_00000197,2026-05-31 13:00:00,paid_social,converted,2026-05-31 13:00:00,,100,campaign_00000286
lead_00000198,account_00000198,2025-08-05 15:00:00,partner,disqualified,,,26,campaign_00000158
lead_00000199,account_00000199,2024-08-19 12:00:00,direct,qualified,2024-08-22 12:00:00,2024-08-28 12:00:00,59,
lead_00000200,account_00000200,2025-03-21 18:00:00,organic_search,disqualified,,,27,
lead_00000201,account_00000201,2025-05-17 14:00:00,organic_search,disqualified,,,31,
lead_00000202,account_00000202,2025-01-30 09:00:00,organic_search,qualified,2025-02-01 09:00:00,,85,
lead_00000203,account_00000203,2024-09-11 17:00:00,referral,disqualified,,,0,
lead_00000204,account_00000204,2025-08-16 18:00:00,outbound_sales,converted,2025-08-23 18:00:00,2025-08-24 18:00:00,59,
lead_00000205,account_00000205,2026-01-16 08:00:00,partner,converted,,,44,campaign_00000128
lead_00000206,account_00000206,2026-01-26 11:00:00,organic_search,converted,,,36,
lead_00000207,account_00000207,2025-03-22 17:00:00,paid_search,converted,2025-03-28 17:00:00,2025-04-01 17:00:00,57,campaign_00000332
lead_00000208,account_00000208,2025-02-06 13:00:00,paid_search,converted,2025-02-07 13:00:00,2025-02-10 13:00:00,57,campaign_00000419
lead_00000209,account_00000209,2024-05-25 13:00:00,referral,qualified,2024-05-29 13:00:00,,60,
lead_00000210,account_00000210,2025-04-27 18:00:00,organic_search,disqualified,,,42,
lead_00000211,account_00000211,2025-10-17 08:00:00,paid_search,qualified,2025-10-24 08:00:00,,57,campaign_00000346
lead_00000212,account_00000212,2026-01-10 13:00:00,partner,disqualified,,,44,campaign_00000374
lead_00000213,account_00000213,2026-04-24 15:00:00,partner,converted,2026-04-24 15:00:00,2026-04-25 15:00:00,52,campaign_00000327
lead_00000214,account_00000214,2024-04-29 09:00:00,partner,disqualified,2024-05-04 09:00:00,2024-05-05 09:00:00,46,campaign_00000184
lead_00000215,account_00000215,2024-05-01 14:00:00,organic_search,qualified,2024-05-08 14:00:00,,67,
lead_00000216,account_00000216,2024-10-11 10:00:00,organic_search,disqualified,,,15,
lead_00000217,account_00000217,2025-03-12 16:00:00,organic_search,qualified,2025-03-19 16:00:00,,66,
lead_00000218,account_00000218,2024-06-21 15:00:00,paid_social,disqualified,,,35,campaign_00000320
lead_00000219,account_00000219,2024-06-12 18:00:00,organic_search,qualified,2024-06-14 18:00:00,2024-06-15 18:00:00,58,
lead_00000220,account_00000220,2025-08-10 14:00:00,organic_search,disqualified,,,16,
lead_00000221,account_00000221,2025-10-09 16:00:00,paid_search,converted,2025-10-12 16:00:00,,65,campaign_00000360
lead_00000222,account_00000222,2025-01-13 16:00:00,paid_search,converted,2025-01-20 16:00:00,2025-01-29 16:00:00,66,campaign_00000085
lead_00000223,account_00000223,2024-02-25 18:00:00,partner,disqualified,,,0,campaign_00000365
lead_00000224,account_00000224,2025-08-14 15:00:00,referral,qualified,2025-08-21 15:00:00,2025-08-25 15:00:00,56,
lead_00000225,account_00000225,2026-02-21 11:00:00,direct,disqualified,,,40,
lead_00000226,account_00000226,2025-01-30 18:00:00,organic_search,disqualified,,,30,
lead_00000227,account_00000227,2024-09-14 16:00:00,outbound_sales,disqualified,2024-09-19 16:00:00,2024-09-23 16:00:00,48,
lead_00000228,account_00000228,2025-04-27 12:00:00,paid_social,converted,,,30,campaign_00000054
lead_00000229,account_00000229,2024-03-16 11:00:00,outbound_sales,converted,2024-03-18 11:00:00,2024-03-23 11:00:00,76,
lead_00000230,account_00000230,2026-02-15 13:00:00,organic_search,converted,2026-02-22 13:00:00,2026-02-27 13:00:00,49,
lead_00000231,account_00000231,2024-06-02 13:00:00,organic_search,disqualified,,,23,
lead_00000232,account_00000232,2024-10-07 08:00:00,referral,disqualified,,,0,
lead_00000233,account_00000233,2024-02-07 12:00:00,outbound_sales,disqualified,,,32,
lead_00000234,account_00000234,2024-08-12 08:00:00,organic_search,converted,2024-08-12 08:00:00,2024-08-21 08:00:00,56,
lead_00000235,account_00000235,2024-06-26 16:00:00,paid_search,disqualified,2024-07-01 16:00:00,2024-07-10 16:00:00,52,campaign_00000223
lead_00000236,account_00000236,2025-07-06 18:00:00,outbound_sales,disqualified,2025-07-10 18:00:00,2025-07-17 18:00:00,51,
lead_00000237,account_00000237,2024-10-10 12:00:00,organic_search,qualified,2024-10-10 12:00:00,2024-10-18 12:00:00,84,
lead_00000238,account_00000238,2025-03-15 10:00:00,organic_search,disqualified,,,33,
lead_00000239,account_00000239,2024-09-24 08:00:00,partner,qualified,2024-09-27 08:00:00,2024-10-03 08:00:00,62,campaign_00000313
lead_00000240,account_00000240,2025-03-03 13:00:00,organic_search,disqualified,2025-03-07 13:00:00,2025-03-08 13:00:00,46,
lead_00000241,account_00000241,2025-03-07 14:00:00,partner,disqualified,2025-03-12 14:00:00,2025-03-18 14:00:00,46,campaign_00000026
lead_00000242,account_00000242,2026-04-29 08:00:00,organic_search,disqualified,2026-05-03 08:00:00,2026-05-05 08:00:00,45,
lead_00000243,account_00000243,2024-04-21 15:00:00,outbound_sales,disqualified,2024-04-24 15:00:00,2024-04-27 15:00:00,50,
lead_00000244,account_00000244,2024-07-11 10:00:00,outbound_sales,converted,2024-07-14 10:00:00,2024-07-19 10:00:00,51,
lead_00000245,account_00000245,2026-04-26 10:00:00,outbound_sales,converted,2026-04-30 10:00:00,2026-05-06 10:00:00,76,
lead_00000246,account_00000246,2026-03-28 14:00:00,referral,qualified,2026-04-01 14:00:00,,61,
lead_00000247,account_00000247,2026-04-05 17:00:00,paid_search,converted,2026-04-06 17:00:00,,51,campaign_00000188
lead_00000248,account_00000248,2024-10-15 08:00:00,paid_social,disqualified,,,30,campaign_00000211
lead_00000249,account_00000249,2025-09-26 09:00:00,organic_search,disqualified,,,41,
lead_00000250,account_00000250,2025-02-25 09:00:00,organic_search,disqualified,,,26,
