subscription_id,account_id,contract_id,plan_id,trial_start_date,trial_end_date,subscription_start_date,current_status,cancel_requested_date,ended_date,churn_type,billing_frequency,currency_code
subscription_00000064,account_00000177,contract_00000064,plan_business,2025-07-29,2025-08-21,2025-08-22,active,,,,annual,EUR
subscription_00000065,account_00000183,contract_00000065,plan_starter,2024-02-12,2024-03-03,2024-03-04,active,,,,annual,EUR
subscription_00000066,account_00000184,contract_00000066,plan_professional,,,2025-07-19,active,,,,annual,NOK
subscription_00000067,account_00000192,contract_00000067,plan_professional,2025-01-01,2025-02-01,2025-02-02,active,,,,annual,EUR
subscription_00000068,account_00000197,contract_00000068,plan_starter,2026-05-31,2026-06-15,2026-06-16,active,,,,annual,EUR
subscription_00000069,account_00000204,contract_00000069,plan_business,,,2025-10-16,active,,,,annual,EUR
subscription_00000070,account_00000205,contract_00000070,plan_starter,,,2026-05-05,active,,,,monthly,EUR
subscription_00000071,account_00000206,contract_00000071,plan_professional,2026-01-26,2026-02-03,2026-02-04,active,,,,monthly,EUR
subscription_00000072,account_00000207,contract_00000072,plan_business,,,2025-05-22,active,,,,annual,EUR
subscription_00000073,account_00000208,contract_00000073,plan_professional,,,2025-04-07,active,,,,monthly,DKK
subscription_00000074,account_00000213,contract_00000074,plan_professional,,,2026-06-29,active,,,,annual,EUR
subscription_00000075,account_00000221,contract_00000075,plan_professional,2025-10-09,2025-10-19,2025-10-20,active,,,,annual,EUR
subscription_00000076,account_00000222,contract_00000076,plan_business,,,2025-02-20,active,,,,monthly,EUR
subscription_00000077,account_00000228,contract_00000077,plan_professional,2025-04-27,2025-04-29,2025-04-30,active,,,,monthly,EUR
subscription_00000078,account_00000229,contract_00000078,plan_starter,,,2024-05-22,active,,,,annual,GBP
subscription_00000079,account_00000230,contract_00000079,plan_starter,,,2026-04-12,active,,,,annual,PLN
subscription_00000080,account_00000234,contract_00000080,plan_business,,,2024-09-28,active,,,,annual,EUR
subscription_00000081,account_00000244,contract_00000081,plan_professional,,,2024-09-08,active,,,,annual,EUR
subscription_00000082,account_00000245,contract_00000082,plan_professional,,,2026-05-26,active,,,,annual,EUR
subscription_00000083,account_00000247,contract_00000083,plan_professional,2026-04-05,2026-04-21,2026-04-22,active,,,,annual,EUR
