subscription_event_id,subscription_id,event_at,event_type,previous_plan_id,new_plan_id,previous_quantity,new_quantity,mrr_change_eur,event_reason,initiated_by
subevent_00000087,subscription_00000030,2025-05-30 00:00:00,subscription_activated,,plan_business,0,195,4500.58,new_business,system
subevent_00000088,subscription_00000030,2026-05-20 00:00:00,cancellation_requested,plan_enterprise,,222,0,0.0,budget,customer
subevent_00000089,subscription_00000030,2026-05-31 00:00:00,subscription_churned,plan_enterprise,,222,0,-6031.24,voluntary,customer
subevent_00000090,subscription_00000031,2026-05-06 16:00:00,trial_started,,plan_professional,,5,0.0,self_service_trial,customer
subevent_00000091,subscription_00000031,2026-05-11 00:00:00,subscription_activated,,plan_professional,0,5,106.92,new_business,system
subevent_00000092,subscription_00000032,2026-04-27 11:00:00,trial_started,,plan_professional,,5,0.0,self_service_trial,customer
subevent_00000093,subscription_00000032,2026-05-25 00:00:00,subscription_activated,,plan_professional,0,5,87.67,new_business,system
subevent_00000094,subscription_00000033,2024-08-08 00:00:00,subscription_activated,,plan_starter,0,4,43.35,new_business,system
subevent_00000095,subscription_00000033,2024-10-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,116.1,advanced_analytics,customer
subevent_00000096,subscription_00000034,2026-05-03 12:00:00,trial_started,,plan_starter,,19,0.0,self_service_trial,customer
subevent_00000097,subscription_00000034,2026-05-30 00:00:00,subscription_activated,,plan_starter,0,19,212.06,new_business,system
subevent_00000098,subscription_00000035,2025-07-05 00:00:00,seat_expanded,plan_professional,plan_professional,11,13,33.65,customer_growth,customer
subevent_00000099,subscription_00000035,2026-01-05 00:00:00,seat_contracted,plan_professional,plan_professional,13,11,-33.65,capacity_adjustment,customer
subevent_00000100,subscription_00000035,2024-05-13 00:00:00,subscription_activated,,plan_professional,0,11,160.69,new_business,system
subevent_00000101,subscription_00000036,2025-05-04 00:00:00,subscription_activated,,plan_enterprise,0,972,26961.64,new_business,system
subevent_00000102,subscription_00000036,2025-08-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,44.1,additional_storage,customer
subevent_00000103,subscription_00000036,2025-12-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,269.1,erp_integration,customer
subevent_00000104,subscription_00000037,2024-08-05 00:00:00,seat_expanded,plan_business,plan_business,46,56,216.0,customer_growth,customer
subevent_00000105,subscription_00000037,2024-07-27 00:00:00,subscription_activated,,plan_business,0,46,872.9,new_business,system
subevent_00000106,subscription_00000038,2025-09-05 00:00:00,seat_expanded,plan_professional,plan_professional,8,9,20.52,customer_growth,customer
subevent_00000107,subscription_00000038,2025-01-15 00:00:00,subscription_activated,,plan_professional,0,8,156.0,new_business,system
subevent_00000108,subscription_00000038,2025-03-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,249.0,api_package,customer
subevent_00000109,subscription_00000038,2025-04-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,49.0,additional_storage,customer
subevent_00000110,subscription_00000039,2024-07-25 08:00:00,trial_started,,plan_business,,47,0.0,self_service_trial,customer
subevent_00000111,subscription_00000039,2024-11-05 00:00:00,seat_expanded,plan_business,plan_business,47,59,324.0,customer_growth,customer
subevent_00000112,subscription_00000039,2025-02-05 00:00:00,seat_expanded,plan_business,plan_business,59,68,243.0,customer_growth,customer
subevent_00000113,subscription_00000039,2026-04-05 00:00:00,seat_expanded,plan_business,plan_business,68,75,204.12,customer_growth,customer
subevent_00000114,subscription_00000039,2026-06-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,75,75,411.48,customer_growth,customer
subevent_00000115,subscription_00000039,2024-08-18 00:00:00,subscription_activated,,plan_business,0,47,1213.0,new_business,system
subevent_00000116,subscription_00000039,2025-02-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,249.0,api_package,customer
subevent_00000117,subscription_00000040,2025-08-09 00:00:00,subscription_activated,,plan_starter,0,7,93.96,new_business,system
subevent_00000118,subscription_00000040,2026-03-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,129.0,advanced_analytics,customer
subevent_00000119,subscription_00000040,2026-01-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,89.0,customer_portal,customer
subevent_00000120,subscription_00000040,2026-02-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,299.0,erp_integration,customer
subevent_00000121,subscription_00000041,2025-10-03 00:00:00,subscription_activated,,plan_starter,0,1,40.01,new_business,system
subevent_00000122,subscription_00000041,2026-05-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,69.0,document_management,customer
subevent_00000123,subscription_00000041,2026-05-11 00:00:00,add_on_added,plan_starter,plan_starter,0,1,249.0,api_package,customer
subevent_00000124,subscription_00000042,2025-05-05 00:00:00,seat_expanded,plan_starter,plan_starter,4,5,12.96,customer_growth,customer
subevent_00000125,subscription_00000042,2024-10-13 00:00:00,subscription_activated,,plan_starter,0,4,46.92,new_business,system
subevent_00000126,subscription_00000043,2024-07-18 17:00:00,trial_started,,plan_professional,,1,0.0,self_service_trial,customer
subevent_00000127,subscription_00000043,2025-06-05 00:00:00,seat_expanded,plan_professional,plan_professional,1,2,0.0,capacity_adjustment,customer
subevent_00000128,subscription_00000043,2025-08-05 00:00:00,seat_expanded,plan_professional,plan_professional,2,3,0.0,capacity_adjustment,customer
subevent_00000129,subscription_00000043,2024-08-01 00:00:00,subscription_activated,,plan_professional,0,1,99.0,new_business,system
subevent_00000130,subscription_00000044,2026-02-16 12:00:00,trial_started,,plan_starter,,2,0.0,self_service_trial,customer
subevent_00000131,subscription_00000044,2026-03-10 00:00:00,subscription_activated,,plan_starter,0,2,35.8,new_business,system
subevent_00000132,subscription_00000045,2025-01-28 15:00:00,trial_started,,plan_professional,,8,0.0,self_service_trial,customer
subevent_00000133,subscription_00000045,2025-02-05 00:00:00,subscription_activated,,plan_professional,0,8,127.92,new_business,system
subevent_00000134,subscription_00000046,2024-12-05 00:00:00,plan_upgraded,plan_professional,plan_business,70,70,500.0,customer_growth,customer
subevent_00000135,subscription_00000046,2025-08-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,70,70,373.68,customer_growth,customer
subevent_00000136,subscription_00000046,2025-09-05 00:00:00,seat_contracted,plan_enterprise,plan_enterprise,70,62,-293.76,capacity_adjustment,customer
subevent_00000137,subscription_00000046,2025-10-05 00:00:00,seat_expanded,plan_enterprise,plan_enterprise,62,75,477.36,customer_growth,customer
subevent_00000138,subscription_00000046,2025-11-05 00:00:00,seat_contracted,plan_enterprise,plan_enterprise,75,61,-514.08,capacity_adjustment,customer
subevent_00000139,subscription_00000046,2024-08-23 00:00:00,subscription_activated,,plan_professional,0,70,1334.0,new_business,system
subevent_00000140,subscription_00000046,2024-12-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,49.0,additional_storage,customer
subevent_00000141,subscription_00000047,2025-07-05 00:00:00,seat_expanded,plan_starter,plan_starter,3,4,12.96,customer_growth,customer
subevent_00000142,subscription_00000047,2026-04-05 00:00:00,seat_expanded,plan_starter,plan_starter,4,5,12.96,customer_growth,customer
subevent_00000143,subscription_00000047,2025-06-12 00:00:00,subscription_activated,,plan_starter,0,3,42.12,new_business,system
subevent_00000144,subscription_00000048,2025-09-28 15:00:00,trial_started,,plan_starter,,2,0.0,self_service_trial,customer
subevent_00000145,subscription_00000048,2025-10-20 00:00:00,subscription_activated,,plan_starter,0,2,35.8,new_business,system
subevent_00000146,subscription_00000048,2026-01-05 00:00:00,cancellation_requested,plan_starter,,2,0,0.0,low_usage,customer
subevent_00000147,subscription_00000048,2026-01-31 00:00:00,subscription_churned,plan_starter,,2,0,-35.8,voluntary,customer
subevent_00000148,subscription_00000049,2025-07-05 00:00:00,seat_contracted,plan_enterprise,plan_enterprise,1104,1039,-2386.8,capacity_adjustment,customer
subevent_00000149,subscription_00000049,2025-09-05 00:00:00,seat_contracted,plan_enterprise,plan_enterprise,1039,854,-6793.2,capacity_adjustment,customer
subevent_00000150,subscription_00000049,2026-02-05 00:00:00,seat_expanded,plan_enterprise,plan_enterprise,854,980,4626.72,customer_growth,customer
subevent_00000151,subscription_00000049,2025-05-16 00:00:00,subscription_activated,,plan_enterprise,0,1104,39113.19,new_business,system
subevent_00000152,subscription_00000049,2025-11-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,249.0,api_package,customer
subevent_00000153,subscription_00000050,2025-04-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,162,162,626.05,customer_growth,customer
subevent_00000154,subscription_00000050,2026-02-05 00:00:00,seat_contracted,plan_enterprise,plan_enterprise,162,134,-781.4,capacity_adjustment,customer
subevent_00000155,subscription_00000050,2024-06-29 00:00:00,subscription_activated,,plan_business,0,162,3350.77,new_business,system
subevent_00000156,subscription_00000050,2024-07-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,62.1,document_management,customer
subevent_00000157,subscription_00000050,2025-01-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,116.1,advanced_analytics,customer
subevent_00000158,subscription_00000051,2025-08-25 00:00:00,subscription_activated,,plan_starter,0,1,38.75,new_business,system
subevent_00000159,subscription_00000052,2025-08-05 00:00:00,seat_contracted,plan_business,plan_business,58,51,-204.12,capacity_adjustment,customer
subevent_00000160,subscription_00000052,2025-10-05 00:00:00,seat_expanded,plan_business,plan_business,51,60,262.44,customer_growth,customer
subevent_00000161,subscription_00000052,2026-02-05 00:00:00,seat_expanded,plan_business,plan_business,60,69,262.44,customer_growth,customer
subevent_00000162,subscription_00000052,2026-03-05 00:00:00,seat_expanded,plan_business,plan_business,69,87,524.88,customer_growth,customer
subevent_00000163,subscription_00000052,2026-06-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,87,109,1310.04,customer_growth,customer
subevent_00000164,subscription_00000052,2024-09-24 00:00:00,subscription_activated,,plan_business,0,58,1464.7,new_business,system
subevent_00000165,subscription_00000053,2025-10-30 13:00:00,trial_started,,plan_professional,,8,0.0,self_service_trial,customer
subevent_00000166,subscription_00000053,2025-11-18 00:00:00,subscription_activated,,plan_professional,0,8,168.48,new_business,system
subevent_00000167,subscription_00000053,2026-01-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,299.0,erp_integration,customer
subevent_00000168,subscription_00000053,2026-04-11 00:00:00,add_on_added,plan_professional,plan_professional,0,1,129.0,advanced_analytics,customer
subevent_00000169,subscription_00000054,2024-11-01 15:00:00,trial_started,,plan_starter,,15,0.0,self_service_trial,customer
subevent_00000170,subscription_00000054,2025-03-05 00:00:00,plan_upgraded,plan_starter,plan_professional,15,15,106.0,customer_growth,customer
subevent_00000171,subscription_00000054,2024-11-11 00:00:00,subscription_activated,,plan_starter,0,15,183.0,new_business,system
subevent_00000172,subscription_00000055,2025-09-05 00:00:00,plan_upgraded,plan_starter,plan_professional,15,15,114.48,customer_growth,customer
subevent_00000173,subscription_00000055,2026-03-05 00:00:00,seat_expanded,plan_professional,plan_professional,15,17,41.04,customer_growth,customer
subevent_00000174,subscription_00000055,2025-04-20 00:00:00,subscription_activated,,plan_starter,0,15,197.64,new_business,system
subevent_00000175,subscription_00000056,2024-12-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,338,338,1325.92,customer_growth,customer
subevent_00000176,subscription_00000056,2025-09-05 00:00:00,seat_expanded,plan_enterprise,plan_enterprise,338,417,2204.67,customer_growth,customer
subevent_00000177,subscription_00000056,2024-07-12 00:00:00,subscription_activated,,plan_business,0,338,7038.32,new_business,system
subevent_00000178,subscription_00000056,2024-08-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,359.1,premium_support,customer
subevent_00000179,subscription_00000057,2024-12-20 14:00:00,trial_started,,plan_starter,,4,0.0,self_service_trial,customer
subevent_00000180,subscription_00000057,2024-12-24 00:00:00,subscription_activated,,plan_starter,0,4,43.35,new_business,system
subevent_00000181,subscription_00000058,2024-05-08 00:00:00,subscription_activated,,plan_professional,0,3,96.03,new_business,system
subevent_00000182,subscription_00000059,2026-05-05 00:00:00,seat_expanded,plan_professional,plan_professional,17,21,82.08,customer_growth,customer
subevent_00000183,subscription_00000059,2026-04-30 00:00:00,subscription_activated,,plan_professional,0,17,335.5,new_business,system
subevent_00000184,subscription_00000060,2026-04-05 00:00:00,seat_contracted,plan_business,plan_business,37,32,-116.64,capacity_adjustment,customer
subevent_00000185,subscription_00000060,2025-04-22 00:00:00,subscription_activated,,plan_business,0,37,814.75,new_business,system
subevent_00000186,subscription_00000061,2025-01-05 13:00:00,trial_started,,plan_starter,,3,0.0,self_service_trial,customer
subevent_00000187,subscription_00000061,2025-07-05 00:00:00,seat_expanded,plan_starter,plan_starter,3,4,12.96,customer_growth,customer
subevent_00000188,subscription_00000061,2025-01-23 00:00:00,subscription_activated,,plan_starter,0,3,39.0,new_business,system
subevent_00000189,subscription_00000062,2026-05-26 08:00:00,trial_started,,plan_professional,,13,0.0,self_service_trial,customer
subevent_00000190,subscription_00000062,2026-06-27 00:00:00,subscription_activated,,plan_professional,0,13,271.08,new_business,system
subevent_00000191,subscription_00000063,2024-04-01 16:00:00,trial_started,,plan_professional,,6,0.0,self_service_trial,customer
subevent_00000192,subscription_00000063,2025-07-05 00:00:00,seat_contracted,plan_professional,plan_professional,6,5,-20.52,capacity_adjustment,customer
subevent_00000193,subscription_00000063,2025-10-05 00:00:00,seat_contracted,plan_professional,plan_professional,5,4,0.0,capacity_adjustment,customer
subevent_00000194,subscription_00000063,2026-03-05 00:00:00,seat_expanded,plan_professional,plan_professional,4,5,0.0,capacity_adjustment,customer
subevent_00000195,subscription_00000063,2024-04-27 00:00:00,subscription_activated,,plan_professional,0,6,118.0,new_business,system
subevent_00000196,subscription_00000064,2025-07-29 08:00:00,trial_started,,plan_business,,96,0.0,self_service_trial,customer
subevent_00000197,subscription_00000064,2025-09-05 00:00:00,seat_expanded,plan_business,plan_business,96,120,559.87,customer_growth,customer
subevent_00000198,subscription_00000064,2025-10-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,120,120,433.73,customer_growth,customer
subevent_00000199,subscription_00000064,2025-08-22 00:00:00,subscription_activated,,plan_business,0,96,2191.1,new_business,system
subevent_00000200,subscription_00000064,2026-03-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,359.1,premium_support,customer
subevent_00000201,subscription_00000064,2025-11-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,80.1,customer_portal,customer
subevent_00000202,subscription_00000064,2026-01-11 00:00:00,add_on_added,plan_enterprise,plan_enterprise,0,1,161.1,route_optimisation,customer
subevent_00000203,subscription_00000065,2024-02-12 15:00:00,trial_started,,plan_starter,,1,0.0,self_service_trial,customer
subevent_00000204,subscription_00000065,2025-06-05 00:00:00,seat_expanded,plan_starter,plan_starter,1,2,0.0,capacity_adjustment,customer
subevent_00000205,subscription_00000065,2026-05-05 00:00:00,seat_contracted,plan_starter,plan_starter,2,1,0.0,capacity_adjustment,customer
subevent_00000206,subscription_00000065,2024-03-04 00:00:00,subscription_activated,,plan_starter,0,1,33.15,new_business,system
subevent_00000207,subscription_00000066,2025-09-05 00:00:00,plan_upgraded,plan_professional,plan_business,57,57,318.66,customer_growth,customer
subevent_00000208,subscription_00000066,2025-07-19 00:00:00,subscription_activated,,plan_professional,0,57,914.51,new_business,system
subevent_00000209,subscription_00000066,2025-12-11 00:00:00,add_on_added,plan_business,plan_business,0,1,269.1,erp_integration,customer
subevent_00000210,subscription_00000066,2026-02-11 00:00:00,add_on_added,plan_business,plan_business,0,1,80.1,customer_portal,customer
subevent_00000211,subscription_00000067,2025-01-01 08:00:00,trial_started,,plan_professional,,15,0.0,self_service_trial,customer
subevent_00000212,subscription_00000067,2025-02-02 00:00:00,subscription_activated,,plan_professional,0,15,236.98,new_business,system
subevent_00000213,subscription_00000068,2026-05-31 13:00:00,trial_started,,plan_starter,,2,0.0,self_service_trial,customer
subevent_00000214,subscription_00000068,2026-06-16 00:00:00,subscription_activated,,plan_starter,0,2,35.8,new_business,system
subevent_00000215,subscription_00000069,2026-03-05 00:00:00,seat_expanded,plan_business,plan_business,586,693,2496.1,customer_growth,customer
subevent_00000216,subscription_00000069,2026-05-05 00:00:00,seat_expanded,plan_business,plan_business,693,846,3569.18,customer_growth,customer
subevent_00000217,subscription_00000069,2025-10-16 00:00:00,subscription_activated,,plan_business,0,586,13213.17,new_business,system
subevent_00000218,subscription_00000069,2026-02-11 00:00:00,add_on_added,plan_business,plan_business,0,1,269.1,erp_integration,customer
subevent_00000219,subscription_00000070,2026-05-05 00:00:00,subscription_activated,,plan_starter,0,1,40.86,new_business,system
subevent_00000220,subscription_00000071,2026-01-26 11:00:00,trial_started,,plan_professional,,30,0.0,self_service_trial,customer
subevent_00000221,subscription_00000071,2026-02-04 00:00:00,subscription_activated,,plan_professional,0,30,619.92,new_business,system
subevent_00000222,subscription_00000072,2025-11-05 00:00:00,plan_upgraded,plan_business,plan_enterprise,81,81,255.14,customer_growth,customer
subevent_00000223,subscription_00000072,2025-05-22 00:00:00,subscription_activated,,plan_business,0,81,1841.18,new_business,system
subevent_00000224,subscription_00000073,2025-04-07 00:00:00,subscription_activated,,plan_professional,0,7,143.52,new_business,system
