payment_id,invoice_id,payment_attempt_id,captured_at,amount_local,currency_code,amount_eur,payment_status,settlement_date
payment_00000053,invoice_00000057,payattempt_00000066,2025-08-01 00:00:00,4181.68,SEK,364.5,captured,2025-08-03
payment_00000054,invoice_00000058,payattempt_00000067,2025-09-01 00:00:00,4237.44,SEK,364.5,captured,2025-09-03
payment_00000055,invoice_00000059,payattempt_00000068,2025-10-01 00:00:00,4347.51,SEK,364.5,captured,2025-10-03
payment_00000056,invoice_00000060,payattempt_00000069,2025-11-01 00:00:00,4376.18,SEK,364.5,captured,2025-11-03
payment_00000057,invoice_00000061,payattempt_00000070,2025-12-01 00:00:00,4290.96,SEK,364.5,captured,2025-12-03
payment_00000058,invoice_00000062,payattempt_00000071,2026-01-01 00:00:00,4230.06,SEK,364.5,captured,2026-01-03
payment_00000059,invoice_00000063,payattempt_00000072,2026-02-01 00:00:00,4163.81,SEK,364.5,captured,2026-02-03
payment_00000060,invoice_00000064,payattempt_00000074,2026-03-03 00:00:00,5316.6,SEK,467.1,captured,2026-03-05
payment_00000061,invoice_00000065,payattempt_00000075,2026-04-01 00:00:00,5234.49,SEK,467.1,captured,2026-04-03
payment_00000062,invoice_00000066,payattempt_00000076,2026-05-01 00:00:00,5274.21,SEK,467.1,captured,2026-05-03
payment_00000063,invoice_00000067,payattempt_00000077,2026-06-01 00:00:00,5266.19,SEK,467.1,captured,2026-06-03
payment_00000064,invoice_00000068,payattempt_00000078,2024-07-13 00:00:00,1556.09,EUR,1556.09,captured,2024-07-15
payment_00000065,invoice_00000069,payattempt_00000079,2025-07-01 00:00:00,1447.56,EUR,1447.56,captured,2025-07-03
payment_00000066,invoice_00000070,payattempt_00000080,2025-07-02 00:00:00,322842.91,CZK,13169.41,captured,2025-07-04
payment_00000067,invoice_00000071,payattempt_00000081,2024-12-27 00:00:00,262.62,CHF,271.34,captured,2024-12-29
payment_00000068,invoice_00000072,payattempt_00000082,2025-01-01 00:00:00,264.42,CHF,271.33,captured,2025-01-03
payment_00000069,invoice_00000073,payattempt_00000083,2025-02-01 00:00:00,262.72,CHF,271.34,captured,2025-02-03
payment_00000070,invoice_00000074,payattempt_00000084,2025-03-01 00:00:00,260.53,CHF,271.33,captured,2025-03-03
payment_00000071,invoice_00000075,payattempt_00000085,2025-04-01 00:00:00,283.04,CHF,293.03,captured,2025-04-03
payment_00000072,invoice_00000076,payattempt_00000086,2025-05-01 00:00:00,285.43,CHF,293.04,captured,2025-05-03
payment_00000073,invoice_00000077,payattempt_00000087,2025-06-01 00:00:00,290.39,CHF,293.04,captured,2025-06-03
payment_00000074,invoice_00000078,payattempt_00000088,2025-07-01 00:00:00,286.36,CHF,293.04,captured,2025-07-03
payment_00000075,invoice_00000079,payattempt_00000089,2025-08-01 00:00:00,287.95,CHF,293.04,captured,2025-08-03
payment_00000076,invoice_00000080,payattempt_00000090,2025-09-01 00:00:00,296.41,CHF,293.03,captured,2025-09-03
payment_00000077,invoice_00000081,payattempt_00000091,2025-10-01 00:00:00,292.24,CHF,293.04,captured,2025-10-03
payment_00000078,invoice_00000082,payattempt_00000092,2025-11-01 00:00:00,283.82,CHF,293.04,captured,2025-11-03
payment_00000079,invoice_00000083,payattempt_00000093,2025-12-01 00:00:00,287.61,CHF,293.03,captured,2025-12-03
payment_00000080,invoice_00000084,payattempt_00000094,2026-01-01 00:00:00,295.06,CHF,293.04,captured,2026-01-03
payment_00000081,invoice_00000085,payattempt_00000095,2026-02-01 00:00:00,286.78,CHF,293.04,captured,2026-02-03
payment_00000082,invoice_00000086,payattempt_00000096,2026-03-01 00:00:00,282.94,CHF,293.04,captured,2026-03-03
payment_00000083,invoice_00000087,payattempt_00000097,2026-04-01 00:00:00,279.1,CHF,293.04,captured,2026-04-03
payment_00000084,invoice_00000088,payattempt_00000098,2026-05-01 00:00:00,276.51,CHF,293.04,captured,2026-05-03
payment_00000085,invoice_00000089,payattempt_00000099,2026-06-01 00:00:00,274.21,CHF,293.04,captured,2026-06-03
payment_00000086,invoice_00000090,payattempt_00000100,2026-06-26 00:00:00,86372.29,EUR,86372.29,captured,2026-06-28
payment_00000087,invoice_00000091,payattempt_00000101,2025-11-15 00:00:00,1161.5,EUR,1161.5,captured,2025-11-17
payment_00000088,invoice_00000092,payattempt_00000102,2026-03-11 00:00:00,3501.22,EUR,3501.22,captured,2026-03-13
payment_00000089,invoice_00000093,payattempt_00000103,2024-04-24 00:00:00,1864.22,EUR,1864.22,captured,2024-04-26
payment_00000090,invoice_00000094,payattempt_00000106,2025-04-05 00:00:00,8102.74,EUR,8102.74,captured,2025-04-07
payment_00000091,invoice_00000095,payattempt_00000107,2026-04-01 00:00:00,8102.74,EUR,8102.74,captured,2026-04-03
payment_00000092,invoice_00000096,payattempt_00000108,2025-05-22 00:00:00,174.96,EUR,174.96,captured,2025-05-24
payment_00000093,invoice_00000097,payattempt_00000109,2025-06-01 00:00:00,174.96,EUR,174.96,captured,2025-06-03
payment_00000094,invoice_00000098,payattempt_00000110,2025-07-01 00:00:00,159.41,EUR,159.41,captured,2025-07-03
payment_00000095,invoice_00000099,payattempt_00000111,2025-08-01 00:00:00,159.41,EUR,159.41,captured,2025-08-03
payment_00000096,invoice_00000100,payattempt_00000112,2025-09-01 00:00:00,174.96,EUR,174.96,captured,2025-09-03
payment_00000097,invoice_00000101,payattempt_00000113,2025-10-01 00:00:00,174.96,EUR,174.96,captured,2025-10-03
payment_00000098,invoice_00000102,payattempt_00000114,2025-11-01 00:00:00,174.96,EUR,174.96,captured,2025-11-03
payment_00000099,invoice_00000103,payattempt_00000115,2025-12-01 00:00:00,174.96,EUR,174.96,captured,2025-12-03
payment_00000100,invoice_00000104,payattempt_00000116,2026-01-01 00:00:00,174.96,EUR,174.96,captured,2026-01-03
payment_00000101,invoice_00000105,payattempt_00000117,2026-02-01 00:00:00,174.96,EUR,174.96,captured,2026-02-03
payment_00000102,invoice_00000106,payattempt_00000118,2026-03-01 00:00:00,174.96,EUR,174.96,captured,2026-03-03
payment_00000103,invoice_00000107,payattempt_00000119,2026-04-01 00:00:00,174.96,EUR,174.96,captured,2026-04-03
payment_00000104,invoice_00000108,payattempt_00000120,2026-05-01 00:00:00,174.96,EUR,174.96,captured,2026-05-03
payment_00000105,invoice_00000109,payattempt_00000121,2026-06-01 00:00:00,174.96,EUR,174.96,captured,2026-06-03
payment_00000106,invoice_00000110,payattempt_00000122,2025-05-20 00:00:00,1262.45,EUR,1262.45,captured,2025-05-22
payment_00000107,invoice_00000111,payattempt_00000123,2026-05-01 00:00:00,1262.45,EUR,1262.45,captured,2026-05-03
payment_00000108,invoice_00000112,payattempt_00000124,2025-04-19 00:00:00,21430.42,EUR,21430.42,captured,2025-04-21
payment_00000109,invoice_00000113,payattempt_00000125,2026-04-01 00:00:00,45709.99,EUR,45709.99,captured,2026-04-03
payment_00000110,invoice_00000114,payattempt_00000126,2024-04-28 00:00:00,6508.8,EUR,6508.8,captured,2024-04-30
payment_00000111,invoice_00000115,payattempt_00000127,2025-04-01 00:00:00,7664.54,EUR,7664.54,captured,2025-04-03
payment_00000112,invoice_00000116,payattempt_00000128,2026-04-01 00:00:00,8672.26,EUR,8672.26,captured,2026-04-03
payment_00000113,invoice_00000117,payattempt_00000129,2025-10-28 00:00:00,250498.05,SEK,21002.01,captured,2025-10-30
payment_00000114,invoice_00000118,payattempt_00000130,2025-09-25 00:00:00,305058.1,EUR,305058.1,captured,2025-09-27
payment_00000115,invoice_00000119,payattempt_00000131,2024-08-31 00:00:00,256.43,GBP,301.2,captured,2024-09-02
payment_00000116,invoice_00000120,payattempt_00000132,2024-09-01 00:00:00,247.78,GBP,301.2,captured,2024-09-03
payment_00000117,invoice_00000121,payattempt_00000133,2024-10-01 00:00:00,250.39,GBP,301.2,captured,2024-10-03
payment_00000118,invoice_00000122,payattempt_00000135,2024-11-03 00:00:00,248.15,GBP,301.2,captured,2024-11-05
payment_00000119,invoice_00000123,payattempt_00000136,2024-12-01 00:00:00,246.26,GBP,301.21,captured,2024-12-03
payment_00000120,invoice_00000124,payattempt_00000137,2025-01-01 00:00:00,249.7,GBP,301.2,captured,2025-01-03
payment_00000121,invoice_00000125,payattempt_00000138,2025-02-01 00:00:00,252.42,GBP,301.2,captured,2025-02-03
payment_00000122,invoice_00000126,payattempt_00000139,2025-03-01 00:00:00,251.66,GBP,301.2,captured,2025-03-03
payment_00000123,invoice_00000127,payattempt_00000140,2025-04-01 00:00:00,275.95,GBP,325.3,captured,2025-04-03
payment_00000124,invoice_00000128,payattempt_00000141,2025-05-01 00:00:00,276.08,GBP,325.3,captured,2025-05-03
payment_00000125,invoice_00000129,payattempt_00000142,2025-06-01 00:00:00,278.9,GBP,325.3,captured,2025-06-03
payment_00000126,invoice_00000130,payattempt_00000143,2025-07-01 00:00:00,275.93,GBP,325.3,captured,2025-07-03
payment_00000127,invoice_00000131,payattempt_00000144,2025-08-01 00:00:00,278.8,GBP,325.29,captured,2025-08-03
payment_00000128,invoice_00000132,payattempt_00000145,2025-09-01 00:00:00,281.54,GBP,325.3,captured,2025-09-03
payment_00000129,invoice_00000133,payattempt_00000146,2025-10-01 00:00:00,286.43,GBP,325.29,captured,2025-10-03
payment_00000130,invoice_00000134,payattempt_00000147,2025-11-01 00:00:00,280.34,GBP,325.3,captured,2025-11-03
payment_00000131,invoice_00000135,payattempt_00000148,2025-12-01 00:00:00,274.42,GBP,325.29,captured,2025-12-03
payment_00000132,invoice_00000136,payattempt_00000149,2026-01-01 00:00:00,274.96,GBP,325.3,captured,2026-01-03
payment_00000133,invoice_00000137,payattempt_00000150,2026-02-01 00:00:00,274.54,GBP,325.3,captured,2026-02-03
payment_00000134,invoice_00000138,payattempt_00000151,2026-03-01 00:00:00,278.3,GBP,325.29,captured,2026-03-03
payment_00000135,invoice_00000139,payattempt_00000152,2026-04-01 00:00:00,278.57,GBP,325.3,captured,2026-04-03
payment_00000136,invoice_00000140,payattempt_00000153,2026-05-01 00:00:00,278.99,GBP,325.29,captured,2026-05-03
payment_00000137,invoice_00000142,payattempt_00000157,2024-03-07 00:00:00,764.69,EUR,764.69,captured,2024-03-09
payment_00000138,invoice_00000143,payattempt_00000158,2025-03-01 00:00:00,910.35,EUR,910.35,captured,2025-03-03
payment_00000139,invoice_00000144,payattempt_00000159,2025-12-29 00:00:00,51.39,EUR,51.39,captured,2025-12-31
payment_00000140,invoice_00000145,payattempt_00000160,2026-01-01 00:00:00,51.39,EUR,51.39,captured,2026-01-03
payment_00000141,invoice_00000146,payattempt_00000161,2026-02-01 00:00:00,51.39,EUR,51.39,captured,2026-02-03
payment_00000142,invoice_00000147,payattempt_00000163,2026-03-05 00:00:00,51.39,EUR,51.39,captured,2026-03-07
payment_00000143,invoice_00000148,payattempt_00000164,2026-04-01 00:00:00,51.39,EUR,51.39,captured,2026-04-03
payment_00000144,invoice_00000149,payattempt_00000165,2026-05-01 00:00:00,51.39,EUR,51.39,captured,2026-05-03
payment_00000145,invoice_00000150,payattempt_00000166,2026-06-01 00:00:00,51.39,EUR,51.39,captured,2026-06-03
payment_00000146,invoice_00000151,payattempt_00000167,2025-02-19 00:00:00,3557.11,EUR,3557.11,captured,2025-02-21
payment_00000147,invoice_00000152,payattempt_00000168,2026-02-01 00:00:00,4552.75,EUR,4552.75,captured,2026-02-03
payment_00000148,invoice_00000153,payattempt_00000169,2024-12-10 00:00:00,19482.75,SEK,1685.1,captured,2024-12-12
payment_00000149,invoice_00000154,payattempt_00000170,2025-12-01 00:00:00,21424.35,SEK,1819.91,captured,2025-12-03
payment_00000150,invoice_00000155,payattempt_00000171,2026-02-19 00:00:00,515.52,EUR,515.52,captured,2026-02-21
payment_00000151,invoice_00000156,payattempt_00000174,2024-11-22 00:00:00,738.63,EUR,738.63,captured,2024-11-24
payment_00000152,invoice_00000157,payattempt_00000175,2025-11-01 00:00:00,797.73,EUR,797.73,captured,2025-11-03
payment_00000153,invoice_00000158,payattempt_00000176,2026-02-10 00:00:00,377.67,EUR,377.67,captured,2026-02-12
payment_00000154,invoice_00000159,payattempt_00000177,2026-03-01 00:00:00,377.67,EUR,377.67,captured,2026-03-03
payment_00000155,invoice_00000160,payattempt_00000178,2026-04-01 00:00:00,739.46,EUR,739.46,captured,2026-04-03
payment_00000156,invoice_00000161,payattempt_00000179,2026-05-01 00:00:00,1305.74,EUR,1305.74,captured,2026-05-03
payment_00000157,invoice_00000162,payattempt_00000180,2026-06-01 00:00:00,1305.74,EUR,1305.74,captured,2026-06-03
payment_00000158,invoice_00000163,payattempt_00000181,2025-05-30 00:00:00,780410.55,SEK,67508.63,captured,2025-06-01
payment_00000159,invoice_00000164,payattempt_00000182,2026-05-01 00:00:00,1021516.65,SEK,90468.58,captured,2026-05-03
payment_00000160,invoice_00000165,payattempt_00000183,2026-05-11 00:00:00,110.04,GBP,128.3,captured,2026-05-13
payment_00000161,invoice_00000166,payattempt_00000184,2026-06-01 00:00:00,112.48,GBP,128.31,captured,2026-06-03
payment_00000162,invoice_00000167,payattempt_00000185,2026-05-25 00:00:00,17883.45,NOK,1315.11,captured,2026-05-27
payment_00000163,invoice_00000168,payattempt_00000186,2024-08-08 00:00:00,7476.9,NOK,650.24,captured,2024-08-10
payment_00000164,invoice_00000169,payattempt_00000187,2025-08-01 00:00:00,31056.15,NOK,2443.78,captured,2025-08-03
payment_00000165,invoice_00000170,payattempt_00000188,2026-05-30 00:00:00,3053.66,EUR,3053.66,captured,2026-06-01
payment_00000166,invoice_00000171,payattempt_00000189,2024-05-13 00:00:00,27710.1,NOK,2410.31,captured,2024-05-15
payment_00000167,invoice_00000172,payattempt_00000190,2025-05-01 00:00:00,33125.85,NOK,2603.13,captured,2025-05-03
payment_00000168,invoice_00000173,payattempt_00000191,2026-05-01 00:00:00,35398.5,NOK,2603.13,captured,2026-05-03
payment_00000169,invoice_00000174,payattempt_00000192,2025-05-04 00:00:00,329512.61,GBP,388247.57,captured,2025-05-06
payment_00000170,invoice_00000175,payattempt_00000193,2026-05-01 00:00:00,336848.69,GBP,392757.49,captured,2026-05-03
payment_00000171,invoice_00000176,payattempt_00000194,2024-07-27 00:00:00,56851.39,PLN,12883.95,captured,2024-07-29
payment_00000172,invoice_00000177,payattempt_00000195,2025-07-01 00:00:00,70877.22,PLN,17082.4,captured,2025-07-03
payment_00000173,invoice_00000178,payattempt_00000196,2025-01-15 00:00:00,185.64,EUR,185.64,captured,2025-01-17
payment_00000174,invoice_00000179,payattempt_00000197,2025-02-01 00:00:00,185.64,EUR,185.64,captured,2025-02-03
payment_00000175,invoice_00000180,payattempt_00000198,2025-03-01 00:00:00,481.95,EUR,481.95,captured,2025-03-03
payment_00000176,invoice_00000181,payattempt_00000199,2025-04-01 00:00:00,555.11,EUR,555.11,captured,2025-04-03
payment_00000177,invoice_00000182,payattempt_00000200,2025-05-01 00:00:00,555.11,EUR,555.11,captured,2025-05-03
payment_00000178,invoice_00000183,payattempt_00000201,2025-06-01 00:00:00,555.11,EUR,555.11,captured,2025-06-03
payment_00000179,invoice_00000184,payattempt_00000202,2025-07-01 00:00:00,555.11,EUR,555.11,captured,2025-07-03
payment_00000180,invoice_00000185,payattempt_00000203,2025-08-01 00:00:00,555.11,EUR,555.11,captured,2025-08-03
payment_00000181,invoice_00000186,payattempt_00000204,2025-09-01 00:00:00,579.53,EUR,579.53,captured,2025-09-03
payment_00000182,invoice_00000187,payattempt_00000205,2025-10-01 00:00:00,579.53,EUR,579.53,captured,2025-10-03
payment_00000183,invoice_00000188,payattempt_00000208,2025-11-07 00:00:00,579.53,EUR,579.53,captured,2025-11-09
payment_00000184,invoice_00000189,payattempt_00000209,2025-12-01 00:00:00,579.53,EUR,579.53,captured,2025-12-03
payment_00000185,invoice_00000190,payattempt_00000210,2026-01-01 00:00:00,579.53,EUR,579.53,captured,2026-01-03
payment_00000186,invoice_00000191,payattempt_00000211,2026-02-01 00:00:00,579.53,EUR,579.53,captured,2026-02-03
payment_00000187,invoice_00000192,payattempt_00000212,2026-03-01 00:00:00,579.53,EUR,579.53,captured,2026-03-03
payment_00000188,invoice_00000193,payattempt_00000213,2026-04-01 00:00:00,579.53,EUR,579.53,captured,2026-04-03
payment_00000189,invoice_00000194,payattempt_00000214,2026-05-01 00:00:00,579.53,EUR,579.53,captured,2026-05-03
payment_00000190,invoice_00000195,payattempt_00000215,2026-06-01 00:00:00,579.53,EUR,579.53,captured,2026-06-03
payment_00000191,invoice_00000196,payattempt_00000216,2024-08-18 00:00:00,1467.73,EUR,1467.73,captured,2024-08-20
payment_00000192,invoice_00000197,payattempt_00000217,2024-09-01 00:00:00,1467.73,EUR,1467.73,captured,2024-09-03
payment_00000193,invoice_00000198,payattempt_00000218,2024-10-01 00:00:00,1467.73,EUR,1467.73,captured,2024-10-03
payment_00000194,invoice_00000199,payattempt_00000219,2024-11-01 00:00:00,1859.77,EUR,1859.77,captured,2024-11-03
payment_00000195,invoice_00000200,payattempt_00000220,2024-12-01 00:00:00,1859.77,EUR,1859.77,captured,2024-12-03
payment_00000196,invoice_00000201,payattempt_00000221,2025-01-01 00:00:00,1859.77,EUR,1859.77,captured,2025-01-03
payment_00000197,invoice_00000202,payattempt_00000222,2025-02-01 00:00:00,2455.09,EUR,2455.09,captured,2025-02-03
payment_00000198,invoice_00000203,payattempt_00000223,2025-03-01 00:00:00,2455.09,EUR,2455.09,captured,2025-03-03
payment_00000199,invoice_00000204,payattempt_00000224,2025-04-01 00:00:00,2627.39,EUR,2627.39,captured,2025-04-03
payment_00000200,invoice_00000205,payattempt_00000225,2025-05-01 00:00:00,2627.39,EUR,2627.39,captured,2025-05-03
payment_00000201,invoice_00000206,payattempt_00000226,2025-06-01 00:00:00,2627.39,EUR,2627.39,captured,2025-06-03
payment_00000202,invoice_00000207,payattempt_00000227,2025-07-01 00:00:00,2627.39,EUR,2627.39,captured,2025-07-03
payment_00000203,invoice_00000208,payattempt_00000228,2025-08-01 00:00:00,2627.39,EUR,2627.39,captured,2025-08-03
payment_00000204,invoice_00000209,payattempt_00000229,2025-09-01 00:00:00,2627.39,EUR,2627.39,captured,2025-09-03
payment_00000205,invoice_00000210,payattempt_00000230,2025-10-01 00:00:00,2627.39,EUR,2627.39,captured,2025-10-03
payment_00000206,invoice_00000211,payattempt_00000231,2025-11-01 00:00:00,2627.39,EUR,2627.39,captured,2025-11-03
payment_00000207,invoice_00000212,payattempt_00000232,2025-12-01 00:00:00,2627.39,EUR,2627.39,captured,2025-12-03
payment_00000208,invoice_00000213,payattempt_00000233,2026-01-01 00:00:00,2627.39,EUR,2627.39,captured,2026-01-03
payment_00000209,invoice_00000214,payattempt_00000234,2026-02-01 00:00:00,2627.39,EUR,2627.39,captured,2026-02-03
payment_00000210,invoice_00000215,payattempt_00000235,2026-03-01 00:00:00,2627.39,EUR,2627.39,captured,2026-03-03
payment_00000211,invoice_00000216,payattempt_00000236,2026-04-01 00:00:00,2874.38,EUR,2874.38,captured,2026-04-03
payment_00000212,invoice_00000217,payattempt_00000237,2026-05-01 00:00:00,2874.38,EUR,2874.38,captured,2026-05-03
payment_00000213,invoice_00000218,payattempt_00000238,2026-06-01 00:00:00,3372.27,EUR,3372.27,captured,2026-06-03
payment_00000214,invoice_00000219,payattempt_00000239,2025-08-09 00:00:00,96.64,GBP,112.75,captured,2025-08-11
payment_00000215,invoice_00000220,payattempt_00000240,2025-09-01 00:00:00,97.58,GBP,112.75,captured,2025-09-03
payment_00000216,invoice_00000221,payattempt_00000241,2025-10-01 00:00:00,99.28,GBP,112.75,captured,2025-10-03
payment_00000217,invoice_00000222,payattempt_00000242,2025-11-01 00:00:00,97.16,GBP,112.75,captured,2025-11-03
payment_00000218,invoice_00000223,payattempt_00000243,2025-12-01 00:00:00,95.11,GBP,112.75,captured,2025-12-03
payment_00000219,invoice_00000224,payattempt_00000244,2026-01-01 00:00:00,185.58,GBP,219.56,captured,2026-01-03
payment_00000220,invoice_00000225,payattempt_00000245,2026-02-01 00:00:00,488.1,GBP,578.36,captured,2026-02-03
payment_00000221,invoice_00000226,payattempt_00000246,2026-03-01 00:00:00,627.25,GBP,733.16,captured,2026-03-03
payment_00000222,invoice_00000227,payattempt_00000247,2026-04-01 00:00:00,627.83,GBP,733.15,captured,2026-04-03
payment_00000223,invoice_00000228,payattempt_00000248,2026-05-01 00:00:00,628.79,GBP,733.15,captured,2026-05-03
payment_00000224,invoice_00000230,payattempt_00000253,2025-10-03 00:00:00,48.41,EUR,48.41,captured,2025-10-05
payment_00000225,invoice_00000231,payattempt_00000254,2025-11-01 00:00:00,48.41,EUR,48.41,captured,2025-11-03
payment_00000226,invoice_00000232,payattempt_00000255,2025-12-01 00:00:00,48.41,EUR,48.41,captured,2025-12-03
payment_00000227,invoice_00000233,payattempt_00000256,2026-01-01 00:00:00,48.41,EUR,48.41,captured,2026-01-03
payment_00000228,invoice_00000234,payattempt_00000257,2026-02-01 00:00:00,48.41,EUR,48.41,captured,2026-02-03
payment_00000229,invoice_00000235,payattempt_00000258,2026-03-01 00:00:00,48.41,EUR,48.41,captured,2026-03-03
payment_00000230,invoice_00000236,payattempt_00000259,2026-04-01 00:00:00,48.41,EUR,48.41,captured,2026-04-03
payment_00000231,invoice_00000237,payattempt_00000260,2026-05-01 00:00:00,433.19,EUR,433.19,captured,2026-05-03
payment_00000232,invoice_00000238,payattempt_00000261,2026-06-01 00:00:00,433.19,EUR,433.19,captured,2026-06-03
