plan_price_id,plan_id,country_code,currency_code,billing_frequency,effective_start,effective_end,base_price,seat_price,annual_discount_pct
pp_00000056,plan_professional,NL,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000057,plan_business,NL,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000058,plan_business,NL,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000059,plan_business,NL,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000060,plan_business,NL,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000061,plan_enterprise,NL,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000062,plan_enterprise,NL,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000063,plan_enterprise,NL,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000064,plan_enterprise,NL,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000065,plan_starter,BE,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000066,plan_starter,BE,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000067,plan_starter,BE,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000068,plan_starter,BE,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000069,plan_professional,BE,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000070,plan_professional,BE,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000071,plan_professional,BE,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000072,plan_professional,BE,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000073,plan_business,BE,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000074,plan_business,BE,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000075,plan_business,BE,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000076,plan_business,BE,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000077,plan_enterprise,BE,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000078,plan_enterprise,BE,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000079,plan_enterprise,BE,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000080,plan_enterprise,BE,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000081,plan_starter,FR,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000082,plan_starter,FR,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000083,plan_starter,FR,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000084,plan_starter,FR,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000085,plan_professional,FR,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000086,plan_professional,FR,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000087,plan_professional,FR,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000088,plan_professional,FR,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000089,plan_business,FR,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000090,plan_business,FR,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000091,plan_business,FR,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000092,plan_business,FR,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000093,plan_enterprise,FR,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000094,plan_enterprise,FR,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000095,plan_enterprise,FR,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000096,plan_enterprise,FR,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000097,plan_starter,GB,GBP,monthly,2024-01-01,2025-03-31,32.68,10.06,0.0
pp_00000098,plan_starter,GB,GBP,annual,2024-01-01,2025-03-31,32.68,10.06,0.15
pp_00000099,plan_starter,GB,GBP,monthly,2025-04-01,2026-06-30,35.73,10.99,0.0
pp_00000100,plan_starter,GB,GBP,annual,2025-04-01,2026-06-30,35.73,10.99,0.15
pp_00000101,plan_professional,GB,GBP,monthly,2024-01-01,2025-03-31,82.96,15.92,0.0
pp_00000102,plan_professional,GB,GBP,annual,2024-01-01,2025-03-31,82.96,15.92,0.18
pp_00000103,plan_professional,GB,GBP,monthly,2025-04-01,2026-06-30,90.7,17.41,0.0
pp_00000104,plan_professional,GB,GBP,annual,2025-04-01,2026-06-30,90.7,17.41,0.18
pp_00000105,plan_business,GB,GBP,monthly,2024-01-01,2025-03-31,292.46,22.63,0.0
pp_00000106,plan_business,GB,GBP,annual,2024-01-01,2025-03-31,292.46,22.63,0.2
pp_00000107,plan_business,GB,GBP,monthly,2025-04-01,2026-06-30,319.74,24.74,0.0
pp_00000108,plan_business,GB,GBP,annual,2025-04-01,2026-06-30,319.74,24.74,0.2
pp_00000109,plan_enterprise,GB,GBP,monthly,2024-01-01,2025-03-31,1257.0,28.49,0.0
pp_00000110,plan_enterprise,GB,GBP,annual,2024-01-01,2025-03-31,1257.0,28.49,0.24
pp_00000111,plan_enterprise,GB,GBP,monthly,2025-04-01,2026-06-30,1374.25,31.15,0.0
pp_00000112,plan_enterprise,GB,GBP,annual,2025-04-01,2026-06-30,1374.25,31.15,0.24
pp_00000113,plan_starter,IE,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000114,plan_starter,IE,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000115,plan_starter,IE,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000116,plan_starter,IE,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000117,plan_professional,IE,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000118,plan_professional,IE,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000119,plan_professional,IE,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000120,plan_professional,IE,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000121,plan_business,IE,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000122,plan_business,IE,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000123,plan_business,IE,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000124,plan_business,IE,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000125,plan_enterprise,IE,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000126,plan_enterprise,IE,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000127,plan_enterprise,IE,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000128,plan_enterprise,IE,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000129,plan_starter,ES,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000130,plan_starter,ES,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000131,plan_starter,ES,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000132,plan_starter,ES,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000133,plan_professional,ES,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000134,plan_professional,ES,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000135,plan_professional,ES,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000136,plan_professional,ES,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000137,plan_business,ES,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000138,plan_business,ES,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000139,plan_business,ES,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000140,plan_business,ES,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000141,plan_enterprise,ES,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000142,plan_enterprise,ES,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000143,plan_enterprise,ES,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000144,plan_enterprise,ES,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000145,plan_starter,IT,EUR,monthly,2024-01-01,2025-03-31,39.0,12.0,0.0
pp_00000146,plan_starter,IT,EUR,annual,2024-01-01,2025-03-31,39.0,12.0,0.15
pp_00000147,plan_starter,IT,EUR,monthly,2025-04-01,2026-06-30,42.12,12.96,0.0
pp_00000148,plan_starter,IT,EUR,annual,2025-04-01,2026-06-30,42.12,12.96,0.15
pp_00000149,plan_professional,IT,EUR,monthly,2024-01-01,2025-03-31,99.0,19.0,0.0
pp_00000150,plan_professional,IT,EUR,annual,2024-01-01,2025-03-31,99.0,19.0,0.18
pp_00000151,plan_professional,IT,EUR,monthly,2025-04-01,2026-06-30,106.92,20.52,0.0
pp_00000152,plan_professional,IT,EUR,annual,2025-04-01,2026-06-30,106.92,20.52,0.18
pp_00000153,plan_business,IT,EUR,monthly,2024-01-01,2025-03-31,349.0,27.0,0.0
pp_00000154,plan_business,IT,EUR,annual,2024-01-01,2025-03-31,349.0,27.0,0.2
pp_00000155,plan_business,IT,EUR,monthly,2025-04-01,2026-06-30,376.92,29.16,0.0
pp_00000156,plan_business,IT,EUR,annual,2025-04-01,2026-06-30,376.92,29.16,0.2
pp_00000157,plan_enterprise,IT,EUR,monthly,2024-01-01,2025-03-31,1500.0,34.0,0.0
pp_00000158,plan_enterprise,IT,EUR,annual,2024-01-01,2025-03-31,1500.0,34.0,0.24
pp_00000159,plan_enterprise,IT,EUR,monthly,2025-04-01,2026-06-30,1620.0,36.72,0.0
pp_00000160,plan_enterprise,IT,EUR,annual,2025-04-01,2026-06-30,1620.0,36.72,0.24
pp_00000161,plan_starter,SE,SEK,monthly,2024-01-01,2025-03-31,456.13,140.35,0.0
pp_00000162,plan_starter,SE,SEK,annual,2024-01-01,2025-03-31,456.13,140.35,0.15
pp_00000163,plan_starter,SE,SEK,monthly,2025-04-01,2026-06-30,490.33,150.87,0.0
pp_00000164,plan_starter,SE,SEK,annual,2025-04-01,2026-06-30,490.33,150.87,0.15
pp_00000165,plan_professional,SE,SEK,monthly,2024-01-01,2025-03-31,1157.87,222.22,0.0
pp_00000166,plan_professional,SE,SEK,annual,2024-01-01,2025-03-31,1157.87,222.22,0.18
pp_00000167,plan_professional,SE,SEK,monthly,2025-04-01,2026-06-30,1244.67,238.88,0.0
pp_00000168,plan_professional,SE,SEK,annual,2025-04-01,2026-06-30,1244.67,238.88,0.18
pp_00000169,plan_business,SE,SEK,monthly,2024-01-01,2025-03-31,4081.78,315.78,0.0
pp_00000170,plan_business,SE,SEK,annual,2024-01-01,2025-03-31,4081.78,315.78,0.2
pp_00000171,plan_business,SE,SEK,monthly,2025-04-01,2026-06-30,4387.79,339.46,0.0
pp_00000172,plan_business,SE,SEK,annual,2025-04-01,2026-06-30,4387.79,339.46,0.2
pp_00000173,plan_enterprise,SE,SEK,monthly,2024-01-01,2025-03-31,17543.45,397.65,0.0
pp_00000174,plan_enterprise,SE,SEK,annual,2024-01-01,2025-03-31,17543.45,397.65,0.24
pp_00000175,plan_enterprise,SE,SEK,monthly,2025-04-01,2026-06-30,18858.7,427.46,0.0
pp_00000176,plan_enterprise,SE,SEK,annual,2025-04-01,2026-06-30,18858.7,427.46,0.24
pp_00000177,plan_starter,DK,DKK,monthly,2024-01-01,2025-03-31,289.59,89.11,0.0
pp_00000178,plan_starter,DK,DKK,annual,2024-01-01,2025-03-31,289.59,89.11,0.15
pp_00000179,plan_starter,DK,DKK,monthly,2025-04-01,2026-06-30,273.33,84.1,0.0
pp_00000180,plan_starter,DK,DKK,annual,2025-04-01,2026-06-30,273.33,84.1,0.15
pp_00000181,plan_professional,DK,DKK,monthly,2024-01-01,2025-03-31,735.12,141.08,0.0
pp_00000182,plan_professional,DK,DKK,annual,2024-01-01,2025-03-31,735.12,141.08,0.18
pp_00000183,plan_professional,DK,DKK,monthly,2025-04-01,2026-06-30,693.84,133.16,0.0
pp_00000184,plan_professional,DK,DKK,annual,2025-04-01,2026-06-30,693.84,133.16,0.18
pp_00000185,plan_business,DK,DKK,monthly,2024-01-01,2025-03-31,2591.48,200.49,0.0
pp_00000186,plan_business,DK,DKK,annual,2024-01-01,2025-03-31,2591.48,200.49,0.2
pp_00000187,plan_business,DK,DKK,monthly,2025-04-01,2026-06-30,2445.94,189.23,0.0
pp_00000188,plan_business,DK,DKK,annual,2025-04-01,2026-06-30,2445.94,189.23,0.2
pp_00000189,plan_enterprise,DK,DKK,monthly,2024-01-01,2025-03-31,11138.17,252.47,0.0
pp_00000190,plan_enterprise,DK,DKK,annual,2024-01-01,2025-03-31,11138.17,252.47,0.24
pp_00000191,plan_enterprise,DK,DKK,monthly,2025-04-01,2026-06-30,10512.65,238.29,0.0
pp_00000192,plan_enterprise,DK,DKK,annual,2025-04-01,2026-06-30,10512.65,238.29,0.24
pp_00000193,plan_starter,NO,NOK,monthly,2024-01-01,2025-03-31,465.91,143.36,0.0
pp_00000194,plan_starter,NO,NOK,annual,2024-01-01,2025-03-31,465.91,143.36,0.15
pp_00000195,plan_starter,NO,NOK,monthly,2025-04-01,2026-06-30,528.97,162.76,0.0
pp_00000196,plan_starter,NO,NOK,annual,2025-04-01,2026-06-30,528.97,162.76,0.15
pp_00000197,plan_professional,NO,NOK,monthly,2024-01-01,2025-03-31,1182.7,226.98,0.0
pp_00000198,plan_professional,NO,NOK,annual,2024-01-01,2025-03-31,1182.7,226.98,0.18
pp_00000199,plan_professional,NO,NOK,monthly,2025-04-01,2026-06-30,1342.76,257.7,0.0
pp_00000200,plan_professional,NO,NOK,annual,2025-04-01,2026-06-30,1342.76,257.7,0.18
pp_00000201,plan_business,NO,NOK,monthly,2024-01-01,2025-03-31,4169.3,322.55,0.0
pp_00000202,plan_business,NO,NOK,annual,2024-01-01,2025-03-31,4169.3,322.55,0.2
pp_00000203,plan_business,NO,NOK,monthly,2025-04-01,2026-06-30,4733.57,366.21,0.0
pp_00000204,plan_business,NO,NOK,annual,2025-04-01,2026-06-30,4733.57,366.21,0.2
pp_00000205,plan_enterprise,NO,NOK,monthly,2024-01-01,2025-03-31,17919.65,406.18,0.0
pp_00000206,plan_enterprise,NO,NOK,annual,2024-01-01,2025-03-31,17919.65,406.18,0.24
pp_00000207,plan_enterprise,NO,NOK,monthly,2025-04-01,2026-06-30,20344.86,461.15,0.0
pp_00000208,plan_enterprise,NO,NOK,annual,2025-04-01,2026-06-30,20344.86,461.15,0.24
pp_00000209,plan_starter,PL,PLN,monthly,2024-01-01,2025-03-31,169.68,52.21,0.0
pp_00000210,plan_starter,PL,PLN,annual,2024-01-01,2025-03-31,169.68,52.21,0.15
pp_00000211,plan_starter,PL,PLN,monthly,2025-04-01,2026-06-30,179.36,55.19,0.0
pp_00000212,plan_starter,PL,PLN,annual,2025-04-01,2026-06-30,179.36,55.19,0.15
pp_00000213,plan_professional,PL,PLN,monthly,2024-01-01,2025-03-31,430.72,82.66,0.0
pp_00000214,plan_professional,PL,PLN,annual,2024-01-01,2025-03-31,430.72,82.66,0.18
pp_00000215,plan_professional,PL,PLN,monthly,2025-04-01,2026-06-30,455.3,87.38,0.0
pp_00000216,plan_professional,PL,PLN,annual,2025-04-01,2026-06-30,455.3,87.38,0.18
pp_00000217,plan_business,PL,PLN,monthly,2024-01-01,2025-03-31,1518.38,117.47,0.0
pp_00000218,plan_business,PL,PLN,annual,2024-01-01,2025-03-31,1518.38,117.47,0.2
pp_00000219,plan_business,PL,PLN,monthly,2025-04-01,2026-06-30,1605.06,124.17,0.0
pp_00000220,plan_business,PL,PLN,annual,2025-04-01,2026-06-30,1605.06,124.17,0.2
pp_00000221,plan_enterprise,PL,PLN,monthly,2024-01-01,2025-03-31,6526.0,147.92,0.0
pp_00000222,plan_enterprise,PL,PLN,annual,2024-01-01,2025-03-31,6526.0,147.92,0.24
pp_00000223,plan_enterprise,PL,PLN,monthly,2025-04-01,2026-06-30,6898.55,156.37,0.0
pp_00000224,plan_enterprise,PL,PLN,annual,2025-04-01,2026-06-30,6898.55,156.37,0.24
pp_00000225,plan_starter,CZ,CZK,monthly,2024-01-01,2025-03-31,979.85,301.49,0.0
pp_00000226,plan_starter,CZ,CZK,annual,2024-01-01,2025-03-31,979.85,301.49,0.15
pp_00000227,plan_starter,CZ,CZK,monthly,2025-04-01,2026-06-30,1013.62,311.88,0.0
pp_00000228,plan_starter,CZ,CZK,annual,2025-04-01,2026-06-30,1013.62,311.88,0.15
pp_00000229,plan_professional,CZ,CZK,monthly,2024-01-01,2025-03-31,2487.31,477.36,0.0
pp_00000230,plan_professional,CZ,CZK,annual,2024-01-01,2025-03-31,2487.31,477.36,0.18
pp_00000231,plan_professional,CZ,CZK,monthly,2025-04-01,2026-06-30,2573.04,493.82,0.0
pp_00000232,plan_professional,CZ,CZK,annual,2025-04-01,2026-06-30,2573.04,493.82,0.18
pp_00000233,plan_business,CZ,CZK,monthly,2024-01-01,2025-03-31,8768.4,678.36,0.0
pp_00000234,plan_business,CZ,CZK,annual,2024-01-01,2025-03-31,8768.4,678.36,0.2
pp_00000235,plan_business,CZ,CZK,monthly,2025-04-01,2026-06-30,9070.61,701.74,0.0
pp_00000236,plan_business,CZ,CZK,annual,2025-04-01,2026-06-30,9070.61,701.74,0.2
pp_00000237,plan_enterprise,CZ,CZK,monthly,2024-01-01,2025-03-31,37686.55,854.23,0.0
pp_00000238,plan_enterprise,CZ,CZK,annual,2024-01-01,2025-03-31,37686.55,854.23,0.24
pp_00000239,plan_enterprise,CZ,CZK,monthly,2025-04-01,2026-06-30,38985.42,883.67,0.0
pp_00000240,plan_enterprise,CZ,CZK,annual,2025-04-01,2026-06-30,38985.42,883.67,0.24
