check_id,table_name,check_type,severity,passed,failure_count,details
plan_prices.plan_price_id.type,plan_prices,type,error,True,0,Column plan_price_id conforms to logical type string.
plan_prices.plan_id.type,plan_prices,type,error,True,0,Column plan_id conforms to logical type string.
plan_prices.country_code.type,plan_prices,type,error,True,0,Column country_code conforms to logical type string.
plan_prices.currency_code.type,plan_prices,type,error,True,0,Column currency_code conforms to logical type string.
plan_prices.billing_frequency.type,plan_prices,type,error,True,0,Column billing_frequency conforms to logical type string.
plan_prices.effective_start.type,plan_prices,type,error,True,0,Column effective_start conforms to logical type date.
plan_prices.effective_end.type,plan_prices,type,error,True,0,Column effective_end conforms to logical type date.
plan_prices.base_price.type,plan_prices,type,error,True,0,Column base_price conforms to logical type decimal.
plan_prices.seat_price.type,plan_prices,type,error,True,0,Column seat_price conforms to logical type decimal.
plan_prices.annual_discount_pct.type,plan_prices,type,error,True,0,Column annual_discount_pct conforms to logical type decimal.
plan_prices.pk_not_null,plan_prices,primary_key,error,True,0,Primary key ['plan_price_id'] is not null.
plan_prices.pk_unique,plan_prices,primary_key,error,True,0,Primary key ['plan_price_id'] is unique.
add_ons.columns,add_ons,schema,error,True,0,Missing columns: []; unexpected columns: []
add_ons.add_on_id.type,add_ons,type,error,True,0,Column add_on_id conforms to logical type string.
add_ons.add_on_name.type,add_ons,type,error,True,0,Column add_on_name conforms to logical type string.
add_ons.monthly_price_eur.type,add_ons,type,error,True,0,Column monthly_price_eur conforms to logical type decimal.
add_ons.category.type,add_ons,type,error,True,0,Column category conforms to logical type string.
add_ons.active_flag.type,add_ons,type,error,True,0,Column active_flag conforms to logical type boolean.
add_ons.pk_not_null,add_ons,primary_key,error,True,0,Primary key ['add_on_id'] is not null.
add_ons.pk_unique,add_ons,primary_key,error,True,0,Primary key ['add_on_id'] is unique.
accounts.columns,accounts,schema,error,True,0,Missing columns: []; unexpected columns: []
accounts.account_id.type,accounts,type,error,True,0,Column account_id conforms to logical type string.
accounts.account_name.type,accounts,type,error,True,0,Column account_name conforms to logical type string.
accounts.created_at.type,accounts,type,error,True,0,Column created_at conforms to logical type timestamp.
accounts.country_code.type,accounts,type,error,True,0,Column country_code conforms to logical type string.
accounts.region_id.type,accounts,type,error,True,0,Column region_id conforms to logical type string.
accounts.industry.type,accounts,type,error,True,0,Column industry conforms to logical type string.
accounts.segment.type,accounts,type,error,True,0,Column segment conforms to logical type string.
accounts.employee_band.type,accounts,type,error,True,0,Column employee_band conforms to logical type string.
accounts.acquisition_channel.type,accounts,type,error,True,0,Column acquisition_channel conforms to logical type string.
accounts.sales_motion.type,accounts,type,error,True,0,Column sales_motion conforms to logical type string.
accounts.partner_id.type,accounts,type,error,True,0,Column partner_id conforms to logical type string.
accounts.account_status.type,accounts,type,error,True,0,Column account_status conforms to logical type string.
accounts.legal_currency.type,accounts,type,error,True,0,Column legal_currency conforms to logical type string.
accounts.tax_id_present.type,accounts,type,error,True,0,Column tax_id_present conforms to logical type boolean.
accounts.pk_not_null,accounts,primary_key,error,True,0,Primary key ['account_id'] is not null.
accounts.pk_unique,accounts,primary_key,error,True,0,Primary key ['account_id'] is unique.
partners.columns,partners,schema,error,True,0,Missing columns: []; unexpected columns: []
partners.partner_id.type,partners,type,error,True,0,Column partner_id conforms to logical type string.
partners.partner_name.type,partners,type,error,True,0,Column partner_name conforms to logical type string.
partners.partner_type.type,partners,type,error,True,0,Column partner_type conforms to logical type string.
partners.country_code.type,partners,type,error,True,0,Column country_code conforms to logical type string.
partners.active_from.type,partners,type,error,True,0,Column active_from conforms to logical type date.
partners.active_flag.type,partners,type,error,True,0,Column active_flag conforms to logical type boolean.
partners.pk_not_null,partners,primary_key,error,True,0,Primary key ['partner_id'] is not null.
partners.pk_unique,partners,primary_key,error,True,0,Primary key ['partner_id'] is unique.
leads.columns,leads,schema,error,True,0,Missing columns: []; unexpected columns: []
leads.lead_id.type,leads,type,error,True,0,Column lead_id conforms to logical type string.
leads.account_id.type,leads,type,error,True,0,Column account_id conforms to logical type string.
leads.created_at.type,leads,type,error,True,0,Column created_at conforms to logical type timestamp.
leads.source_channel.type,leads,type,error,True,0,Column source_channel conforms to logical type string.
leads.lead_status.type,leads,type,error,True,0,Column lead_status conforms to logical type string.
leads.mql_at.type,leads,type,error,True,0,Column mql_at conforms to logical type timestamp.
leads.sql_at.type,leads,type,error,True,0,Column sql_at conforms to logical type timestamp.
leads.lead_score.type,leads,type,error,True,0,Column lead_score conforms to logical type integer.
leads.campaign_id.type,leads,type,error,True,0,Column campaign_id conforms to logical type string.
leads.pk_not_null,leads,primary_key,error,True,0,Primary key ['lead_id'] is not null.
leads.pk_unique,leads,primary_key,error,True,0,Primary key ['lead_id'] is unique.
marketing_campaigns.columns,marketing_campaigns,schema,error,True,0,Missing columns: []; unexpected columns: []
marketing_campaigns.campaign_id.type,marketing_campaigns,type,error,True,0,Column campaign_id conforms to logical type string.
marketing_campaigns.campaign_name.type,marketing_campaigns,type,error,True,0,Column campaign_name conforms to logical type string.
marketing_campaigns.channel.type,marketing_campaigns,type,error,True,0,Column channel conforms to logical type string.
marketing_campaigns.country_code.type,marketing_campaigns,type,error,True,0,Column country_code conforms to logical type string.
marketing_campaigns.start_date.type,marketing_campaigns,type,error,True,0,Column start_date conforms to logical type date.
marketing_campaigns.end_date.type,marketing_campaigns,type,error,True,0,Column end_date conforms to logical type date.
marketing_campaigns.spend_local.type,marketing_campaigns,type,error,True,0,Column spend_local conforms to logical type decimal.
marketing_campaigns.currency_code.type,marketing_campaigns,type,error,True,0,Column currency_code conforms to logical type string.
marketing_campaigns.spend_eur.type,marketing_campaigns,type,error,True,0,Column spend_eur conforms to logical type decimal.
marketing_campaigns.pk_not_null,marketing_campaigns,primary_key,error,True,0,Primary key ['campaign_id'] is not null.
marketing_campaigns.pk_unique,marketing_campaigns,primary_key,error,True,0,Primary key ['campaign_id'] is unique.
opportunities.columns,opportunities,schema,error,True,0,Missing columns: []; unexpected columns: []
opportunities.opportunity_id.type,opportunities,type,error,True,0,Column opportunity_id conforms to logical type string.
opportunities.account_id.type,opportunities,type,error,True,0,Column account_id conforms to logical type string.
opportunities.created_at.type,opportunities,type,error,True,0,Column created_at conforms to logical type timestamp.
opportunities.close_date.type,opportunities,type,error,True,0,Column close_date conforms to logical type date.
opportunities.stage.type,opportunities,type,error,True,0,Column stage conforms to logical type string.
opportunities.status.type,opportunities,type,error,True,0,Column status conforms to logical type string.
opportunities.owner_team.type,opportunities,type,error,True,0,Column owner_team conforms to logical type string.
opportunities.expected_arr_eur.type,opportunities,type,error,True,0,Column expected_arr_eur conforms to logical type decimal.
opportunities.probability.type,opportunities,type,error,True,0,Column probability conforms to logical type decimal.
opportunities.loss_reason.type,opportunities,type,error,True,0,Column loss_reason conforms to logical type string.
opportunities.pk_not_null,opportunities,primary_key,error,True,0,Primary key ['opportunity_id'] is not null.
opportunities.pk_unique,opportunities,primary_key,error,True,0,Primary key ['opportunity_id'] is unique.
opportunity_stage_history.columns,opportunity_stage_history,schema,error,True,0,Missing columns: []; unexpected columns: []
opportunity_stage_history.stage_event_id.type,opportunity_stage_history,type,error,True,0,Column stage_event_id conforms to logical type string.
opportunity_stage_history.opportunity_id.type,opportunity_stage_history,type,error,True,0,Column opportunity_id conforms to logical type string.
opportunity_stage_history.stage_name.type,opportunity_stage_history,type,error,True,0,Column stage_name conforms to logical type string.
opportunity_stage_history.entered_at.type,opportunity_stage_history,type,error,True,0,Column entered_at conforms to logical type timestamp.
opportunity_stage_history.exited_at.type,opportunity_stage_history,type,error,True,0,Column exited_at conforms to logical type timestamp.
opportunity_stage_history.stage_sequence.type,opportunity_stage_history,type,error,True,0,Column stage_sequence conforms to logical type integer.
opportunity_stage_history.pk_not_null,opportunity_stage_history,primary_key,error,True,0,Primary key ['stage_event_id'] is not null.
opportunity_stage_history.pk_unique,opportunity_stage_history,primary_key,error,True,0,Primary key ['stage_event_id'] is unique.
workspaces.columns,workspaces,schema,error,True,0,Missing columns: []; unexpected columns: []
workspaces.workspace_id.type,workspaces,type,error,True,0,Column workspace_id conforms to logical type string.
workspaces.account_id.type,workspaces,type,error,True,0,Column account_id conforms to logical type string.
workspaces.workspace_name.type,workspaces,type,error,True,0,Column workspace_name conforms to logical type string.
workspaces.created_at.type,workspaces,type,error,True,0,Column created_at conforms to logical type timestamp.
workspaces.country_code.type,workspaces,type,error,True,0,Column country_code conforms to logical type string.
workspaces.active_flag.type,workspaces,type,error,True,0,Column active_flag conforms to logical type boolean.
workspaces.pk_not_null,workspaces,primary_key,error,True,0,Primary key ['workspace_id'] is not null.
workspaces.pk_unique,workspaces,primary_key,error,True,0,Primary key ['workspace_id'] is unique.
users.columns,users,schema,error,True,0,Missing columns: []; unexpected columns: []
users.user_id.type,users,type,error,True,0,Column user_id conforms to logical type string.
users.account_id.type,users,type,error,True,0,Column account_id conforms to logical type string.
users.workspace_id.type,users,type,error,True,0,Column workspace_id conforms to logical type string.
users.created_at.type,users,type,error,True,0,Column created_at conforms to logical type timestamp.
users.role_name.type,users,type,error,True,0,Column role_name conforms to logical type string.
users.user_status.type,users,type,error,True,0,Column user_status conforms to logical type string.
users.invited_at.type,users,type,error,True,0,Column invited_at conforms to logical type timestamp.
users.activated_at.type,users,type,error,True,0,Column activated_at conforms to logical type timestamp.
users.deactivated_at.type,users,type,error,True,0,Column deactivated_at conforms to logical type timestamp.
users.mobile_user_flag.type,users,type,error,True,0,Column mobile_user_flag conforms to logical type boolean.
users.pk_not_null,users,primary_key,error,True,0,Primary key ['user_id'] is not null.
users.pk_unique,users,primary_key,error,True,0,Primary key ['user_id'] is unique.
contracts.columns,contracts,schema,error,True,0,Missing columns: []; unexpected columns: []
contracts.contract_id.type,contracts,type,error,True,0,Column contract_id conforms to logical type string.
contracts.account_id.type,contracts,type,error,True,0,Column account_id conforms to logical type string.
contracts.contract_number.type,contracts,type,error,True,0,Column contract_number conforms to logical type string.
contracts.signed_date.type,contracts,type,error,True,0,Column signed_date conforms to logical type date.
contracts.start_date.type,contracts,type,error,True,0,Column start_date conforms to logical type date.
contracts.end_date.type,contracts,type,error,True,0,Column end_date conforms to logical type date.
contracts.auto_renew_flag.type,contracts,type,error,True,0,Column auto_renew_flag conforms to logical type boolean.
contracts.contract_term_months.type,contracts,type,error,True,0,Column contract_term_months conforms to logical type integer.
contracts.billing_frequency.type,contracts,type,error,True,0,Column billing_frequency conforms to logical type string.
contracts.currency_code.type,contracts,type,error,True,0,Column currency_code conforms to logical type string.
contracts.discount_pct.type,contracts,type,error,True,0,Column discount_pct conforms to logical type decimal.
contracts.contract_status.type,contracts,type,error,True,0,Column contract_status conforms to logical type string.
contracts.sales_motion.type,contracts,type,error,True,0,Column sales_motion conforms to logical type string.
contracts.pk_not_null,contracts,primary_key,error,True,0,Primary key ['contract_id'] is not null.
contracts.pk_unique,contracts,primary_key,error,True,0,Primary key ['contract_id'] is unique.
subscriptions.columns,subscriptions,schema,error,True,0,Missing columns: []; unexpected columns: []
subscriptions.subscription_id.type,subscriptions,type,error,True,0,Column subscription_id conforms to logical type string.
subscriptions.account_id.type,subscriptions,type,error,True,0,Column account_id conforms to logical type string.
subscriptions.contract_id.type,subscriptions,type,error,True,0,Column contract_id conforms to logical type string.
subscriptions.plan_id.type,subscriptions,type,error,True,0,Column plan_id conforms to logical type string.
subscriptions.trial_start_date.type,subscriptions,type,error,True,0,Column trial_start_date conforms to logical type date.
subscriptions.trial_end_date.type,subscriptions,type,error,True,0,Column trial_end_date conforms to logical type date.
subscriptions.subscription_start_date.type,subscriptions,type,error,True,0,Column subscription_start_date conforms to logical type date.
subscriptions.current_status.type,subscriptions,type,error,True,0,Column current_status conforms to logical type string.
subscriptions.cancel_requested_date.type,subscriptions,type,error,True,0,Column cancel_requested_date conforms to logical type date.
subscriptions.ended_date.type,subscriptions,type,error,True,0,Column ended_date conforms to logical type date.
subscriptions.churn_type.type,subscriptions,type,error,True,0,Column churn_type conforms to logical type string.
subscriptions.billing_frequency.type,subscriptions,type,error,True,0,Column billing_frequency conforms to logical type string.
subscriptions.currency_code.type,subscriptions,type,error,True,0,Column currency_code conforms to logical type string.
subscriptions.pk_not_null,subscriptions,primary_key,error,True,0,Primary key ['subscription_id'] is not null.
subscriptions.pk_unique,subscriptions,primary_key,error,True,0,Primary key ['subscription_id'] is unique.
subscription_items.columns,subscription_items,schema,error,True,0,Missing columns: []; unexpected columns: []
subscription_items.subscription_item_id.type,subscription_items,type,error,True,0,Column subscription_item_id conforms to logical type string.
subscription_items.subscription_id.type,subscription_items,type,error,True,0,Column subscription_id conforms to logical type string.
subscription_items.item_type.type,subscription_items,type,error,True,0,Column item_type conforms to logical type string.
subscription_items.plan_id.type,subscription_items,type,error,True,0,Column plan_id conforms to logical type string.
subscription_items.add_on_id.type,subscription_items,type,error,True,0,Column add_on_id conforms to logical type string.
subscription_items.quantity.type,subscription_items,type,error,True,0,Column quantity conforms to logical type integer.
subscription_items.unit_price_local.type,subscription_items,type,error,True,0,Column unit_price_local conforms to logical type decimal.
subscription_items.discount_pct.type,subscription_items,type,error,True,0,Column discount_pct conforms to logical type decimal.
subscription_items.effective_start.type,subscription_items,type,error,True,0,Column effective_start conforms to logical type date.
subscription_items.effective_end.type,subscription_items,type,error,True,0,Column effective_end conforms to logical type date.
subscription_items.mrr_local.type,subscription_items,type,error,True,0,Column mrr_local conforms to logical type decimal.
subscription_items.mrr_eur.type,subscription_items,type,error,True,0,Column mrr_eur conforms to logical type decimal.
subscription_items.pk_not_null,subscription_items,primary_key,error,True,0,Primary key ['subscription_item_id'] is not null.
subscription_items.pk_unique,subscription_items,primary_key,error,True,0,Primary key ['subscription_item_id'] is unique.
subscription_events.columns,subscription_events,schema,error,True,0,Missing columns: []; unexpected columns: []
subscription_events.subscription_event_id.type,subscription_events,type,error,True,0,Column subscription_event_id conforms to logical type string.
subscription_events.subscription_id.type,subscription_events,type,error,True,0,Column subscription_id conforms to logical type string.
subscription_events.event_at.type,subscription_events,type,error,True,0,Column event_at conforms to logical type timestamp.
subscription_events.event_type.type,subscription_events,type,error,True,0,Column event_type conforms to logical type string.
subscription_events.previous_plan_id.type,subscription_events,type,error,True,0,Column previous_plan_id conforms to logical type string.
subscription_events.new_plan_id.type,subscription_events,type,error,True,0,Column new_plan_id conforms to logical type string.
subscription_events.previous_quantity.type,subscription_events,type,error,True,0,Column previous_quantity conforms to logical type integer.
subscription_events.new_quantity.type,subscription_events,type,error,True,0,Column new_quantity conforms to logical type integer.
subscription_events.mrr_change_eur.type,subscription_events,type,error,True,0,Column mrr_change_eur conforms to logical type decimal.
subscription_events.event_reason.type,subscription_events,type,error,True,0,Column event_reason conforms to logical type string.
subscription_events.initiated_by.type,subscription_events,type,error,True,0,Column initiated_by conforms to logical type string.
subscription_events.pk_not_null,subscription_events,primary_key,error,True,0,Primary key ['subscription_event_id'] is not null.
subscription_events.pk_unique,subscription_events,primary_key,error,True,0,Primary key ['subscription_event_id'] is unique.
renewals.columns,renewals,schema,error,True,0,Missing columns: []; unexpected columns: []
renewals.renewal_id.type,renewals,type,error,True,0,Column renewal_id conforms to logical type string.
renewals.subscription_id.type,renewals,type,error,True,0,Column subscription_id conforms to logical type string.
renewals.renewal_due_date.type,renewals,type,error,True,0,Column renewal_due_date conforms to logical type date.
renewals.decision_date.type,renewals,type,error,True,0,Column decision_date conforms to logical type date.
renewals.renewal_status.type,renewals,type,error,True,0,Column renewal_status conforms to logical type string.
renewals.renewal_arr_eur.type,renewals,type,error,True,0,Column renewal_arr_eur conforms to logical type decimal.
renewals.renewal_probability.type,renewals,type,error,True,0,Column renewal_probability conforms to logical type decimal.
renewals.risk_reason.type,renewals,type,error,True,0,Column risk_reason conforms to logical type string.
renewals.pk_not_null,renewals,primary_key,error,True,0,Primary key ['renewal_id'] is not null.
renewals.pk_unique,renewals,primary_key,error,True,0,Primary key ['renewal_id'] is unique.
invoices.columns,invoices,schema,error,True,0,Missing columns: []; unexpected columns: []
invoices.invoice_id.type,invoices,type,error,True,0,Column invoice_id conforms to logical type string.
invoices.account_id.type,invoices,type,error,True,0,Column account_id conforms to logical type string.
invoices.subscription_id.type,invoices,type,error,True,0,Column subscription_id conforms to logical type string.
invoices.invoice_number.type,invoices,type,error,True,0,Column invoice_number conforms to logical type string.
invoices.invoice_date.type,invoices,type,error,True,0,Column invoice_date conforms to logical type date.
invoices.due_date.type,invoices,type,error,True,0,Column due_date conforms to logical type date.
invoices.service_period_start.type,invoices,type,error,True,0,Column service_period_start conforms to logical type date.
invoices.service_period_end.type,invoices,type,error,True,0,Column service_period_end conforms to logical type date.
invoices.currency_code.type,invoices,type,error,True,0,Column currency_code conforms to logical type string.
invoices.subtotal_local.type,invoices,type,error,True,0,Column subtotal_local conforms to logical type decimal.
invoices.tax_local.type,invoices,type,error,True,0,Column tax_local conforms to logical type decimal.
invoices.total_local.type,invoices,type,error,True,0,Column total_local conforms to logical type decimal.
invoices.total_eur.type,invoices,type,error,True,0,Column total_eur conforms to logical type decimal.
invoices.invoice_status.type,invoices,type,error,True,0,Column invoice_status conforms to logical type string.
invoices.paid_date.type,invoices,type,error,True,0,Column paid_date conforms to logical type date.
invoices.pk_not_null,invoices,primary_key,error,True,0,Primary key ['invoice_id'] is not null.
invoices.pk_unique,invoices,primary_key,error,True,0,Primary key ['invoice_id'] is unique.
invoice_lines.columns,invoice_lines,schema,error,True,0,Missing columns: []; unexpected columns: []
invoice_lines.invoice_line_id.type,invoice_lines,type,error,True,0,Column invoice_line_id conforms to logical type string.
invoice_lines.invoice_id.type,invoice_lines,type,error,True,0,Column invoice_id conforms to logical type string.
invoice_lines.line_type.type,invoice_lines,type,error,True,0,Column line_type conforms to logical type string.
invoice_lines.description.type,invoice_lines,type,error,True,0,Column description conforms to logical type string.
invoice_lines.quantity.type,invoice_lines,type,error,True,0,Column quantity conforms to logical type decimal.
invoice_lines.unit_price_local.type,invoice_lines,type,error,True,0,Column unit_price_local conforms to logical type decimal.
invoice_lines.discount_local.type,invoice_lines,type,error,True,0,Column discount_local conforms to logical type decimal.
invoice_lines.line_total_local.type,invoice_lines,type,error,True,0,Column line_total_local conforms to logical type decimal.
invoice_lines.service_period_start.type,invoice_lines,type,error,True,0,Column service_period_start conforms to logical type date.
invoice_lines.service_period_end.type,invoice_lines,type,error,True,0,Column service_period_end conforms to logical type date.
invoice_lines.subscription_item_id.type,invoice_lines,type,error,True,0,Column subscription_item_id conforms to logical type string.
invoice_lines.pk_not_null,invoice_lines,primary_key,error,True,0,Primary key ['invoice_line_id'] is not null.
invoice_lines.pk_unique,invoice_lines,primary_key,error,True,0,Primary key ['invoice_line_id'] is unique.
payment_methods.columns,payment_methods,schema,error,True,0,Missing columns: []; unexpected columns: []
payment_methods.payment_method_id.type,payment_methods,type,error,True,0,Column payment_method_id conforms to logical type string.
payment_methods.account_id.type,payment_methods,type,error,True,0,Column account_id conforms to logical type string.
payment_methods.method_type.type,payment_methods,type,error,True,0,Column method_type conforms to logical type string.
payment_methods.provider.type,payment_methods,type,error,True,0,Column provider conforms to logical type string.
payment_methods.created_at.type,payment_methods,type,error,True,0,Column created_at conforms to logical type timestamp.
payment_methods.expiry_month.type,payment_methods,type,error,True,0,Column expiry_month conforms to logical type integer.
payment_methods.expiry_year.type,payment_methods,type,error,True,0,Column expiry_year conforms to logical type integer.
payment_methods.active_flag.type,payment_methods,type,error,True,0,Column active_flag conforms to logical type boolean.
payment_methods.pk_not_null,payment_methods,primary_key,error,True,0,Primary key ['payment_method_id'] is not null.
payment_methods.pk_unique,payment_methods,primary_key,error,True,0,Primary key ['payment_method_id'] is unique.
payment_attempts.columns,payment_attempts,schema,error,True,0,Missing columns: []; unexpected columns: []
payment_attempts.payment_attempt_id.type,payment_attempts,type,error,True,0,Column payment_attempt_id conforms to logical type string.
payment_attempts.invoice_id.type,payment_attempts,type,error,True,0,Column invoice_id conforms to logical type string.
payment_attempts.payment_method_id.type,payment_attempts,type,error,True,0,Column payment_method_id conforms to logical type string.
payment_attempts.attempt_at.type,payment_attempts,type,error,True,0,Column attempt_at conforms to logical type timestamp.
payment_attempts.attempt_number.type,payment_attempts,type,error,True,0,Column attempt_number conforms to logical type integer.
payment_attempts.amount_local.type,payment_attempts,type,error,True,0,Column amount_local conforms to logical type decimal.
payment_attempts.currency_code.type,payment_attempts,type,error,True,0,Column currency_code conforms to logical type string.
payment_attempts.attempt_status.type,payment_attempts,type,error,True,0,Column attempt_status conforms to logical type string.
payment_attempts.failure_reason.type,payment_attempts,type,error,True,0,Column failure_reason conforms to logical type string.
payment_attempts.provider_response_code.type,payment_attempts,type,error,True,0,Column provider_response_code conforms to logical type string.
payment_attempts.pk_not_null,payment_attempts,primary_key,error,True,0,Primary key ['payment_attempt_id'] is not null.
payment_attempts.pk_unique,payment_attempts,primary_key,error,True,0,Primary key ['payment_attempt_id'] is unique.
payments.columns,payments,schema,error,True,0,Missing columns: []; unexpected columns: []
payments.payment_id.type,payments,type,error,True,0,Column payment_id conforms to logical type string.
payments.invoice_id.type,payments,type,error,True,0,Column invoice_id conforms to logical type string.
payments.payment_attempt_id.type,payments,type,error,True,0,Column payment_attempt_id conforms to logical type string.
payments.captured_at.type,payments,type,error,True,0,Column captured_at conforms to logical type timestamp.
payments.amount_local.type,payments,type,error,True,0,Column amount_local conforms to logical type decimal.
payments.currency_code.type,payments,type,error,True,0,Column currency_code conforms to logical type string.
payments.amount_eur.type,payments,type,error,True,0,Column amount_eur conforms to logical type decimal.
payments.payment_status.type,payments,type,error,True,0,Column payment_status conforms to logical type string.
payments.settlement_date.type,payments,type,error,True,0,Column settlement_date conforms to logical type date.
payments.pk_not_null,payments,primary_key,error,True,0,Primary key ['payment_id'] is not null.
payments.pk_unique,payments,primary_key,error,True,0,Primary key ['payment_id'] is unique.
credit_notes.columns,credit_notes,schema,error,True,0,Missing columns: []; unexpected columns: []
credit_notes.credit_note_id.type,credit_notes,type,error,True,0,Column credit_note_id conforms to logical type string.
credit_notes.invoice_id.type,credit_notes,type,error,True,0,Column invoice_id conforms to logical type string.
credit_notes.issued_date.type,credit_notes,type,error,True,0,Column issued_date conforms to logical type date.
credit_notes.reason.type,credit_notes,type,error,True,0,Column reason conforms to logical type string.
credit_notes.amount_local.type,credit_notes,type,error,True,0,Column amount_local conforms to logical type decimal.
credit_notes.amount_eur.type,credit_notes,type,error,True,0,Column amount_eur conforms to logical type decimal.
credit_notes.credit_note_status.type,credit_notes,type,error,True,0,Column credit_note_status conforms to logical type string.
credit_notes.pk_not_null,credit_notes,primary_key,error,True,0,Primary key ['credit_note_id'] is not null.
credit_notes.pk_unique,credit_notes,primary_key,error,True,0,Primary key ['credit_note_id'] is unique.
refunds.columns,refunds,schema,error,True,0,Missing columns: []; unexpected columns: []
refunds.refund_id.type,refunds,type,error,True,0,Column refund_id conforms to logical type string.
refunds.payment_id.type,refunds,type,error,True,0,Column payment_id conforms to logical type string.
refunds.requested_at.type,refunds,type,error,True,0,Column requested_at conforms to logical type timestamp.
refunds.processed_at.type,refunds,type,error,True,0,Column processed_at conforms to logical type timestamp.
refunds.amount_local.type,refunds,type,error,True,0,Column amount_local conforms to logical type decimal.
refunds.amount_eur.type,refunds,type,error,True,0,Column amount_eur conforms to logical type decimal.
refunds.reason.type,refunds,type,error,True,0,Column reason conforms to logical type string.
refunds.refund_status.type,refunds,type,error,True,0,Column refund_status conforms to logical type string.
refunds.pk_not_null,refunds,primary_key,error,True,0,Primary key ['refund_id'] is not null.
refunds.pk_unique,refunds,primary_key,error,True,0,Primary key ['refund_id'] is unique.
dunning_events.columns,dunning_events,schema,error,True,0,Missing columns: []; unexpected columns: []
dunning_events.dunning_event_id.type,dunning_events,type,error,True,0,Column dunning_event_id conforms to logical type string.
dunning_events.invoice_id.type,dunning_events,type,error,True,0,Column invoice_id conforms to logical type string.
dunning_events.event_at.type,dunning_events,type,error,True,0,Column event_at conforms to logical type timestamp.
dunning_events.dunning_step.type,dunning_events,type,error,True,0,Column dunning_step conforms to logical type integer.
dunning_events.channel.type,dunning_events,type,error,True,0,Column channel conforms to logical type string.
dunning_events.event_status.type,dunning_events,type,error,True,0,Column event_status conforms to logical type string.
dunning_events.recovered_after_event_flag.type,dunning_events,type,error,True,0,Column recovered_after_event_flag conforms to logical type boolean.
dunning_events.pk_not_null,dunning_events,primary_key,error,True,0,Primary key ['dunning_event_id'] is not null.
dunning_events.pk_unique,dunning_events,primary_key,error,True,0,Primary key ['dunning_event_id'] is unique.
product_events.columns,product_events,schema,error,True,0,Missing columns: []; unexpected columns: []
product_events.product_event_id.type,product_events,type,error,True,0,Column product_event_id conforms to logical type string.
product_events.account_id.type,product_events,type,error,True,0,Column account_id conforms to logical type string.
product_events.user_id.type,product_events,type,error,True,0,Column user_id conforms to logical type string.
product_events.event_at.type,product_events,type,error,True,0,Column event_at conforms to logical type timestamp.
