cohort_month,cohort_age,retained_accounts,retained_mrr,cohort_accounts,cohort_mrr,logo_retention,revenue_retention
2024-04-01,23,3,1251.06,3,698.39,1.0,1.7913486733773392
2024-04-01,24,3,1251.06,3,698.39,1.0,1.7913486733773392
2024-04-01,25,3,1251.06,3,698.39,1.0,1.7913486733773392
2024-04-01,26,3,1251.06,3,698.39,1.0,1.7913486733773392
2024-05-01,0,4,453.77,4,453.77,1.0,1.0
2024-05-01,1,4,453.77,4,453.77,1.0,1.0
2024-05-01,2,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,3,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,4,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,5,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,6,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,7,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,8,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,9,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,10,4,497.87,4,453.77,1.0,1.097185798973048
2024-05-01,11,4,491.14,4,453.77,1.0,1.0823544967714922
2024-05-01,12,4,491.14,4,453.77,1.0,1.0823544967714922
2024-05-01,13,4,491.14,4,453.77,1.0,1.0823544967714922
2024-05-01,14,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,15,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,16,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,17,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,18,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,19,4,534.95,4,453.77,1.0,1.178901205456509
2024-05-01,20,4,503.99,4,453.77,1.0,1.1106728078101242
2024-05-01,21,4,503.99,4,453.77,1.0,1.1106728078101242
2024-05-01,22,4,503.99,4,453.77,1.0,1.1106728078101242
2024-05-01,23,4,503.99,4,453.77,1.0,1.1106728078101242
2024-05-01,24,4,503.99,4,453.77,1.0,1.1106728078101242
2024-05-01,25,4,503.99,4,453.77,1.0,1.1106728078101242
2024-06-01,0,2,3521.77,2,3521.77,1.0,1.0
2024-06-01,1,2,3583.87,2,3521.77,1.0,1.017633178770902
2024-06-01,2,2,3583.87,2,3521.77,1.0,1.017633178770902
2024-06-01,3,2,3583.87,2,3521.77,1.0,1.017633178770902
2024-06-01,4,2,3583.87,2,3521.77,1.0,1.017633178770902
2024-06-01,5,2,3583.87,2,3521.77,1.0,1.017633178770902
2024-06-01,6,2,3682.87,2,3521.77,1.0,1.0457440434781373
2024-06-01,7,2,3798.97,2,3521.77,1.0,1.0787104211802587
2024-06-01,8,2,3798.97,2,3521.77,1.0,1.0787104211802587
2024-06-01,9,2,3798.97,2,3521.77,1.0,1.0787104211802587
2024-06-01,10,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,11,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,12,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,13,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,14,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,15,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,16,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,17,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,18,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,19,2,4805.01,2,3521.77,1.0,1.3643735962314405
2024-06-01,20,2,4023.6,2,3521.77,1.0,1.1424936892528472
2024-06-01,21,2,4127.28,2,3521.77,1.0,1.171933431200788
2024-06-01,22,2,4127.28,2,3521.77,1.0,1.171933431200788
2024-06-01,23,2,4127.28,2,3521.77,1.0,1.171933431200788
2024-06-01,24,2,4127.28,2,3521.77,1.0,1.171933431200788
2024-07-01,0,4,8874.14,4,8874.14,1.0,1.0
2024-07-01,1,4,9476.06,4,8874.14,1.0,1.0678285445124824
2024-07-01,2,4,9476.06,4,8874.14,1.0,1.0678285445124824
2024-07-01,3,4,9476.06,4,8874.14,1.0,1.0678285445124824
2024-07-01,4,4,9476.06,4,8874.14,1.0,1.0678285445124824
2024-07-01,5,4,11019.66,4,8874.14,1.0,1.2417721604572387
2024-07-01,6,4,11019.66,4,8874.14,1.0,1.2417721604572387
2024-07-01,7,4,11378.76,4,8874.14,1.0,1.2822380534902538
2024-07-01,8,4,11511.82,4,8874.14,1.0,1.2972321824988111
2024-07-01,9,4,11511.82,4,8874.14,1.0,1.2972321824988111
2024-07-01,10,4,11511.82,4,8874.14,1.0,1.2972321824988111
2024-07-01,11,4,11504.220000000001,4,8874.14,1.0,1.2963757614822395
2024-07-01,12,4,11504.220000000001,4,8874.14,1.0,1.2963757614822395
2024-07-01,13,4,11504.220000000001,4,8874.14,1.0,1.2963757614822395
2024-07-01,14,4,14395.439999999999,4,8874.14,1.0,1.6221785998417875
2024-07-01,15,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,16,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,17,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,18,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,19,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,20,4,14379.11,4,8874.14,1.0,1.6203384215259171
2024-07-01,21,4,14663.36,4,8874.14,1.0,1.6523696944154591
2024-07-01,22,4,14663.36,4,8874.14,1.0,1.6523696944154591
2024-07-01,23,4,14930.23,4,8874.14,1.0,1.6824424676644723
2024-08-01,0,5,2940.35,5,2940.35,1.0,1.0
2024-08-01,1,5,2940.35,5,2940.35,1.0,1.0
2024-08-01,2,5,3056.45,5,2940.35,1.0,1.0394850953117827
2024-08-01,3,5,3380.45,5,2940.35,1.0,1.1496760589725712
2024-08-01,4,5,3929.45,5,2940.35,1.0,1.3363885251755743
2024-08-01,5,5,3929.45,5,2940.35,1.0,1.3363885251755743
2024-08-01,6,5,4421.45,5,2940.35,1.0,1.503715544067883
2024-08-01,7,5,4421.45,5,2940.35,1.0,1.503715544067883
2024-08-01,8,5,4421.45,5,2940.35,1.0,1.503715544067883
2024-08-01,9,5,4421.45,5,2940.35,1.0,1.503715544067883
2024-08-01,10,5,4429.37,5,2940.35,1.0,1.506409100957369
2024-08-01,11,5,4429.37,5,2940.35,1.0,1.506409100957369
2024-08-01,12,5,4949.77,5,2940.35,1.0,1.6833948339483398
2024-08-01,13,5,4656.01,5,2940.35,1.0,1.5834883602292245
2024-08-01,14,5,5133.37,5,2940.35,1.0,1.7458363800227865
2024-08-01,15,5,4619.29,5,2940.35,1.0,1.5710000510143352
2024-08-01,16,5,4619.29,5,2940.35,1.0,1.5710000510143352
2024-08-01,17,5,4619.29,5,2940.35,1.0,1.5710000510143352
2024-08-01,18,5,4619.29,5,2940.35,1.0,1.5710000510143352
2024-08-01,19,5,4619.29,5,2940.35,1.0,1.5710000510143352
2024-08-01,20,5,4965.8099999999995,5,2940.35,1.0,1.688849966840682
2024-08-01,21,5,4965.8099999999995,5,2940.35,1.0,1.688849966840682
2024-08-01,22,5,5377.29,5,2940.35,1.0,1.8287924906898838
2024-09-01,0,3,2678.9900000000002,3,2678.9900000000002,1.0,1.0
2024-09-01,1,3,2678.9900000000002,3,2678.9900000000002,1.0,1.0
2024-09-01,2,3,2678.9900000000002,3,2678.9900000000002,1.0,1.0
2024-09-01,3,3,2678.9900000000002,3,2678.9900000000002,1.0,1.0
2024-09-01,4,3,2678.9900000000002,3,2678.9900000000002,1.0,1.0
2024-09-01,5,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,6,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,7,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,8,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,9,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,10,3,2494.31,3,2678.9900000000002,1.0,0.9310635724657426
2024-09-01,11,3,2413.4900000000002,3,2678.9900000000002,1.0,0.90089548673194
2024-09-01,12,3,2413.4900000000002,3,2678.9900000000002,1.0,0.90089548673194
2024-09-01,13,3,2556.31,3,2678.9900000000002,1.0,0.9542066226451013
2024-09-01,14,3,2556.31,3,2678.9900000000002,1.0,0.9542066226451013
2024-09-01,15,3,2556.31,3,2678.9900000000002,1.0,0.9542066226451013
2024-09-01,16,3,2556.31,3,2678.9900000000002,1.0,0.9542066226451013
2024-09-01,17,3,2810.87,3,2678.9900000000002,1.0,1.0492275073815132
2024-09-01,18,3,3368.81,3,2678.9900000000002,1.0,1.2574925624955673
2024-09-01,19,3,3368.81,3,2678.9900000000002,1.0,1.2574925624955673
2024-09-01,20,3,3368.81,3,2678.9900000000002,1.0,1.2574925624955673
2024-09-01,21,3,4639.55,3,2678.9900000000002,1.0,1.7318280396716672
2024-10-01,0,1,46.92,1,46.92,1.0,1.0
2024-10-01,1,1,46.92,1,46.92,1.0,1.0
2024-10-01,2,1,46.92,1,46.92,1.0,1.0
2024-10-01,3,1,46.92,1,46.92,1.0,1.0
2024-10-01,4,1,46.92,1,46.92,1.0,1.0
2024-10-01,5,1,46.92,1,46.92,1.0,1.0
2024-10-01,6,1,46.92,1,46.92,1.0,1.0
2024-10-01,7,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,8,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,9,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,10,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,11,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,12,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,13,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,14,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,15,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,16,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,17,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,18,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,19,1,62.6,1,46.92,1.0,1.3341858482523443
2024-10-01,20,1,62.6,1,46.92,1.0,1.3341858482523443
2024-11-01,0,2,233.87,2,233.87,1.0,1.0
2024-11-01,1,2,233.87,2,233.87,1.0,1.0
2024-11-01,2,2,233.87,2,233.87,1.0,1.0
2024-11-01,3,2,233.87,2,233.87,1.0,1.0
2024-11-01,4,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,5,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,6,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,7,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,8,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,9,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,10,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,11,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,12,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,13,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,14,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,15,2,339.87,2,233.87,1.0,1.453243254799675
2024-11-01,16,2,354.40999999999997,2,233.87,1.0,1.5154145465429512
2024-11-01,17,2,354.40999999999997,2,233.87,1.0,1.5154145465429512
2024-11-01,18,2,354.40999999999997,2,233.87,1.0,1.5154145465429512
2024-11-01,19,2,354.40999999999997,2,233.87,1.0,1.5154145465429512
2024-12-01,0,3,406.69,3,406.69,1.0,1.0
2024-12-01,1,3,406.69,3,406.69,1.0,1.0
2024-12-01,2,3,406.69,3,406.69,1.0,1.0
2024-12-01,3,3,406.69,3,406.69,1.0,1.0
2024-12-01,4,3,406.69,3,406.69,1.0,1.0
2024-12-01,5,3,406.69,3,406.69,1.0,1.0
2024-12-01,6,3,406.69,3,406.69,1.0,1.0
2024-12-01,7,3,406.69,3,406.69,1.0,1.0
2024-12-01,8,3,406.69,3,406.69,1.0,1.0
2024-12-01,9,3,406.69,3,406.69,1.0,1.0
2024-12-01,10,3,406.69,3,406.69,1.0,1.0
2024-12-01,11,3,406.69,3,406.69,1.0,1.0
2024-12-01,12,3,406.69,3,406.69,1.0,1.0
2024-12-01,13,3,398.85,3,406.69,1.0,0.9807224175662053
2024-12-01,14,3,398.85,3,406.69,1.0,0.9807224175662053
2024-12-01,15,3,432.5,3,406.69,1.0,1.063463571762276
2024-12-01,16,3,432.5,3,406.69,1.0,1.063463571762276
2024-12-01,17,3,432.5,3,406.69,1.0,1.063463571762276
2024-12-01,18,3,432.5,3,406.69,1.0,1.063463571762276
2025-01-01,0,3,246.0,3,246.0,1.0,1.0
2025-01-01,1,3,246.0,3,246.0,1.0,1.0
2025-01-01,2,3,495.0,3,246.0,1.0,2.0121951219512195
2025-01-01,3,3,544.0,3,246.0,1.0,2.2113821138211383
2025-01-01,4,3,544.0,3,246.0,1.0,2.2113821138211383
2025-01-01,5,3,723.0,3,246.0,1.0,2.9390243902439024
2025-01-01,6,3,739.08,3,246.0,1.0,3.004390243902439
2025-01-01,7,3,739.08,3,246.0,1.0,3.004390243902439
2025-01-01,8,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,9,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,10,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,11,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,12,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,13,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,14,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,15,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,16,3,772.08,3,246.0,1.0,3.138536585365854
2025-01-01,17,3,772.08,3,246.0,1.0,3.138536585365854
2025-02-01,0,4,1660.88,4,1660.88,1.0,1.0
2025-02-01,1,4,1660.88,4,1660.88,1.0,1.0
2025-02-01,2,4,1832.44,4,1660.88,1.0,1.1032946389865612
2025-02-01,3,4,1832.44,4,1660.88,1.0,1.1032946389865612
2025-02-01,4,4,1832.44,4,1660.88,1.0,1.1032946389865612
2025-02-01,5,4,2030.44,4,1660.88,1.0,1.2225085496845045
2025-02-01,6,4,2429.44,4,1660.88,1.0,1.4627426424546024
2025-02-01,7,4,2429.44,4,1660.88,1.0,1.4627426424546024
2025-02-01,8,4,2429.44,4,1660.88,1.0,1.4627426424546024
2025-02-01,9,4,2429.44,4,1660.88,1.0,1.4627426424546024
2025-02-01,10,4,2429.44,4,1660.88,1.0,1.4627426424546024
2025-02-01,11,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-02-01,12,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-02-01,13,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-02-01,14,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-02-01,15,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-02-01,16,4,2498.01,4,1660.88,1.0,1.504027985164491
2025-03-01,0,1,243.0,1,243.0,1.0,1.0
2025-03-01,1,1,243.0,1,243.0,1.0,1.0
2025-03-01,2,1,243.0,1,243.0,1.0,1.0
2025-03-01,3,1,243.0,1,243.0,1.0,1.0
2025-04-01,0,5,2763.56,5,2763.56,1.0,1.0
2025-04-01,1,5,3543.21,5,2763.56,1.0,1.2821179927340098
2025-04-01,2,5,3543.21,5,2763.56,1.0,1.2821179927340098
2025-04-01,3,5,4132.610000000001,5,2763.56,1.0,1.4953936227185227
2025-04-01,4,5,4132.610000000001,5,2763.56,1.0,1.4953936227185227
2025-04-01,5,5,4247.09,5,2763.56,1.0,1.5368184515624774
2025-04-01,6,5,4309.1900000000005,5,2763.56,1.0,1.5592894672089626
2025-04-01,7,5,4578.290000000001,5,2763.56,1.0,1.656663868343731
2025-04-01,8,5,4578.290000000001,5,2763.56,1.0,1.656663868343731
2025-04-01,9,5,4578.290000000001,5,2763.56,1.0,1.656663868343731
2025-04-01,10,5,4578.290000000001,5,2763.56,1.0,1.656663868343731
2025-04-01,11,5,4619.330000000001,5,2763.56,1.0,1.6715142786840167
2025-04-01,12,5,4502.6900000000005,5,2763.56,1.0,1.629307849295836
2025-04-01,13,5,4502.6900000000005,5,2763.56,1.0,1.629307849295836
2025-04-01,14,5,4502.6900000000005,5,2763.56,1.0,1.629307849295836
2025-05-01,0,6,72650.06,6,72650.06,1.0,1.0
2025-05-01,1,6,72650.06,6,72650.06,1.0,1.0
2025-05-01,2,6,70321.90999999999,6,72650.06,1.0,0.9679539149726785
2025-05-01,3,6,70366.01,6,72650.06,1.0,0.968560934430061
2025-05-01,4,6,64566.719999999994,6,72650.06,1.0,0.8887359487383768
2025-05-01,5,6,64566.719999999994,6,72650.06,1.0,0.8887359487383768
2025-05-01,6,6,65070.86,6,72650.06,1.0,0.8956752410115009
2025-05-01,7,6,65339.96,6,72650.06,1.0,0.8993792985167528
2025-05-01,8,6,65339.96,6,72650.06,1.0,0.8993792985167528
2025-05-01,9,6,69827.88,6,72650.06,1.0,0.9611537829425055
2025-05-01,10,6,69827.88,6,72650.06,1.0,0.9611537829425055
2025-05-01,11,6,70581.38,6,72650.06,1.0,0.9715254192494818
2025-05-01,12,6,70581.38,6,72650.06,1.0,0.9715254192494818
2025-05-01,13,5,64550.14,6,72650.06,0.8333333333333334,0.8885077314457828
2025-06-01,0,1,42.12,1,42.12,1.0,1.0
2025-06-01,1,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,2,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,3,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,4,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,5,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,6,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,7,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,8,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,9,1,55.08,1,42.12,1.0,1.3076923076923077
2025-06-01,10,1,68.04,1,42.12,1.0,1.6153846153846156
2025-06-01,11,1,68.04,1,42.12,1.0,1.6153846153846156
2025-06-01,12,1,68.04,1,42.12,1.0,1.6153846153846156
2025-07-01,0,2,1821.49,2,1821.49,1.0,1.0
2025-07-01,1,2,1821.49,2,1821.49,1.0,1.0
2025-07-01,2,2,2149.85,2,1821.49,1.0,1.1802699987372973
2025-07-01,3,2,2083.37,2,1821.49,1.0,1.1437724061070882
2025-07-01,4,2,2083.37,2,1821.49,1.0,1.1437724061070882
2025-07-01,5,2,2352.47,2,1821.49,1.0,1.291508600102114
2025-07-01,6,2,2418.95,2,1821.49,1.0,1.3280061927323235
2025-07-01,7,2,2720.67,2,1821.49,1.0,1.4936508023650967
2025-07-01,8,2,2720.67,2,1821.49,1.0,1.4936508023650967
2025-07-01,9,2,2720.67,2,1821.49,1.0,1.4936508023650967
2025-07-01,10,2,2720.67,2,1821.49,1.0,1.4936508023650967
2025-07-01,11,2,2720.67,2,1821.49,1.0,1.4936508023650967
2025-08-01,0,3,2323.81,3,2323.81,1.0,1.0
2025-08-01,1,3,2883.69,3,2323.81,1.0,1.24093191784182
2025-08-01,2,3,3317.41,3,2323.81,1.0,1.4275736828742454
2025-08-01,3,3,3397.5099999999998,3,2323.81,1.0,1.4620429381059552
2025-08-01,4,3,3397.5099999999998,3,2323.81,1.0,1.4620429381059552
2025-08-01,5,3,3647.6099999999997,3,2323.81,1.0,1.5696679160516565
2025-08-01,6,3,3946.6099999999997,3,2323.81,1.0,1.698335922472147
2025-08-01,7,3,4434.71,3,2323.81,1.0,1.9083789122174362
2025-08-01,8,3,4434.71,3,2323.81,1.0,1.9083789122174362
2025-08-01,9,3,4434.71,3,2323.81,1.0,1.9083789122174362
2025-08-01,10,3,4434.71,3,2323.81,1.0,1.9083789122174362
2025-09-01,0,1,21184.59,1,21184.59,1.0,1.0
2025-09-01,1,1,21659.79,1,21184.59,1.0,1.0224313994276029
2025-09-01,2,1,21659.79,1,21184.59,1.0,1.0224313994276029
2025-09-01,3,1,21659.79,1,21184.59,1.0,1.0224313994276029
2025-09-01,4,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-09-01,5,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-09-01,6,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-09-01,7,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-09-01,8,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-09-01,9,1,21721.89,1,21184.59,1.0,1.0253627754891645
2025-10-01,0,5,15012.35,5,15012.35,1.0,1.0
2025-10-01,1,5,15012.35,5,15012.35,1.0,1.0
2025-10-01,2,5,15012.35,5,15012.35,1.0,1.0
2025-10-01,3,5,15500.06,5,15012.35,1.0,1.0324872521623862
2025-10-01,4,4,15733.36,5,15012.35,0.8,1.0480277904525275
2025-10-01,5,4,18154.57,5,15012.35,0.8,1.20930900225481
2025-10-01,6,4,18154.57,5,15012.35,0.8,1.20930900225481
2025-10-01,7,4,22170.13,5,15012.35,0.8,1.4767927739494484
2025-10-01,8,4,22170.13,5,15012.35,0.8,1.4767927739494484
2025-11-01,0,2,249.14,2,249.14,1.0,1.0
2025-11-01,1,2,249.14,2,249.14,1.0,1.0
2025-11-01,2,2,548.14,2,249.14,1.0,2.2001284418399294
2025-11-01,3,2,548.14,2,249.14,1.0,2.2001284418399294
2025-11-01,4,2,548.14,2,249.14,1.0,2.2001284418399294
2025-11-01,5,2,677.14,2,249.14,1.0,2.71790960905515
2025-11-01,6,2,677.14,2,249.14,1.0,2.71790960905515
2025-11-01,7,2,677.14,2,249.14,1.0,2.71790960905515
2025-12-01,0,2,82.13,2,82.13,1.0,1.0
2025-12-01,1,2,82.13,2,82.13,1.0,1.0
2025-12-01,2,2,82.13,2,82.13,1.0,1.0
2025-12-01,3,2,82.13,2,82.13,1.0,1.0
2025-12-01,4,2,82.13,2,82.13,1.0,1.0
2025-12-01,5,2,82.13,2,82.13,1.0,1.0
2025-12-01,6,2,82.13,2,82.13,1.0,1.0
2026-02-01,0,3,967.8399999999999,3,967.8399999999999,1.0,1.0
2026-02-01,1,3,967.8399999999999,3,967.8399999999999,1.0,1.0
2026-02-01,2,3,1266.84,3,967.8399999999999,1.0,1.30893536121673
2026-02-01,3,3,1734.8399999999997,3,967.8399999999999,1.0,1.7924863613820465
2026-02-01,4,3,1734.8399999999997,3,967.8399999999999,1.0,1.7924863613820465
2026-03-01,0,4,12230.87,4,12230.87,1.0,1.0
2026-03-01,1,4,12230.87,4,12230.87,1.0,1.0
2026-03-01,2,4,12230.87,4,12230.87,1.0,1.0
2026-03-01,3,4,12230.87,4,12230.87,1.0,1.0
2026-04-01,0,3,475.8,3,475.8,1.0,1.0
2026-04-01,1,3,912.8800000000001,3,475.8,1.0,1.9186212694409417
2026-04-01,2,3,1136.98,3,475.8,1.0,2.389617486338798
2026-05-01,0,5,614.1600000000001,5,614.1600000000001,1.0,1.0
2026-05-01,1,5,597.84,5,614.1600000000001,1.0,0.9734271199687378
2026-06-01,0,4,7873.28,4,7873.28,1.0,1.0
