activity_month,country_code,region_id,segment,active_accounts,active_users,sessions,work_orders_created,work_order_completion_rate,automation_adoption_rate,api_adoption_rate,average_feature_breadth
2025-02-01,IT,southern_europe,medium,1,19,81,68,0.8676470588235294,1.0,1.0,10.0
2025-02-01,NL,benelux,medium,1,31,127,136,0.875,1.0,1.0,10.0
2025-02-01,NL,benelux,micro,1,2,15,7,0.8571428571428571,1.0,0.0,7.0
2025-02-01,NL,benelux,small,1,6,41,15,0.8,1.0,1.0,9.0
2025-02-01,NO,nordics,micro,1,2,10,3,1.0,1.0,1.0,9.0
2025-02-01,NO,nordics,small,2,13,57,43,0.8634259259259259,1.0,1.0,10.0
2025-02-01,PL,central_europe,medium,1,31,193,145,0.8758620689655172,1.0,1.0,10.0
2025-02-01,SE,nordics,small,3,16,68,55,0.9097222222222222,1.0,0.6666666666666666,8.666666666666666
2025-03-01,AT,dach,medium,3,79,420,360,0.8589091853110545,1.0,0.6666666666666666,9.333333333333334
2025-03-01,AT,dach,small,1,3,15,11,0.8181818181818182,1.0,1.0,8.0
2025-03-01,BE,benelux,medium,1,30,118,111,0.918918918918919,1.0,0.0,9.0
2025-03-01,BE,benelux,micro,1,2,10,4,1.0,0.0,0.0,8.0
2025-03-01,BE,benelux,mid_market,1,29,106,176,0.9034090909090909,1.0,1.0,10.0
2025-03-01,BE,benelux,small,1,10,52,47,0.7872340425531915,1.0,0.0,8.0
2025-03-01,CH,dach,small,1,9,49,36,0.8888888888888888,1.0,0.0,9.0
2025-03-01,DE,dach,medium,1,25,151,104,0.8365384615384616,1.0,1.0,9.0
2025-03-01,DE,dach,micro,3,6,42,15,0.9047619047619048,0.6666666666666666,0.3333333333333333,7.333333333333333
2025-03-01,DE,dach,small,4,27,160,91,0.8127705627705628,1.0,0.25,9.0
2025-03-01,ES,southern_europe,micro,1,3,15,2,0.5,0.0,0.0,6.0
2025-03-01,ES,southern_europe,small,2,19,94,61,0.8360215053763441,1.0,0.5,9.0
2025-03-01,FR,western_europe,micro,2,4,17,11,0.9166666666666667,1.0,0.0,8.0
2025-03-01,GB,western_europe,micro,1,2,13,5,0.8,1.0,0.0,9.0
2025-03-01,GB,western_europe,small,1,5,36,16,0.8125,1.0,0.0,7.0
2025-03-01,IE,western_europe,micro,1,1,8,4,1.0,0.0,0.0,9.0
2025-03-01,IE,western_europe,mid_market,1,28,145,184,0.9130434782608695,1.0,1.0,10.0
2025-03-01,IT,southern_europe,medium,1,15,71,70,0.8285714285714286,1.0,1.0,8.0
2025-03-01,NL,benelux,medium,1,24,118,108,0.8796296296296297,1.0,1.0,10.0
2025-03-01,NL,benelux,micro,1,1,5,0,,0.0,0.0,5.0
2025-03-01,NL,benelux,small,1,6,37,20,0.8,1.0,1.0,10.0
2025-03-01,NO,nordics,micro,1,2,9,3,1.0,1.0,1.0,8.0
2025-03-01,NO,nordics,small,2,15,95,39,0.8210526315789474,1.0,1.0,9.5
2025-03-01,PL,central_europe,medium,1,22,159,103,0.9320388349514563,1.0,1.0,10.0
2025-03-01,SE,nordics,small,3,13,84,49,0.832010582010582,1.0,0.6666666666666666,9.666666666666666
2025-04-01,AT,dach,medium,3,73,347,295,0.8789913198480974,1.0,0.6666666666666666,10.0
2025-04-01,AT,dach,small,1,5,20,24,0.875,1.0,1.0,9.0
2025-04-01,BE,benelux,medium,1,24,138,136,0.8235294117647058,1.0,0.0,7.0
2025-04-01,BE,benelux,micro,1,1,10,5,1.0,1.0,0.0,7.0
2025-04-01,BE,benelux,mid_market,1,28,155,176,0.9034090909090909,1.0,1.0,10.0
2025-04-01,BE,benelux,small,1,7,30,22,0.7272727272727273,0.0,0.0,9.0
2025-04-01,CH,dach,medium,1,31,154,133,0.8571428571428571,1.0,1.0,10.0
2025-04-01,CH,dach,small,1,6,45,24,0.7916666666666666,1.0,0.0,8.0
2025-04-01,DE,dach,medium,2,59,268,257,0.8881919051821965,1.0,1.0,10.0
2025-04-01,DE,dach,micro,4,7,55,21,0.8809523809523809,1.0,0.25,7.75
2025-04-01,DE,dach,small,5,33,217,133,0.8409656084656085,1.0,0.2,8.4
2025-04-01,DK,nordics,small,1,4,25,14,0.7857142857142857,1.0,1.0,9.0
2025-04-01,ES,southern_europe,micro,1,2,12,5,1.0,1.0,0.0,9.0
2025-04-01,ES,southern_europe,small,2,16,93,51,0.8630769230769231,1.0,0.5,9.5
2025-04-01,FR,western_europe,micro,2,4,18,9,0.8333333333333333,0.5,0.0,8.0
2025-04-01,GB,western_europe,micro,1,3,11,9,0.8888888888888888,1.0,0.0,8.0
2025-04-01,GB,western_europe,small,1,8,52,21,0.8095238095238095,1.0,0.0,10.0
2025-04-01,IE,western_europe,micro,1,1,7,0,,0.0,0.0,8.0
2025-04-01,IE,western_europe,mid_market,1,28,145,198,0.9292929292929293,1.0,1.0,10.0
2025-04-01,IT,southern_europe,medium,1,27,156,152,0.8223684210526315,1.0,1.0,9.0
2025-04-01,NL,benelux,medium,1,29,171,112,0.9107142857142857,1.0,1.0,10.0
2025-04-01,NL,benelux,micro,1,1,5,1,1.0,0.0,0.0,7.0
2025-04-01,NL,benelux,small,1,6,41,19,0.8947368421052632,1.0,1.0,10.0
2025-04-01,NO,nordics,micro,1,2,8,3,0.6666666666666666,0.0,1.0,7.0
2025-04-01,NO,nordics,small,2,14,80,43,0.8136574074074074,1.0,1.0,9.5
2025-04-01,PL,central_europe,medium,1,30,190,159,0.9119496855345912,1.0,1.0,10.0
2025-04-01,SE,nordics,small,3,18,97,65,0.8651321398124466,1.0,0.6666666666666666,9.0
2025-05-01,AT,dach,medium,3,78,411,376,0.8576886323844436,1.0,0.6666666666666666,9.666666666666666
2025-05-01,AT,dach,micro,1,2,11,2,1.0,0.0,0.0,7.0
2025-05-01,AT,dach,small,1,5,30,22,0.8636363636363636,1.0,1.0,10.0
2025-05-01,BE,benelux,medium,1,22,109,112,0.8839285714285714,1.0,0.0,9.0
2025-05-01,BE,benelux,micro,1,2,11,6,0.8333333333333334,1.0,0.0,8.0
2025-05-01,BE,benelux,mid_market,1,31,157,177,0.9209039548022598,1.0,1.0,10.0
2025-05-01,BE,benelux,small,1,9,51,36,0.8055555555555556,1.0,0.0,8.0
2025-05-01,CH,dach,medium,1,31,161,165,0.8909090909090909,1.0,1.0,10.0
2025-05-01,CH,dach,small,1,8,41,22,0.9090909090909091,1.0,0.0,9.0
2025-05-01,DE,dach,medium,3,83,415,434,0.8485356035677679,1.0,1.0,10.0
2025-05-01,DE,dach,micro,3,5,28,11,1.0,0.3333333333333333,0.0,7.666666666666667
2025-05-01,DE,dach,small,5,35,190,105,0.8128991596638656,0.8,0.2,8.6
2025-05-01,DK,nordics,small,1,4,33,13,0.7692307692307693,1.0,1.0,8.0
2025-05-01,ES,southern_europe,micro,1,3,23,7,0.8571428571428571,1.0,0.0,7.0
2025-05-01,ES,southern_europe,small,2,18,137,84,0.8758823529411764,1.0,0.5,10.0
2025-05-01,FR,western_europe,micro,2,3,17,4,1.0,0.0,0.0,7.5
2025-05-01,FR,western_europe,small,1,6,31,23,0.782608695652174,1.0,0.0,9.0
2025-05-01,GB,western_europe,enterprise,2,58,338,402,0.9121657250470809,1.0,1.0,10.0
2025-05-01,GB,western_europe,micro,1,2,14,8,0.75,1.0,0.0,8.0
2025-05-01,GB,western_europe,small,1,9,37,24,0.8333333333333334,1.0,0.0,8.0
2025-05-01,IE,western_europe,micro,1,1,8,3,1.0,1.0,0.0,7.0
2025-05-01,IE,western_europe,mid_market,1,26,120,142,0.8943661971830986,1.0,1.0,10.0
2025-05-01,IT,southern_europe,medium,1,27,147,129,0.8527131782945736,1.0,1.0,10.0
2025-05-01,NL,benelux,medium,1,32,148,175,0.9085714285714286,1.0,1.0,10.0
2025-05-01,NL,benelux,micro,1,1,8,2,1.0,1.0,0.0,6.0
2025-05-01,NL,benelux,small,1,7,33,26,0.7692307692307693,1.0,1.0,9.0
2025-05-01,NO,nordics,micro,1,2,13,5,1.0,1.0,1.0,8.0
2025-05-01,NO,nordics,small,2,13,62,37,0.8114035087719298,1.0,1.0,9.5
2025-05-01,PL,central_europe,medium,1,31,132,128,0.84375,1.0,1.0,10.0
2025-05-01,SE,nordics,mid_market,1,33,202,197,0.8984771573604061,1.0,1.0,10.0
2025-05-01,SE,nordics,small,3,19,84,47,0.8550607287449393,1.0,0.6666666666666666,8.333333333333334
2025-06-01,AT,dach,medium,3,78,373,303,0.9074455150635959,1.0,0.6666666666666666,9.666666666666666
2025-06-01,AT,dach,micro,1,2,8,2,1.0,0.0,0.0,8.0
2025-06-01,AT,dach,small,1,6,36,16,0.9375,1.0,1.0,10.0
2025-06-01,BE,benelux,medium,1,32,170,140,0.9071428571428571,1.0,0.0,9.0
2025-06-01,BE,benelux,micro,1,2,13,8,1.0,1.0,0.0,9.0
2025-06-01,BE,benelux,mid_market,1,26,147,168,0.9107142857142857,1.0,1.0,10.0
2025-06-01,BE,benelux,small,1,11,70,32,0.8125,1.0,0.0,10.0
2025-06-01,CH,dach,medium,1,31,154,123,0.9105691056910569,1.0,1.0,10.0
2025-06-01,CH,dach,small,1,9,50,25,0.88,1.0,0.0,9.0
2025-06-01,DE,dach,medium,3,83,461,401,0.859840224270776,1.0,1.0,9.333333333333334
2025-06-01,DE,dach,micro,3,5,40,14,0.9523809523809524,0.3333333333333333,0.0,8.0
2025-06-01,DE,dach,small,5,40,204,172,0.8378571428571429,1.0,0.2,8.6
2025-06-01,DK,nordics,small,1,3,17,4,1.0,1.0,1.0,8.0
2025-06-01,ES,southern_europe,micro,1,4,32,8,0.875,1.0,0.0,8.0
2025-06-01,ES,southern_europe,small,2,22,114,67,0.8652450090744102,1.0,0.5,9.5
2025-06-01,FR,western_europe,micro,2,5,17,11,0.9285714285714286,0.5,0.0,8.0
2025-06-01,FR,western_europe,small,1,7,25,21,0.8095238095238095,1.0,0.0,8.0
2025-06-01,GB,western_europe,enterprise,2,56,356,431,0.8829001965494649,1.0,1.0,10.0
2025-06-01,GB,western_europe,micro,1,3,9,5,1.0,0.0,0.0,10.0
2025-06-01,GB,western_europe,small,1,7,48,17,0.7647058823529411,1.0,0.0,8.0
2025-06-01,IE,western_europe,micro,1,1,6,2,1.0,0.0,0.0,8.0
2025-06-01,IE,western_europe,mid_market,1,30,134,172,0.9302325581395349,1.0,1.0,10.0
2025-06-01,IT,southern_europe,medium,1,31,148,134,0.8656716417910447,1.0,1.0,10.0
2025-06-01,NL,benelux,medium,1,31,175,126,0.9047619047619048,1.0,1.0,10.0
2025-06-01,NL,benelux,micro,1,1,8,0,,0.0,0.0,8.0
2025-06-01,NL,benelux,small,1,9,40,28,0.8214285714285714,1.0,1.0,10.0
2025-06-01,NO,nordics,micro,1,2,9,0,,0.0,1.0,8.0
2025-06-01,NO,nordics,small,2,10,78,33,0.8611111111111112,1.0,1.0,10.0
2025-06-01,PL,central_europe,medium,1,30,178,147,0.891156462585034,1.0,1.0,9.0
2025-06-01,SE,nordics,micro,1,2,6,4,1.0,1.0,0.0,9.0
2025-06-01,SE,nordics,mid_market,1,25,116,162,0.8888888888888888,1.0,1.0,10.0
2025-06-01,SE,nordics,small,3,16,92,63,0.9081527347781218,1.0,0.6666666666666666,10.0
2025-07-01,AT,dach,medium,3,79,346,334,0.8882589264489136,1.0,0.6666666666666666,9.666666666666666
2025-07-01,AT,dach,micro,1,1,7,4,1.0,0.0,0.0,8.0
2025-07-01,AT,dach,small,1,4,20,11,1.0,1.0,1.0,9.0
2025-07-01,BE,benelux,medium,1,29,158,133,0.8571428571428571,1.0,0.0,9.0
2025-07-01,BE,benelux,micro,1,2,13,4,0.75,1.0,0.0,10.0
2025-07-01,BE,benelux,mid_market,1,28,154,161,0.9006211180124224,1.0,1.0,10.0
2025-07-01,CH,dach,medium,1,28,168,143,0.8811188811188811,1.0,1.0,10.0
2025-07-01,CH,dach,small,1,9,39,22,0.9545454545454546,1.0,0.0,8.0
2025-07-01,CZ,central_europe,medium,1,25,110,126,0.9126984126984127,1.0,1.0,10.0
2025-07-01,DE,dach,medium,3,81,403,368,0.9135305635305636,1.0,1.0,10.0
2025-07-01,DE,dach,micro,3,4,23,7,1.0,0.3333333333333333,0.0,8.666666666666666
2025-07-01,DE,dach,small,5,35,217,118,0.8187301587301586,1.0,0.2,8.2
2025-07-01,DK,nordics,small,1,4,22,16,0.875,1.0,1.0,10.0
2025-07-01,ES,southern_europe,micro,1,3,16,12,0.8333333333333334,1.0,0.0,7.0
