country_code,region_id,sales_motion,acquisition_channel,accounts,leads,mqls,sqls,opportunities,won_opportunities,pipeline_arr_eur,paid_accounts,lead_to_mql,mql_to_sql,opportunity_win_rate,account_to_paid
CH,dach,self_service,paid_social,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
CZ,central_europe,partner_led,partner,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
CZ,central_europe,partner_led,referral,1,1,1,1,1.0,1.0,22360.0,1.0,1.0,1.0,1.0,1.0
CZ,central_europe,sales_assisted,referral,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
CZ,central_europe,self_service,organic_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
CZ,central_europe,self_service,paid_social,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
DE,dach,partner_led,organic_search,2,2,2,2,2.0,0.0,45400.0,0.0,1.0,1.0,0.0,0.0
DE,dach,partner_led,outbound_sales,1,1,1,1,1.0,0.0,183480.0,0.0,1.0,1.0,0.0,0.0
DE,dach,partner_led,paid_search,2,2,2,2,2.0,1.0,56680.0,1.0,1.0,1.0,0.5,0.5
DE,dach,partner_led,partner,9,9,3,3,3.0,2.0,9610.0,3.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
DE,dach,sales_assisted,direct,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
DE,dach,sales_assisted,organic_search,4,4,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
DE,dach,sales_assisted,outbound_sales,11,11,7,7,7.0,1.0,93170.0,2.0,0.6363636363636364,1.0,0.14285714285714285,0.18181818181818182
DE,dach,sales_assisted,paid_search,5,5,3,3,3.0,1.0,297900.0,1.0,0.6,1.0,0.3333333333333333,0.2
DE,dach,sales_assisted,paid_social,1,1,1,1,1.0,1.0,181500.0,1.0,1.0,1.0,1.0,1.0
DE,dach,self_service,events,2,2,1,0,0.0,0.0,0.0,1.0,0.5,0.0,,0.5
DE,dach,self_service,organic_search,9,9,6,0,0.0,0.0,0.0,2.0,0.6666666666666666,0.0,,0.2222222222222222
DE,dach,self_service,paid_search,8,8,4,0,0.0,0.0,0.0,2.0,0.5,0.0,,0.25
DE,dach,self_service,paid_social,2,2,0,0,0.0,0.0,0.0,1.0,0.0,,,0.5
DE,dach,self_service,referral,6,6,4,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,,0.16666666666666666
DK,nordics,partner_led,paid_search,1,1,1,1,1.0,1.0,2660.0,1.0,1.0,1.0,1.0,1.0
DK,nordics,partner_led,partner,1,1,1,1,1.0,0.0,47320.0,0.0,1.0,1.0,0.0,0.0
DK,nordics,sales_assisted,organic_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
DK,nordics,sales_assisted,outbound_sales,2,2,1,1,1.0,0.0,1250.0,0.0,0.5,1.0,0.0,0.0
DK,nordics,self_service,events,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
ES,southern_europe,partner_led,partner,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
ES,southern_europe,sales_assisted,direct,1,1,1,1,1.0,0.0,11960.0,0.0,1.0,1.0,0.0,0.0
ES,southern_europe,sales_assisted,organic_search,1,1,1,1,1.0,0.0,11960.0,0.0,1.0,1.0,0.0,0.0
ES,southern_europe,sales_assisted,outbound_sales,6,6,3,3,3.0,3.0,12650.0,3.0,0.5,1.0,1.0,0.5
ES,southern_europe,sales_assisted,paid_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
ES,southern_europe,sales_assisted,paid_social,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
ES,southern_europe,self_service,paid_search,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
FR,western_europe,partner_led,organic_search,1,1,1,1,1.0,0.0,117480.0,0.0,1.0,1.0,0.0,0.0
FR,western_europe,partner_led,outbound_sales,3,3,3,3,3.0,0.0,306840.0,0.0,1.0,1.0,0.0,0.0
FR,western_europe,partner_led,partner,7,7,4,4,4.0,2.0,74800.0,2.0,0.5714285714285714,1.0,0.5,0.2857142857142857
FR,western_europe,sales_assisted,organic_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
FR,western_europe,sales_assisted,outbound_sales,3,3,1,1,1.0,1.0,648180.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
FR,western_europe,sales_assisted,paid_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
FR,western_europe,sales_assisted,referral,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
FR,western_europe,self_service,paid_search,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
FR,western_europe,self_service,paid_social,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
FR,western_europe,self_service,referral,2,2,2,0,0.0,0.0,0.0,2.0,1.0,0.0,,1.0
GB,western_europe,partner_led,events,1,1,1,1,1.0,0.0,7600.0,0.0,1.0,1.0,0.0,0.0
GB,western_europe,partner_led,organic_search,1,1,1,1,1.0,0.0,3040.0,0.0,1.0,1.0,0.0,0.0
GB,western_europe,partner_led,outbound_sales,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
GB,western_europe,partner_led,partner,5,5,3,3,3.0,2.0,1620280.0,2.0,0.6,1.0,0.6666666666666666,0.4
GB,western_europe,sales_assisted,events,2,2,1,1,1.0,0.0,5320.0,0.0,0.5,1.0,0.0,0.0
GB,western_europe,sales_assisted,organic_search,4,4,2,2,2.0,0.0,309660.0,0.0,0.5,1.0,0.0,0.0
GB,western_europe,sales_assisted,outbound_sales,5,5,3,3,3.0,3.0,10370.0,3.0,0.6,1.0,1.0,0.6
GB,western_europe,sales_assisted,paid_search,1,1,1,1,1.0,0.0,42640.0,0.0,1.0,1.0,0.0,0.0
GB,western_europe,self_service,organic_search,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
GB,western_europe,self_service,paid_search,2,2,2,0,0.0,0.0,0.0,1.0,1.0,0.0,,0.5
GB,western_europe,self_service,paid_social,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
IE,western_europe,partner_led,paid_search,1,1,1,1,1.0,1.0,223080.0,1.0,1.0,1.0,1.0,1.0
IE,western_europe,partner_led,partner,2,2,1,1,1.0,1.0,750.0,1.0,0.5,1.0,1.0,0.5
IE,western_europe,sales_assisted,organic_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
IE,western_europe,self_service,events,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
IE,western_europe,self_service,organic_search,2,2,1,0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0
IE,western_europe,self_service,paid_search,2,2,1,0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0
IE,western_europe,self_service,paid_social,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
IT,southern_europe,partner_led,partner,4,4,2,2,2.0,1.0,53640.0,1.0,0.5,1.0,0.5,0.25
IT,southern_europe,sales_assisted,events,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
IT,southern_europe,sales_assisted,organic_search,4,4,2,2,2.0,1.0,26770.0,1.0,0.5,1.0,0.5,0.25
IT,southern_europe,sales_assisted,outbound_sales,2,2,2,2,2.0,1.0,457580.0,1.0,1.0,1.0,0.5,0.5
IT,southern_europe,self_service,events,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
IT,southern_europe,self_service,organic_search,2,2,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
IT,southern_europe,self_service,paid_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
IT,southern_europe,self_service,referral,3,3,1,0,0.0,0.0,0.0,2.0,0.3333333333333333,0.0,,0.6666666666666666
NL,benelux,partner_led,organic_search,2,2,1,1,1.0,1.0,750.0,1.0,0.5,1.0,1.0,0.5
NL,benelux,partner_led,outbound_sales,1,1,1,1,1.0,1.0,24440.0,1.0,1.0,1.0,1.0,1.0
NL,benelux,partner_led,partner,4,4,2,2,2.0,1.0,1000.0,1.0,0.5,1.0,0.5,0.25
NL,benelux,sales_assisted,events,2,2,1,1,1.0,0.0,1250.0,0.0,0.5,1.0,0.0,0.0
NL,benelux,sales_assisted,outbound_sales,4,4,2,2,2.0,1.0,21480.0,1.0,0.5,1.0,0.5,0.25
NL,benelux,sales_assisted,paid_search,1,1,1,1,1.0,1.0,4940.0,1.0,1.0,1.0,1.0,1.0
NL,benelux,sales_assisted,referral,1,1,1,1,1.0,1.0,250.0,1.0,1.0,1.0,1.0,1.0
NL,benelux,self_service,organic_search,2,2,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
NL,benelux,self_service,paid_search,3,3,2,0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,,0.3333333333333333
NL,benelux,self_service,paid_social,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
NL,benelux,self_service,referral,2,2,1,0,0.0,0.0,0.0,1.0,0.5,0.0,,0.5
NO,nordics,partner_led,organic_search,1,1,1,1,1.0,1.0,4180.0,1.0,1.0,1.0,1.0,1.0
NO,nordics,partner_led,outbound_sales,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
NO,nordics,partner_led,paid_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
NO,nordics,sales_assisted,direct,1,1,1,1,1.0,1.0,1000.0,1.0,1.0,1.0,1.0,1.0
NO,nordics,sales_assisted,organic_search,1,1,1,1,1.0,0.0,34840.0,0.0,1.0,1.0,0.0,0.0
NO,nordics,sales_assisted,outbound_sales,1,1,1,1,1.0,0.0,1250.0,0.0,1.0,1.0,0.0,0.0
NO,nordics,sales_assisted,referral,2,2,2,2,2.0,1.0,4420.0,1.0,1.0,1.0,0.5,0.5
NO,nordics,self_service,direct,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
NO,nordics,self_service,paid_search,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
NO,nordics,self_service,referral,1,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
PL,central_europe,partner_led,organic_search,1,1,1,1,1.0,1.0,23920.0,1.0,1.0,1.0,1.0,1.0
PL,central_europe,sales_assisted,direct,1,1,1,1,1.0,0.0,70620.0,0.0,1.0,1.0,0.0,0.0
PL,central_europe,sales_assisted,organic_search,1,1,1,1,1.0,1.0,500.0,1.0,1.0,1.0,1.0,1.0
PL,central_europe,sales_assisted,paid_search,2,2,2,2,2.0,0.0,73840.0,0.0,1.0,1.0,0.0,0.0
SE,nordics,partner_led,organic_search,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
SE,nordics,partner_led,outbound_sales,1,1,0,0,0.0,0.0,0.0,1.0,0.0,,,1.0
SE,nordics,partner_led,partner,1,1,1,1,1.0,0.0,4560.0,0.0,1.0,1.0,0.0,0.0
SE,nordics,sales_assisted,direct,1,1,1,1,1.0,1.0,128700.0,1.0,1.0,1.0,1.0,1.0
SE,nordics,sales_assisted,organic_search,1,1,1,1,1.0,1.0,750.0,1.0,1.0,1.0,1.0,1.0
SE,nordics,sales_assisted,paid_social,1,1,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0
SE,nordics,self_service,organic_search,2,2,2,0,0.0,0.0,0.0,1.0,1.0,0.0,,0.5
SE,nordics,self_service,paid_search,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0
SE,nordics,self_service,referral,2,2,1,0,0.0,0.0,0.0,2.0,0.5,0.0,,1.0
